People Fully Vaccinated,County,People Vaccinated with at Least One Dose
22673,Robeson,26211
3597,Perquimans,4165
47807,Johnston,57061
29201,Randolph,32600
2120,Hyde,2403
3551,Alleghany,3907
11166,Duplin,12849
2666,Gates,3185
17861,Haywood,20899
13354,Stanly,15769
10451,Missing County,12755
18972,Wilson,22322
1148,Tyrrell,1259
24904,Wayne,28696
6492,Montgomery,7467
14255,Lenoir,15942
0,,0
8888,Scotland,10169
50928,Alamance,57436
2420,Camden,2896
5648,Greene,6317
25924,Rowan,30251
5862,Northampton,6578
15401,Wilkes,17048
19060,Lincoln,22643
20976,Caldwell,23036
6090,Polk,6585
19627,Surry,21121
13297,Macon,14279
2693,Clay,2977
9976,Yadkin,10800
27433,Onslow,30030
11283,Richmond,12495
83176,Buncombe,94502
53517,Union,64238
44297,Cabarrus,55597
2815,Washington,3227
24819,Harnett,27959
22906,Burke,25527
63112,Out of State,77106
16182,Granville,19255
49323,Gaston,57418
11252,Edgecombe,13489
19239,Watauga,21650
7198,Hoke,8498
5744,Bertie,6808
10949,Person,12882
15341,Beaufort,16752
40037,Catawba,45551
12977,Jackson,14153
360597,Wake,427624
23798,Cleveland,26291
14356,Sampson,17181
13038,Columbus,14067
6513,Caswell,7357
5219,Yancey,5906
16388,Lee,18277
5769,Hertford,6786
23186,Rockingham,26396
266865,Mecklenburg,340929
22295,Carteret,24264
3403,Swain,3615
5556,Avery,6315
11319,Vance,13574
14822,Halifax,16730
14196,Rutherford,16427
24082,Nash,29206
7966,Ashe,8912
9870,Stokes,11229
2035,Graham,2244
15836,Pender,18079
28566,Craven,31380
162268,Guilford,183747
7451,Madison,8257
23181,Chatham,26535
51602,Pitt,55796
33014,Moore,36046
112163,Forsyth,127592
40375,Iredell,45606
11551,Transylvania,12286
6331,Martin,7177
5658,Warren,6923
2565,Jones,2871
11896,Davie,13436
55917,Cumberland,62259
13108,McDowell,14765
7197,Cherokee,8008
4255,Chowan,5205
63243,Orange,70221
9466,Alexander,10843
114600,Durham,130613
35569,Henderson,39273
10780,Pasquotank,12679
4788,Pamlico,5242
3720,Mitchell,4436
6549,Currituck,7970
52455,Brunswick,57270
37019,Davidson,41373
16391,Franklin,18833
16732,Dare,18336
8042,Bladen,9089
74972,New hanover,82861
5699,Anson,6736
