Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47430,Robeson,54215
13463,5530,Perquimans,6159
209339,97968,Johnston,106229
143667,56521,Randolph,60563
4937,3011,Hyde,3190
11137,5878,Alleghany,6266
58741,22495,Duplin,24755
11562,4108,Gates,4485
62317,32440,Haywood,34355
62806,24546,Stanly,26651
,148909,Missing,143128
81801,37238,Wilson,40393
4016,1781,Tyrrell,1929
123131,55002,Wayne,62727
27173,10814,Montgomery,11667
55949,27072,Lenoir,29641
34823,15394,Scotland,16846
169509,89546,Alamance,95026
10867,4683,Camden,5059
21069,9906,Greene,10736
142088,56326,Rowan,61186
19483,8420,Northampton,9133
68412,29151,Wilkes,32273
86111,38261,Lincoln,40999
82178,35001,Caldwell,37502
20724,8870,Polk,9405
71783,33599,Surry,35972
35858,19456,Macon,20751
11231,4681,Clay,5081
37667,16865,Yadkin,18016
197938,93634,Onslow,114019
44829,19008,Richmond,21015
261191,155843,Buncombe,163197
239859,117326,Union,124100
216453,105244,Cabarrus,112289
11580,5147,Washington,5908
135976,48635,Harnett,53185
90485,38381,Burke,41347
,84316,Out of State,94610
60443,34774,Granville,36924
224529,98600,Gaston,107440
51472,21754,Edgecombe,23893
56177,29336,Watauga,31520
55234,16325,Hoke,18430
18947,9068,Bertie,10127
39490,19931,Person,21306
46994,23087,Beaufort,25006
159551,76601,Catawba,81412
43938,21279,Jackson,22985
1111761,726118,Wake,760537
97947,42958,Cleveland,47066
63531,29166,Sampson,32225
55508,22293,Columbus,24194
22604,9809,Caswell,10666
18069,8258,Yancey,8903
61779,30354,Lee,32969
23677,9910,Hertford,11028
91010,41444,Rockingham,44590
1110356,620130,Mecklenburg,666259
69473,36409,Carteret,39028
14271,7031,Swain,8055
17557,8672,Avery,9379
44535,22298,Vance,24334
50010,24017,Halifax,25943
67029,25178,Rutherford,27765
94298,48759,Nash,52513
27203,13161,Ashe,14155
45591,19188,Stokes,20752
8441,3620,Graham,4030
63060,28960,Pender,31346
102139,53008,Craven,58302
537174,294232,Guilford,313275
21755,11396,Madison,11929
74470,38985,Chatham,41257
180742,86003,Pitt,92121
100880,52403,Moore,55737
382295,210162,Forsyth,225696
181806,85094,Iredell,90680
34385,17414,Transylvania,18070
22440,10591,Martin,11536
19731,9840,Warren,10560
9419,4303,Jones,4670
42846,22014,Davie,23233
335509,185042,Cumberland,212862
45756,21454,McDowell,23343
28612,11933,Cherokee,13092
13943,6912,Chowan,7880
148476,103221,Orange,106840
37497,14558,Alexander,15569
321488,204671,Durham,215810
117417,61287,Henderson,64435
39824,17867,Pasquotank,20377
12726,6676,Pamlico,7073
14964,6512,Mitchell,7106
27763,10359,Currituck,11551
142820,83114,Brunswick,87916
167609,71524,Davidson,77645
69685,33335,Franklin,35499
37009,24788,Dare,26104
32722,14662,Bladen,16001
234473,134952,New Hanover,142819
24446,9883,Anson,10834
