Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47028,Robeson,54005
13463,5518,Perquimans,6146
209339,97356,Johnston,105867
143667,56097,Randolph,60357
4937,2989,Hyde,3187
11137,5862,Alleghany,6256
58741,22250,Duplin,24628
11562,4076,Gates,4474
62317,32300,Haywood,34292
62806,24375,Stanly,26514
,146331,Missing,140597
81801,36958,Wilson,40113
4016,1772,Tyrrell,1925
123131,54676,Wayne,62558
27173,10756,Montgomery,11642
55949,26885,Lenoir,29570
34823,15308,Scotland,16790
169509,89086,Alamance,94686
10867,4669,Camden,5048
21069,9839,Greene,10692
142088,55902,Rowan,60873
19483,8405,Northampton,9114
68412,28809,Wilkes,32119
86111,38054,Lincoln,40870
82178,34814,Caldwell,37403
20724,8835,Polk,9390
71783,33228,Surry,35661
35858,19364,Macon,20710
11231,4599,Clay,5067
37667,16762,Yadkin,17962
197938,93176,Onslow,113785
44829,18880,Richmond,20961
261191,155294,Buncombe,162876
239859,116674,Union,123631
216453,104667,Cabarrus,111983
11580,5120,Washington,5899
135976,48324,Harnett,53029
90485,38309,Burke,41344
,83386,Out of State,93222
60443,34580,Granville,36774
224529,97890,Gaston,106937
51472,21563,Edgecombe,23750
56177,29255,Watauga,31490
55234,16221,Hoke,18368
18947,9020,Bertie,10101
39490,19831,Person,21250
46994,23014,Beaufort,24967
159551,76021,Catawba,81174
43938,21081,Jackson,22810
1111761,723635,Wake,758810
97947,42573,Cleveland,46804
63531,28922,Sampson,32095
55508,22123,Columbus,24142
22604,9760,Caswell,10633
18069,8210,Yancey,8875
61779,30210,Lee,32830
23677,9848,Hertford,10971
91010,41195,Rockingham,44438
1110356,617646,Mecklenburg,664204
69473,36213,Carteret,38879
14271,6898,Swain,7891
17557,8608,Avery,9338
44535,22184,Vance,24245
50010,23881,Halifax,25835
67029,24915,Rutherford,27622
94298,48424,Nash,52304
27203,13092,Ashe,14123
45591,19033,Stokes,20686
8441,3551,Graham,3996
63060,28781,Pender,31272
102139,52763,Craven,58106
537174,293035,Guilford,312300
21755,11340,Madison,11905
74470,39014,Chatham,41201
180742,85577,Pitt,91872
100880,52227,Moore,55535
382295,209216,Forsyth,225020
181806,84609,Iredell,90385
34385,17371,Transylvania,18045
22440,10554,Martin,11520
19731,9780,Warren,10518
9419,4283,Jones,4659
42846,21879,Davie,23163
335509,184261,Cumberland,212372
45756,21297,McDowell,23286
28612,11785,Cherokee,13046
13943,6869,Chowan,7858
148476,103005,Orange,106511
37497,14510,Alexander,15571
321488,204064,Durham,215107
117417,61088,Henderson,64299
39824,17786,Pasquotank,20295
12726,6663,Pamlico,7054
14964,6458,Mitchell,7086
27763,10321,Currituck,11514
142820,82908,Brunswick,87767
167609,70973,Davidson,77276
69685,33166,Franklin,35409
37009,24709,Dare,26059
32722,14583,Bladen,15984
234473,134448,New Hanover,142533
24446,9775,Anson,10763
