Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47155,Robeson,54063
13463,5521,Perquimans,6152
209339,97499,Johnston,105934
143667,56188,Randolph,60439
4937,2998,Hyde,3189
11137,5864,Alleghany,6259
58741,22291,Duplin,24649
11562,4105,Gates,4483
62317,32349,Haywood,34319
62806,24415,Stanly,26541
,146883,Missing,141149
81801,37023,Wilson,40184
4016,1777,Tyrrell,1927
123131,54784,Wayne,62642
27173,10787,Montgomery,11660
55949,26941,Lenoir,29591
34823,15340,Scotland,16818
169509,89234,Alamance,94831
10867,4673,Camden,5054
21069,9857,Greene,10702
142088,56034,Rowan,60957
19483,8408,Northampton,9120
68412,28908,Wilkes,32153
86111,38125,Lincoln,40919
82178,34867,Caldwell,37434
20724,8846,Polk,9394
71783,33447,Surry,35870
35858,19388,Macon,20721
11231,4607,Clay,5069
37667,16785,Yadkin,17981
197938,93302,Onslow,113854
44829,18916,Richmond,20982
261191,155434,Buncombe,162958
239859,116875,Union,123742
216453,104826,Cabarrus,112073
11580,5133,Washington,5901
135976,48446,Harnett,53087
90485,38304,Burke,41338
,83738,Out of State,93604
60443,34614,Granville,36788
224529,98056,Gaston,107048
51472,21616,Edgecombe,23804
56177,29296,Watauga,31503
55234,16259,Hoke,18390
18947,9046,Bertie,10113
39490,19851,Person,21264
46994,23033,Beaufort,24973
159551,76193,Catawba,81239
43938,21221,Jackson,22946
1111761,724477,Wake,759405
97947,42673,Cleveland,46887
63531,28970,Sampson,32130
55508,22169,Columbus,24170
22604,9799,Caswell,10656
18069,8230,Yancey,8888
61779,30254,Lee,32883
23677,9887,Hertford,10998
91010,41261,Rockingham,44469
1110356,618354,Mecklenburg,664739
69473,36260,Carteret,38923
14271,7013,Swain,8023
17557,8625,Avery,9349
44535,22226,Vance,24274
50010,23919,Halifax,25869
67029,24963,Rutherford,27654
94298,48511,Nash,52370
27203,13108,Ashe,14137
45591,19079,Stokes,20704
8441,3588,Graham,4025
63060,28837,Pender,31294
102139,52848,Craven,58181
537174,293331,Guilford,312570
21755,11351,Madison,11913
74470,39002,Chatham,41205
180742,85687,Pitt,91934
100880,52277,Moore,55606
382295,209504,Forsyth,225210
181806,84751,Iredell,90478
34385,17382,Transylvania,18051
22440,10556,Martin,11524
19731,9796,Warren,10533
9419,4287,Jones,4662
42846,21935,Davie,23180
335509,184535,Cumberland,212525
45756,21328,McDowell,23296
28612,11831,Cherokee,13070
13943,6879,Chowan,7864
148476,103090,Orange,106621
37497,14524,Alexander,15576
321488,204227,Durham,215242
117417,61149,Henderson,64349
39824,17819,Pasquotank,20325
12726,6668,Pamlico,7062
14964,6469,Mitchell,7093
27763,10347,Currituck,11526
142820,82966,Brunswick,87820
167609,71109,Davidson,77457
69685,33216,Franklin,35435
37009,24734,Dare,26075
32722,14603,Bladen,15995
234473,134591,New Hanover,142629
24446,9824,Anson,10783
