Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47745,Robeson,54353
13463,5559,Perquimans,6173
209339,98398,Johnston,106472
143667,56786,Randolph,60727
4937,3015,Hyde,3190
11137,5885,Alleghany,6272
58741,22611,Duplin,24805
11562,4152,Gates,4507
62317,32509,Haywood,34397
62806,24662,Stanly,26723
,150025,Missing,144051
81801,37371,Wilson,40507
4016,1782,Tyrrell,1929
123131,55338,Wayne,62856
27173,10859,Montgomery,11696
55949,27194,Lenoir,29719
34823,15474,Scotland,16899
169509,89816,Alamance,95218
10867,4701,Camden,5071
21069,9949,Greene,10758
142088,56527,Rowan,61316
19483,8445,Northampton,9148
68412,29335,Wilkes,32333
86111,38407,Lincoln,41070
82178,35169,Caldwell,37578
20724,8886,Polk,9410
71783,33707,Surry,36031
35858,19497,Macon,20750
11231,4699,Clay,5088
37667,16928,Yadkin,18037
197938,93975,Onslow,114279
44829,19099,Richmond,21057
261191,156142,Buncombe,163386
239859,117675,Union,124336
216453,105526,Cabarrus,112496
11580,5170,Washington,5925
135976,48907,Harnett,53340
90485,38643,Burke,41418
,84628,Out of State,95163
60443,34861,Granville,36984
224529,98928,Gaston,107715
51472,21890,Edgecombe,23980
56177,29364,Watauga,31520
55234,16405,Hoke,18479
18947,9132,Bertie,10166
39490,19991,Person,21337
46994,23183,Beaufort,25086
159551,76869,Catawba,81547
43938,21324,Jackson,23013
1111761,727400,Wake,761866
97947,43157,Cleveland,47204
63531,29302,Sampson,32301
55508,22400,Columbus,24231
22604,9839,Caswell,10682
18069,8272,Yancey,8918
61779,30471,Lee,33042
23677,9959,Hertford,11057
91010,41631,Rockingham,44672
1110356,621721,Mecklenburg,667402
69473,36569,Carteret,39146
14271,7061,Swain,8070
17557,8685,Avery,9381
44535,22375,Vance,24415
50010,24108,Halifax,26008
67029,25318,Rutherford,27829
94298,49016,Nash,52683
27203,13236,Ashe,14178
45591,19249,Stokes,20790
8441,3631,Graham,4033
63060,29064,Pender,31399
102139,53211,Craven,58486
537174,294916,Guilford,313720
21755,11416,Madison,11933
74470,39014,Chatham,41257
180742,86333,Pitt,92338
100880,52517,Moore,55812
382295,210659,Forsyth,226046
181806,85390,Iredell,90847
34385,17442,Transylvania,18085
22440,10655,Martin,11566
19731,9869,Warren,10584
9419,4334,Jones,4685
42846,22075,Davie,23280
335509,185329,Cumberland,212977
45756,21550,McDowell,23410
28612,12008,Cherokee,13113
13943,6949,Chowan,7898
148476,103352,Orange,107064
37497,14624,Alexander,15597
321488,205052,Durham,216153
117417,61434,Henderson,64509
39824,17983,Pasquotank,20452
12726,6696,Pamlico,7094
14964,6534,Mitchell,7114
27763,10393,Currituck,11590
142820,83381,Brunswick,88050
167609,71816,Davidson,77816
69685,33503,Franklin,35571
37009,24840,Dare,26129
32722,14723,Bladen,16022
234473,135211,New Hanover,142961
24446,9924,Anson,10878
