Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,42402,Robeson,51177
13463,5210,Perquimans,5928
209339,91711,Johnston,101601
143667,52473,Randolph,57750
4937,2920,Hyde,3146
11137,5573,Alleghany,6122
58741,20650,Duplin,23662
11562,3913,Gates,4402
62317,30506,Haywood,32458
62806,22901,Stanly,25234
,98020,Missing,108913
81801,35012,Wilson,38306
4016,1677,Tyrrell,1863
123131,51378,Wayne,59702
27173,10127,Montgomery,11154
55949,25130,Lenoir,28268
34823,14750,Scotland,16455
169509,84706,Alamance,91012
10867,4388,Camden,4742
21069,9216,Greene,10275
142088,64590,Rowan,70706
19483,8033,Northampton,8808
68412,26323,Wilkes,30731
86111,36365,Lincoln,39445
82178,33065,Caldwell,36187
20724,8506,Polk,9082
71783,31469,Surry,34237
35858,18827,Macon,20437
11231,4257,Clay,4787
37667,15648,Yadkin,17162
197938,86401,Onslow,106994
44829,17579,Richmond,20121
261191,160126,Buncombe,168615
239859,111709,Union,119512
216453,99044,Cabarrus,107096
11580,4796,Washington,5648
135976,45144,Harnett,50348
90485,36140,Burke,39739
,79142,Out of State,87339
60443,32872,Granville,35520
224529,92599,Gaston,102064
51472,20381,Edgecombe,22568
56177,28575,Watauga,30937
55234,25066,Hoke,28284
18947,8581,Bertie,9749
39490,18715,Person,20264
46994,21906,Beaufort,23943
159551,72867,Catawba,78976
43938,23304,Jackson,26364
1111761,704051,Wake,742356
97947,39707,Cleveland,44356
63531,26843,Sampson,30710
55508,20638,Columbus,23188
22604,9373,Caswell,10319
18069,7719,Yancey,8499
61779,29509,Lee,32284
23677,9268,Hertford,10572
91010,38858,Rockingham,42757
1110356,604231,Mecklenburg,651997
69473,35120,Carteret,38115
14271,5021,Swain,5633
17557,8213,Avery,8989
44535,20976,Vance,23168
50010,22521,Halifax,24684
67029,22957,Rutherford,26161
94298,46072,Nash,50136
27203,12463,Ashe,13732
45591,18020,Stokes,19857
8441,3119,Graham,3571
63060,27173,Pender,30011
102139,49882,Craven,55117
537174,289161,Guilford,309767
21755,10825,Madison,11438
74470,38275,Chatham,40807
180742,86581,Pitt,93742
100880,50169,Moore,53576
382295,200480,Forsyth,217219
181806,79787,Iredell,85412
34385,16795,Transylvania,17546
22440,9927,Martin,11044
19731,9332,Warren,10083
9419,4060,Jones,4462
42846,20802,Davie,22306
335509,176522,Cumberland,202138
45756,19506,McDowell,21972
28612,10660,Cherokee,12130
13943,6526,Chowan,7614
148476,117300,Orange,121663
37497,13925,Alexander,15125
321488,198471,Durham,210173
117417,58065,Henderson,61715
39824,16925,Pasquotank,19540
12726,6404,Pamlico,6844
14964,5972,Mitchell,6750
27763,9878,Currituck,11190
142820,79427,Brunswick,84763
167609,66298,Davidson,73263
69685,31348,Franklin,34084
37009,24116,Dare,25603
32722,13653,Bladen,15430
234473,134427,New Hanover,143805
24446,9244,Anson,10209
