Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49621,Robeson,55508
13463,5736,Perquimans,6273
209339,101181,Johnston,108533
143667,58224,Randolph,61587
4937,3054,Hyde,3211
11137,6014,Alleghany,6414
58741,23175,Duplin,25201
11562,4227,Gates,4567
62317,33429,Haywood,35226
62806,25421,Stanly,27193
,164341,Missing,159033
81801,38698,Wilson,41338
4016,1839,Tyrrell,1950
123131,57724,Wayne,64030
27173,11119,Montgomery,11853
55949,28041,Lenoir,30213
34823,15900,Scotland,17119
169509,91963,Alamance,96854
10867,5013,Camden,5231
21069,10206,Greene,10893
142088,57928,Rowan,62120
19483,8533,Northampton,9203
68412,30158,Wilkes,32607
86111,39638,Lincoln,41959
82178,36038,Caldwell,38174
20724,8873,Polk,9334
71783,34786,Surry,36817
35858,19940,Macon,20981
11231,4849,Clay,5139
37667,17318,Yadkin,18244
197938,104669,Onslow,119593
44829,19645,Richmond,21376
261191,158915,Buncombe,165457
239859,120933,Union,126825
216453,108361,Cabarrus,114779
11580,5363,Washington,6008
135976,50305,Harnett,54160
90485,39506,Burke,41814
,88125,Out of State,99471
60443,35426,Granville,37436
224529,102277,Gaston,110374
51472,22580,Edgecombe,24460
56177,29885,Watauga,31903
55234,16949,Hoke,18849
18947,9398,Bertie,10326
39490,20599,Person,21715
46994,23779,Beaufort,25439
159551,79092,Catawba,83207
43938,21731,Jackson,23382
1111761,739123,Wake,772566
97947,44925,Cleveland,48150
63531,30091,Sampson,32695
55508,22884,Columbus,24561
22604,10037,Caswell,10798
18069,8472,Yancey,9002
61779,31218,Lee,33579
23677,10272,Hertford,11237
91010,42765,Rockingham,45348
1110356,637748,Mecklenburg,680429
69473,37323,Carteret,39736
14271,7233,Swain,8314
17557,8852,Avery,9465
44535,22967,Vance,24847
50010,24680,Halifax,26510
67029,26066,Rutherford,28140
94298,50159,Nash,53499
27203,13517,Ashe,14397
45591,19814,Stokes,21161
8441,3734,Graham,4070
63060,29753,Pender,31907
102139,56374,Craven,60549
537174,300338,Guilford,317789
21755,11702,Madison,12089
74470,39107,Chatham,41025
180742,88079,Pitt,93840
100880,53288,Moore,56489
382295,215253,Forsyth,229166
181806,87948,Iredell,92784
34385,17701,Transylvania,18250
22440,10831,Martin,11648
19731,10136,Warren,10744
9419,4465,Jones,4792
42846,22572,Davie,23593
335509,193112,Cumberland,217703
45756,22174,McDowell,23722
28612,12381,Cherokee,13274
13943,7143,Chowan,8002
148476,104615,Orange,108207
37497,15186,Alexander,15960
321488,208068,Durham,218855
117417,63189,Henderson,65930
39824,18750,Pasquotank,21112
12726,6808,Pamlico,7189
14964,6671,Mitchell,7188
27763,10661,Currituck,11958
142820,84580,Brunswick,88830
167609,73884,Davidson,79087
69685,34198,Franklin,36077
37009,25177,Dare,26266
32722,15036,Bladen,16219
234473,137590,New Hanover,144909
24446,10295,Anson,11174
