Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,44771,Robeson,52484
13463,5341,Perquimans,6019
209339,94269,Johnston,103293
143667,54026,Randolph,58734
4937,2952,Hyde,3175
11137,5714,Alleghany,6172
58741,21365,Duplin,24062
11562,3990,Gates,4434
62317,31019,Haywood,32821
62806,23418,Stanly,25662
,102956,Missing,112983
81801,35806,Wilson,39043
4016,1740,Tyrrell,1908
123131,53061,Wayne,61180
27173,10403,Montgomery,11341
55949,25911,Lenoir,28746
34823,15152,Scotland,16724
169509,86463,Alamance,92161
10867,4563,Camden,4959
21069,9492,Greene,10460
142088,66178,Rowan,71944
19483,8214,Northampton,8923
68412,27360,Wilkes,31336
86111,37140,Lincoln,40040
82178,33877,Caldwell,36710
20724,8604,Polk,9152
71783,32120,Surry,34645
35858,19144,Macon,20670
11231,4387,Clay,4926
37667,16165,Yadkin,17521
197938,90315,Onslow,111921
44829,18140,Richmond,20408
261191,162721,Buncombe,170506
239859,113998,Union,121281
216453,101437,Cabarrus,109002
11580,4928,Washington,5740
135976,46301,Harnett,51155
90485,37108,Burke,40494
,80767,Out of State,89127
60443,33632,Granville,35955
224529,94905,Gaston,103747
51472,20774,Edgecombe,22870
56177,28961,Watauga,31245
55234,25788,Hoke,28701
18947,8802,Bertie,9950
39490,19188,Person,20561
46994,22318,Beaufort,24305
159551,74496,Catawba,80310
43938,23787,Jackson,26673
1111761,713707,Wake,748799
97947,41069,Cleveland,45425
63531,27739,Sampson,31247
55508,21290,Columbus,23537
22604,9523,Caswell,10441
18069,7919,Yancey,8624
61779,30167,Lee,32745
23677,9531,Hertford,10758
91010,39939,Rockingham,43440
1110356,615138,Mecklenburg,661919
69473,35761,Carteret,38558
14271,5124,Swain,5700
17557,8372,Avery,9143
44535,21506,Vance,23543
50010,23061,Halifax,25157
67029,23720,Rutherford,26655
94298,47037,Nash,50875
27203,12728,Ashe,13895
45591,18394,Stokes,20190
8441,3217,Graham,3646
63060,27823,Pender,30411
102139,50982,Craven,56306
537174,294011,Guilford,313649
21755,11034,Madison,11614
74470,38710,Chatham,41018
180742,88219,Pitt,94953
100880,51033,Moore,54107
382295,204328,Forsyth,220094
181806,81617,Iredell,87599
34385,16988,Transylvania,17665
22440,10186,Martin,11222
19731,9500,Warren,10240
9419,4135,Jones,4533
42846,21256,Davie,22602
335509,181566,Cumberland,207483
45756,20269,McDowell,22499
28612,10980,Cherokee,12400
13943,6714,Chowan,7783
148476,118422,Orange,122419
37497,14167,Alexander,15329
321488,201335,Durham,212061
117417,59193,Henderson,62401
39824,17358,Pasquotank,19921
12726,6493,Pamlico,6893
14964,6192,Mitchell,6905
27763,10073,Currituck,11296
142820,80661,Brunswick,85458
167609,68227,Davidson,74723
69685,32123,Franklin,34553
37009,24359,Dare,25816
32722,14114,Bladen,15650
234473,136821,New Hanover,145283
24446,9454,Anson,10440
