People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4544,3645,23391,26561,Robeson
386,337,3655,4209,Perquimans
14207,11193,50587,57940,Johnston
8455,6724,30419,32903,Randolph
107,92,2186,2424,Hyde
789,664,3629,3934,Alleghany
3049,2589,11685,13090,Duplin
244,201,2774,3259,Gates
4754,3925,18613,21212,Haywood
2846,2180,14160,15945,Stanly
38442,30064,11492,13234,Missing County
5014,4161,20167,22829,Wilson
79,69,1177,1320,Tyrrell
6290,5083,26069,28983,Wayne
1198,974,6727,7524,Montgomery
4159,3530,14818,16189,Lenoir
1855,1536,9243,10278,Scotland
11320,9342,53356,58278,Alamance
277,219,2463,2914,Camden
1036,899,5897,6466,Greene
8663,6728,27661,30664,Rowan
556,440,6010,6658,Northampton
3957,2984,15799,17175,Wilkes
6999,5401,20585,22902,Lincoln
4020,3096,21886,23441,Caldwell
1123,1004,6293,6735,Polk
5589,4618,19957,21244,Surry
1423,1236,13563,14467,Macon
747,673,2824,3049,Clay
1841,1565,10183,10921,Yadkin
8300,6307,27910,30492,Onslow
1865,1496,11631,12703,Richmond
28079,25073,87522,96710,Buncombe
21053,16789,57985,65138,Union
20126,16296,48762,56583,Cabarrus
902,695,2869,3260,Washington
6410,4736,25614,28463,Harnett
4343,3363,24016,25806,Burke
0,0,67182,78382,Out of State
4539,3684,17778,19510,Granville
15381,11933,52345,58020,Gaston
2573,2062,11696,13674,Edgecombe
2638,2329,20048,21775,Watauga
1873,1474,7490,8633,Hoke
663,571,5933,6916,Bertie
2203,1744,11583,13045,Person
2089,1710,15652,16897,Beaufort
12616,9802,42362,45933,Catawba
1529,1273,13351,14300,Jackson
137919,115068,388112,433031,Wake
5553,4344,24702,26692,Cleveland
3076,2398,15539,17550,Sampson
2314,1937,13391,14304,Columbus
735,465,6641,7438,Caswell
396,312,5549,6208,Yancey
4008,3288,16968,18502,Lee
1031,906,5942,6920,Hertford
5165,3910,24327,26727,Rockingham
117775,92975,298074,347290,Mecklenburg
5562,4678,22722,24394,Carteret
586,464,3453,3635,Swain
702,597,5850,6390,Avery
3098,2456,12013,13755,Vance
1798,1460,15189,16898,Halifax
2320,2021,14805,16774,Rutherford
7285,5863,25466,29630,Nash
1597,1458,8272,9074,Ashe
3260,2667,10478,11512,Stokes
267,219,2092,2270,Graham
4026,3411,16578,18276,Pender
6231,5336,29732,31543,Craven
45193,37318,170212,186214,Guilford
664,616,7992,8595,Madison
7929,6775,23974,26741,Chatham
11262,9694,52509,56247,Pitt
7643,6726,33890,36384,Moore
34077,29212,116610,129082,Forsyth
16719,12987,42309,45481,Iredell
2005,1770,11849,12613,Transylvania
968,800,6476,7250,Martin
1108,964,6144,6980,Warren
430,351,2605,2915,Jones
3513,3002,12403,13640,Davie
17833,13082,57916,62988,Cumberland
1431,1134,13951,15142,McDowell
1311,1125,7479,8131,Cherokee
728,679,4306,5242,Chowan
16015,14568,65881,70756,Orange
996,841,10063,10949,Alexander
30525,25637,120574,132220,Durham
8324,7284,37807,40764,Henderson
1875,1438,10972,12839,Pasquotank
436,371,4877,5259,Pamlico
444,352,4116,4705,Mitchell
928,749,6890,8067,Currituck
12408,11230,53882,57665,Brunswick
10452,8404,38377,42066,Davidson
5659,4481,17316,19033,Franklin
2699,2315,17341,18447,Dare
1469,1169,8348,9227,Bladen
24892,21171,78119,83752,New Hanover
833,660,5990,6832,Anson
