Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,48570,Robeson,54880
13463,5633,Perquimans,6220
209339,99896,Johnston,107708
143667,57475,Randolph,61164
4937,3037,Hyde,3202
11137,5966,Alleghany,6379
58741,22862,Duplin,24967
11562,4180,Gates,4536
62317,33053,Haywood,34986
62806,25009,Stanly,26973
,155699,Missing,150079
81801,37992,Wilson,40886
4016,1815,Tyrrell,1943
123131,56870,Wayne,63526
27173,10981,Montgomery,11761
55949,27642,Lenoir,29947
34823,15673,Scotland,16995
169509,90561,Alamance,95790
10867,4915,Camden,5182
21069,10052,Greene,10819
142088,57296,Rowan,61824
19483,8513,Northampton,9196
68412,29879,Wilkes,32529
86111,39119,Lincoln,41655
82178,35590,Caldwell,37827
20724,8956,Polk,9454
71783,34016,Surry,36229
35858,19704,Macon,20862
11231,4779,Clay,5110
37667,17125,Yadkin,18138
197938,101800,Onslow,118190
44829,19362,Richmond,21222
261191,157406,Buncombe,164432
239859,119603,Union,125964
216453,107377,Cabarrus,114146
11580,5276,Washington,5979
135976,49599,Harnett,53775
90485,39094,Burke,41627
,86133,Out of State,97301
60443,35115,Granville,37184
224529,100570,Gaston,109253
51472,22316,Edgecombe,24246
56177,29682,Watauga,31822
55234,16676,Hoke,18677
18947,9287,Bertie,10248
39490,20197,Person,21494
46994,23521,Beaufort,25250
159551,78124,Catawba,82668
43938,21515,Jackson,23171
1111761,733562,Wake,768061
97947,44007,Cleveland,47596
63531,29737,Sampson,32498
55508,22665,Columbus,24396
22604,9942,Caswell,10732
18069,8379,Yancey,8959
61779,30844,Lee,33297
23677,10110,Hertford,11151
91010,42183,Rockingham,44966
1110356,631392,Mecklenburg,676476
69473,36921,Carteret,39479
14271,7144,Swain,8144
17557,8773,Avery,9422
44535,22658,Vance,24636
50010,24355,Halifax,26244
67029,25670,Rutherford,27974
94298,49629,Nash,53126
27203,13382,Ashe,14292
45591,19547,Stokes,20992
8441,3706,Graham,4051
63060,29570,Pender,31853
102139,55243,Craven,59927
537174,297597,Guilford,315824
21755,11521,Madison,12012
74470,39155,Chatham,41189
180742,87307,Pitt,93198
100880,52958,Moore,56244
382295,212800,Forsyth,227697
181806,86937,Iredell,92248
34385,17532,Transylvania,18147
22440,10793,Martin,11643
19731,9988,Warren,10669
9419,4403,Jones,4761
42846,22309,Davie,23442
335509,190044,Cumberland,216126
45756,21847,McDowell,23568
28612,12212,Cherokee,13180
13943,7054,Chowan,7965
148476,103658,Orange,107374
37497,14903,Alexander,15778
321488,206344,Durham,217385
117417,62390,Henderson,65426
39824,18343,Pasquotank,20821
12726,6757,Pamlico,7150
14964,6609,Mitchell,7155
27763,10516,Currituck,11782
142820,83991,Brunswick,88472
167609,72849,Davidson,78502
69685,33860,Franklin,35834
37009,24981,Dare,26196
32722,14879,Bladen,16100
234473,136603,New Hanover,144294
24446,10089,Anson,10991
