Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,46027,Robeson,53528
13463,5439,Perquimans,6078
209339,96300,Johnston,105311
143667,55227,Randolph,59920
4937,2975,Hyde,3185
11137,5783,Alleghany,6228
58741,21985,Duplin,24480
11562,4034,Gates,4459
62317,32086,Haywood,34162
62806,24037,Stanly,26314
,142711,Missing,137065
81801,36548,Wilson,39884
4016,1749,Tyrrell,1912
123131,53962,Wayne,62076
27173,10670,Montgomery,11569
55949,26587,Lenoir,29395
34823,15152,Scotland,16705
169509,88263,Alamance,94007
10867,4614,Camden,5010
21069,9681,Greene,10628
142088,55343,Rowan,60523
19483,8353,Northampton,9085
68412,28202,Wilkes,31930
86111,37660,Lincoln,40616
82178,34414,Caldwell,37206
20724,8784,Polk,9345
71783,32664,Surry,35191
35858,19152,Macon,20625
11231,4514,Clay,5042
37667,16516,Yadkin,17846
197938,91124,Onslow,112487
44829,18680,Richmond,20847
261191,154419,Buncombe,162391
239859,115677,Union,122924
216453,103732,Cabarrus,111554
11580,5042,Washington,5844
135976,47729,Harnett,52646
90485,37814,Burke,41126
,82045,Out of State,91123
60443,34352,Granville,36627
224529,96824,Gaston,106139
51472,21286,Edgecombe,23490
56177,29129,Watauga,31428
55234,16001,Hoke,18206
18947,8902,Bertie,10048
39490,19629,Person,21112
46994,22831,Beaufort,24833
159551,75154,Catawba,80779
43938,20917,Jackson,22683
1111761,719990,Wake,755847
97947,41974,Cleveland,46421
63531,28413,Sampson,31869
55508,21838,Columbus,24079
22604,9684,Caswell,10604
18069,8127,Yancey,8832
61779,29930,Lee,32642
23677,9679,Hertford,10876
91010,40663,Rockingham,44154
1110356,613552,Mecklenburg,661152
69473,35843,Carteret,38633
14271,6838,Swain,7820
17557,8500,Avery,9267
44535,21984,Vance,24110
50010,23651,Halifax,25699
67029,24581,Rutherford,27444
94298,47981,Nash,51956
27203,12933,Ashe,14062
45591,18802,Stokes,20570
8441,3497,Graham,3980
63060,28472,Pender,31093
102139,52217,Craven,57686
537174,291024,Guilford,310852
21755,11237,Madison,11878
74470,39002,Chatham,41284
180742,84882,Pitt,91461
100880,51958,Moore,55266
382295,207673,Forsyth,224019
181806,83708,Iredell,89901
34385,17291,Transylvania,18000
22440,10405,Martin,11458
19731,9685,Warren,10451
9419,4233,Jones,4633
42846,21690,Davie,23033
335509,182488,Cumberland,210739
45756,20935,McDowell,23145
28612,11576,Cherokee,12993
13943,6785,Chowan,7818
148476,102692,Orange,106147
37497,14406,Alexander,15533
321488,203081,Durham,213979
117417,60573,Henderson,64018
39824,17533,Pasquotank,20114
12726,6616,Pamlico,7021
14964,6354,Mitchell,7062
27763,10231,Currituck,11457
142820,82428,Brunswick,87405
167609,69974,Davidson,76538
69685,32832,Franklin,35259
37009,24558,Dare,25963
32722,14421,Bladen,15930
234473,133601,New Hanover,142049
24446,9678,Anson,10685
,13,Hampton,16
