People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5913,4959,25643,28385,Robeson
514,434,3955,4429,Perquimans
18591,15710,56773,61531,Johnston
10794,9125,33001,34551,Randolph
116,99,2444,2659,Hyde
906,821,4013,4244,Alleghany
3816,3349,12668,13592,Duplin
297,260,3047,3445,Gates
5378,4715,21597,22554,Haywood
3579,3022,15604,16646,Stanly
48102,41056,16602,16690,Missing County
6266,5478,23027,24555,Wilson
86,81,1232,1377,Tyrrell
8522,7215,28737,30534,Wayne
1523,1290,7286,7819,Montgomery
5109,4422,16113,17219,Lenoir
2333,1956,10090,10695,Scotland
14017,11647,58443,61822,Alamance
377,322,2668,3060,Camden
1262,1113,6562,7001,Greene
10888,9016,31206,32808,Rowan
702,568,6362,6838,Northampton
5051,4117,16691,18040,Wilkes
8951,7616,22808,23690,Lincoln
5172,4356,23511,24489,Caldwell
1229,1096,6625,7010,Polk
6575,5635,20984,21973,Surry
1655,1473,14322,15065,Macon
798,738,3046,3170,Clay
2300,1920,10891,11348,Yadkin
11724,9629,29617,31833,Onslow
2360,1987,12545,13270,Richmond
31467,29183,97922,103283,Buncombe
26583,22329,66128,69381,Union
25411,22106,56882,60332,Cabarrus
1067,843,3043,3397,Washington
8809,7113,28146,30174,Harnett
5573,4595,25716,26995,Burke
0,0,72930,80139,Out of State
5613,4871,19303,20517,Granville
20754,17221,57558,60249,Gaston
3375,2763,13092,14646,Edgecombe
3043,2695,22534,24659,Watauga
2709,2194,8301,9177,Hoke
845,707,6411,7211,Bertie
2840,2445,12951,13777,Person
2637,2188,16468,17489,Beaufort
15881,13339,46282,48416,Catawba
1870,1577,14367,14947,Jackson
166018,149959,435437,463646,Wake
7166,5891,26633,27945,Cleveland
3928,3357,17236,18762,Sampson
2821,2388,14283,14858,Columbus
897,593,7315,7808,Caswell
548,432,6214,6588,Yancey
5354,4622,18086,19333,Lee
1324,1135,6476,7203,Hertford
6745,5545,26372,28116,Rockingham
145931,123833,349870,375044,Mecklenburg
6865,6152,23682,24951,Carteret
705,581,3582,3730,Swain
851,761,6325,6830,Avery
4022,3461,13325,14650,Vance
2354,1935,16387,17616,Halifax
2923,2579,16329,17719,Rutherford
9465,8143,28144,31067,Nash
1922,1759,8841,9546,Ashe
4086,3420,11363,11985,Stokes
315,275,2214,2339,Graham
4977,4356,17890,19079,Pender
7947,7070,31370,32906,Craven
56240,48026,187137,197054,Guilford
785,676,8785,9077,Madison
8917,7957,25650,27165,Chatham
14316,12461,55564,58569,Pitt
9243,8363,35925,37652,Moore
41375,36271,128852,136461,Forsyth
21111,17722,46463,47123,Iredell
2258,2104,12711,13291,Transylvania
1194,1036,7089,7629,Martin
1360,1219,6792,7225,Warren
547,453,2882,3076,Jones
4293,3809,13553,14252,Davie
24421,19666,62462,66010,Cumberland
1714,1368,15180,15987,McDowell
1460,1317,7996,8449,Cherokee
887,846,4549,5381,Chowan
17866,17014,72694,76455,Orange
1291,1101,11093,11651,Alexander
35321,31500,134088,141134,Durham
9510,8736,41202,43355,Henderson
2531,2092,11686,13422,Pasquotank
596,527,5070,5366,Pamlico
571,455,4659,4989,Mitchell
1222,1028,7470,8521,Currituck
14459,13292,56320,58863,Brunswick
13135,11193,42475,44794,Davidson
7234,6333,19028,20223,Franklin
3196,2751,18218,19178,Dare
1894,1587,8924,9654,Bladen
29216,26066,83495,87655,New Hanover
1085,883,6690,7109,Anson
