Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,45302,Robeson,52781
13463,5398,Perquimans,6045
209339,94796,Johnston,103726
143667,54418,Randolph,59011
4937,2962,Hyde,3178
11137,5739,Alleghany,6184
58741,21605,Duplin,24140
11562,4018,Gates,4440
62317,31102,Haywood,32860
62806,23561,Stanly,25784
,104912,Missing,114734
81801,35985,Wilson,39244
4016,1741,Tyrrell,1911
123131,53421,Wayne,61513
27173,10469,Montgomery,11371
55949,26118,Lenoir,28877
34823,15235,Scotland,16790
169509,86926,Alamance,92465
10867,4587,Camden,4976
21069,9534,Greene,10490
142088,66516,Rowan,72177
19483,8243,Northampton,8948
68412,27703,Wilkes,31505
86111,37322,Lincoln,40201
82178,34064,Caldwell,36822
20724,8643,Polk,9178
71783,32324,Surry,34800
35858,19270,Macon,20720
11231,4412,Clay,4935
37667,16323,Yadkin,17614
197938,91259,Onslow,112463
44829,18278,Richmond,20475
261191,163148,Buncombe,170742
239859,114663,Union,121730
216453,101925,Cabarrus,109373
11580,4968,Washington,5770
135976,46628,Harnett,51330
90485,37296,Burke,40566
,81350,Out of State,90070
60443,33793,Granville,36030
224529,95566,Gaston,104529
51472,20871,Edgecombe,22967
56177,29022,Watauga,31272
55234,25926,Hoke,28815
18947,8837,Bertie,9968
39490,19261,Person,20636
46994,22375,Beaufort,24361
159551,75008,Catawba,80640
43938,23848,Jackson,26699
1111761,715799,Wake,750287
97947,41366,Cleveland,45738
63531,27918,Sampson,31351
55508,21418,Columbus,23617
22604,9577,Caswell,10474
18069,7957,Yancey,8639
61779,30326,Lee,32910
23677,9605,Hertford,10797
91010,40151,Rockingham,43599
1110356,617601,Mecklenburg,663995
69473,35914,Carteret,38695
14271,5141,Swain,5705
17557,8413,Avery,9163
44535,21578,Vance,23622
50010,23165,Halifax,25236
67029,23878,Rutherford,26756
94298,47251,Nash,51037
27203,12798,Ashe,13921
45591,18523,Stokes,20259
8441,3224,Graham,3649
63060,28019,Pender,30518
102139,51292,Craven,56636
537174,295380,Guilford,314782
21755,11046,Madison,11642
74470,38742,Chatham,40997
180742,88594,Pitt,95178
100880,51140,Moore,54291
382295,205317,Forsyth,220844
181806,82211,Iredell,88175
34385,17029,Transylvania,17691
22440,10250,Martin,11260
19731,9531,Warren,10273
9419,4156,Jones,4551
42846,21354,Davie,22654
335509,182646,Cumberland,208544
45756,20364,McDowell,22557
28612,11041,Cherokee,12437
13943,6757,Chowan,7800
148476,118521,Orange,122567
37497,14274,Alexander,15372
321488,201955,Durham,212591
117417,59402,Henderson,62523
39824,17483,Pasquotank,20042
12726,6522,Pamlico,6908
14964,6241,Mitchell,6925
27763,10150,Currituck,11336
142820,80889,Brunswick,85626
167609,68599,Davidson,75050
69685,32321,Franklin,34673
37009,24461,Dare,25903
32722,14193,Bladen,15690
234473,137284,New Hanover,145596
24446,9535,Anson,10529
