Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49026,Robeson,55158
13463,5678,Perquimans,6244
209339,100485,Johnston,108046
143667,57846,Randolph,61347
4937,3041,Hyde,3206
11137,5987,Alleghany,6391
58741,22961,Duplin,25047
11562,4203,Gates,4552
62317,33169,Haywood,35055
62806,25162,Stanly,27066
,158574,Missing,152986
81801,38219,Wilson,41054
4016,1831,Tyrrell,1946
123131,57284,Wayne,63749
27173,11045,Montgomery,11783
55949,27804,Lenoir,30060
34823,15769,Scotland,17052
169509,91165,Alamance,96227
10867,4955,Camden,5196
21069,10125,Greene,10856
142088,57629,Rowan,61995
19483,8524,Northampton,9201
68412,30007,Wilkes,32557
86111,39318,Lincoln,41794
82178,35761,Caldwell,37956
20724,8981,Polk,9463
71783,34610,Surry,36727
35858,19808,Macon,20922
11231,4818,Clay,5118
37667,17218,Yadkin,18191
197938,103009,Onslow,118792
44829,19480,Richmond,21313
261191,157938,Buncombe,164842
239859,120136,Union,126328
216453,107774,Cabarrus,114453
11580,5323,Washington,5995
135976,49933,Harnett,53953
90485,39321,Burke,41721
,86948,Out of State,98129
60443,35210,Granville,37295
224529,101273,Gaston,109717
51472,22402,Edgecombe,24323
56177,29795,Watauga,31861
55234,16783,Hoke,18769
18947,9329,Bertie,10286
39490,20417,Person,21586
46994,23619,Beaufort,25319
159551,78531,Catawba,82884
43938,21606,Jackson,23239
1111761,736006,Wake,769996
97947,44368,Cleveland,47819
63531,29874,Sampson,32573
55508,22753,Columbus,24436
22604,9984,Caswell,10768
18069,8412,Yancey,8984
61779,31028,Lee,33393
23677,10187,Hertford,11183
91010,42458,Rockingham,45148
1110356,633858,Mecklenburg,677915
69473,37091,Carteret,39599
14271,7188,Swain,8194
17557,8815,Avery,9445
44535,22770,Vance,24705
50010,24492,Halifax,26359
67029,25861,Rutherford,28051
94298,49855,Nash,53307
27203,13431,Ashe,14346
45591,19652,Stokes,21056
8441,3722,Graham,4059
63060,29652,Pender,31869
102139,55783,Craven,60240
537174,298888,Guilford,316732
21755,11567,Madison,12033
74470,39145,Chatham,41122
180742,87688,Pitt,93522
100880,53100,Moore,56344
382295,213734,Forsyth,228276
181806,87334,Iredell,92444
34385,17570,Transylvania,18185
22440,10831,Martin,11676
19731,10045,Warren,10703
9419,4432,Jones,4777
42846,22413,Davie,23505
335509,191736,Cumberland,216976
45756,21979,McDowell,23619
28612,12287,Cherokee,13217
13943,7086,Chowan,7980
148476,104098,Orange,107763
37497,15030,Alexander,15850
321488,207021,Durham,217919
117417,62665,Henderson,65606
39824,18521,Pasquotank,20937
12726,6771,Pamlico,7161
14964,6637,Mitchell,7162
27763,10581,Currituck,11824
142820,84205,Brunswick,88615
167609,73332,Davidson,78756
69685,34010,Franklin,35944
37009,25065,Dare,26221
32722,14952,Bladen,16150
234473,137016,New Hanover,144571
24446,10168,Anson,11092
