Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,48493,Robeson,54841
13463,5626,Perquimans,6216
209339,99815,Johnston,107635
143667,57412,Randolph,61119
4937,3037,Hyde,3202
11137,5960,Alleghany,6375
58741,22837,Duplin,24948
11562,4177,Gates,4533
62317,33037,Haywood,34975
62806,24977,Stanly,26947
,155253,Missing,149612
81801,37952,Wilson,40855
4016,1811,Tyrrell,1942
123131,56782,Wayne,63473
27173,10962,Montgomery,11757
55949,27587,Lenoir,29921
34823,15663,Scotland,16982
169509,90504,Alamance,95744
10867,4906,Camden,5170
21069,10045,Greene,10815
142088,57223,Rowan,61781
19483,8511,Northampton,9193
68412,29846,Wilkes,32502
86111,39078,Lincoln,41628
82178,35546,Caldwell,37806
20724,8951,Polk,9450
71783,33969,Surry,36201
35858,19670,Macon,20855
11231,4777,Clay,5107
37667,17107,Yadkin,18131
197938,101258,Onslow,117955
44829,19344,Richmond,21208
261191,157344,Buncombe,164389
239859,119521,Union,125901
216453,107273,Cabarrus,114080
11580,5275,Washington,5978
135976,49524,Harnett,53733
90485,39073,Burke,41618
,85966,Out of State,97145
60443,35086,Granville,37165
224529,100392,Gaston,109038
51472,22256,Edgecombe,24218
56177,29665,Watauga,31817
55234,16640,Hoke,18657
18947,9267,Bertie,10237
39490,20170,Person,21477
46994,23489,Beaufort,25238
159551,78066,Catawba,82631
43938,21504,Jackson,23152
1111761,733139,Wake,767656
97947,43929,Cleveland,47556
63531,29708,Sampson,32489
55508,22644,Columbus,24384
22604,9933,Caswell,10731
18069,8368,Yancey,8956
61779,30825,Lee,33291
23677,10101,Hertford,11145
91010,42129,Rockingham,44915
1110356,630918,Mecklenburg,676258
69473,36895,Carteret,39455
14271,7136,Swain,8137
17557,8770,Avery,9420
44535,22626,Vance,24618
50010,24323,Halifax,26227
67029,25649,Rutherford,27953
94298,49566,Nash,53090
27203,13366,Ashe,14272
45591,19502,Stokes,20952
8441,3695,Graham,4049
63060,29541,Pender,31838
102139,55102,Craven,59804
537174,297442,Guilford,315691
21755,11510,Madison,12007
74470,39159,Chatham,41198
180742,87240,Pitt,93149
100880,52922,Moore,56218
382295,212638,Forsyth,227605
181806,86851,Iredell,92204
34385,17522,Transylvania,18139
22440,10788,Martin,11637
19731,9981,Warren,10660
9419,4402,Jones,4757
42846,22290,Davie,23430
335509,189869,Cumberland,215936
45756,21830,McDowell,23561
28612,12202,Cherokee,13174
13943,7048,Chowan,7958
148476,103601,Orange,107344
37497,14862,Alexander,15751
321488,206231,Durham,217287
117417,62318,Henderson,65386
39824,18313,Pasquotank,20779
12726,6752,Pamlico,7145
14964,6600,Mitchell,7153
27763,10497,Currituck,11764
142820,83907,Brunswick,88416
167609,72768,Davidson,78426
69685,33819,Franklin,35813
37009,24976,Dare,26192
32722,14864,Bladen,16092
234473,136537,New Hanover,144255
24446,10065,Anson,10971
