People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4567,3678,23613,26636,Robeson
388,338,3682,4234,Perquimans
14367,11400,50938,58088,Johnston
8517,6825,30689,32937,Randolph
108,92,2196,2436,Hyde
793,671,3636,3939,Alleghany
3070,2632,11761,13092,Duplin
245,205,2795,3270,Gates
4761,3986,18720,21247,Haywood
2865,2216,14511,16000,Stanly
38778,30505,11671,13325,Missing County
5044,4205,20531,22909,Wilson
79,70,1177,1320,Tyrrell
6354,5130,26267,29017,Wayne
1205,985,6826,7543,Montgomery
4189,3552,14874,16205,Lenoir
1869,1539,9301,10295,Scotland
11369,9432,53724,58409,Alamance
276,224,2486,2926,Camden
1043,913,5965,6522,Greene
8731,6835,28080,30814,Rowan
561,442,6041,6670,Northampton
3983,3017,15817,17212,Wilkes
7052,5520,20760,22931,Lincoln
4051,3140,21963,23472,Caldwell
1126,1006,6300,6737,Polk
5606,4667,20025,21266,Surry
1414,1269,13605,14507,Macon
749,677,2851,3052,Clay
1853,1574,10212,10929,Yadkin
8371,6423,27984,30559,Onslow
1883,1517,11644,12717,Richmond
28187,25267,88203,96895,Buncombe
21227,17019,58902,65338,Union
20312,16539,49527,56704,Cabarrus
904,702,2883,3271,Washington
6507,4782,25723,28499,Harnett
4372,3413,24121,25848,Burke
0,0,67621,78495,Out of State
4587,3741,17978,19522,Granville
15539,12093,52557,58114,Gaston
2589,2082,11771,13717,Edgecombe
2656,2336,20100,21782,Watauga
1897,1490,7514,8673,Hoke
667,572,5972,6931,Bertie
2214,1765,11628,13081,Person
2097,1721,15725,16957,Beaufort
12683,9905,42824,46033,Catawba
1536,1279,13431,14343,Jackson
138754,116901,392542,433541,Wake
5587,4390,24774,26706,Cleveland
3092,2429,15652,17630,Sampson
2326,1953,13427,14348,Columbus
741,463,6811,7470,Caswell
401,313,5553,6214,Yancey
4022,3322,16988,18534,Lee
1038,911,6015,6932,Hertford
5204,4051,24495,26763,Rockingham
118654,94330,302549,348189,Mecklenburg
5604,4756,22767,24422,Carteret
589,466,3455,3635,Swain
706,610,5885,6405,Avery
3121,2483,12184,13785,Vance
1814,1477,15301,16939,Halifax
2339,2039,14979,16810,Rutherford
7348,5935,25609,29668,Nash
1609,1469,8279,9094,Ashe
3276,2683,10578,11555,Stokes
269,221,2107,2273,Graham
4046,3419,16634,18291,Pender
6275,5382,29925,31599,Craven
45469,37676,171167,186554,Guilford
652,572,8025,8623,Madison
7973,6811,24090,26752,Chatham
11349,9780,52698,56345,Pitt
7702,6771,33932,36449,Moore
34249,29438,117138,129291,Forsyth
16850,13220,42765,45535,Iredell
2011,1787,11873,12633,Transylvania
989,839,6533,7257,Martin
1120,985,6190,7011,Warren
433,356,2694,2920,Jones
3529,3023,12477,13669,Davie
17977,13292,58152,63155,Cumberland
1439,1124,13986,15158,McDowell
1314,1133,7517,8132,Cherokee
735,691,4315,5249,Chowan
16086,14682,66167,70828,Orange
1001,841,10132,10953,Alexander
30689,25875,121590,132429,Durham
8352,7350,37883,40825,Henderson
1885,1480,11000,12867,Pasquotank
442,376,4897,5259,Pamlico
444,354,4144,4720,Mitchell
932,769,6928,8097,Currituck
12455,11314,54030,57722,Brunswick
10539,8541,38564,42149,Davidson
5694,4563,17411,19052,Franklin
2719,2342,17368,18473,Dare
1482,1184,8435,9228,Bladen
25028,21357,78325,83802,New Hanover
836,669,6123,6841,Anson
