Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,46901,Robeson,53932
13463,5509,Perquimans,6139
209339,97217,Johnston,105788
143667,55971,Randolph,60269
4937,2983,Hyde,3186
11137,5844,Alleghany,6247
58741,22207,Duplin,24601
11562,4070,Gates,4473
62317,32266,Haywood,34279
62806,24332,Stanly,26488
,145697,Missing,139976
81801,36855,Wilson,40072
4016,1761,Tyrrell,1920
123131,54609,Wayne,62548
27173,10737,Montgomery,11636
55949,26845,Lenoir,29555
34823,15291,Scotland,16781
169509,88926,Alamance,94535
10867,4665,Camden,5044
21069,9816,Greene,10687
142088,55831,Rowan,60814
19483,8399,Northampton,9112
68412,28710,Wilkes,32090
86111,38002,Lincoln,40834
82178,34754,Caldwell,37377
20724,8822,Polk,9386
71783,33052,Surry,35487
35858,19296,Macon,20674
11231,4584,Clay,5063
37667,16724,Yadkin,17944
197938,93083,Onslow,113716
44829,18850,Richmond,20935
261191,155127,Buncombe,162789
239859,116503,Union,123499
216453,104499,Cabarrus,111887
11580,5087,Washington,5886
135976,48239,Harnett,52978
90485,38240,Burke,41318
,83123,Out of State,92846
60443,34534,Granville,36745
224529,97725,Gaston,106816
51472,21520,Edgecombe,23726
56177,29237,Watauga,31476
55234,16191,Hoke,18326
18947,8983,Bertie,10083
39490,19803,Person,21227
46994,22970,Beaufort,24952
159551,75927,Catawba,81130
43938,21064,Jackson,22794
1111761,723140,Wake,758325
97947,42472,Cleveland,46754
63531,28791,Sampson,32055
55508,22080,Columbus,24139
22604,9732,Caswell,10619
18069,8197,Yancey,8864
61779,30170,Lee,32820
23677,9827,Hertford,10960
91010,41100,Rockingham,44387
1110356,616847,Mecklenburg,663617
69473,36157,Carteret,38859
14271,6893,Swain,7889
17557,8595,Avery,9335
44535,22151,Vance,24226
50010,23858,Halifax,25823
67029,24865,Rutherford,27592
94298,48351,Nash,52237
27203,13082,Ashe,14116
45591,18997,Stokes,20664
8441,3543,Graham,3991
63060,28740,Pender,31248
102139,52677,Craven,58032
537174,292740,Guilford,312054
21755,11322,Madison,11907
74470,39026,Chatham,41226
180742,85493,Pitt,91824
100880,52206,Moore,55495
382295,208947,Forsyth,224839
181806,84500,Iredell,90322
34385,17355,Transylvania,18040
22440,10495,Martin,11505
19731,9771,Warren,10510
9419,4271,Jones,4656
42846,21845,Davie,23139
335509,184067,Cumberland,212306
45756,21229,McDowell,23258
28612,11736,Cherokee,13038
13943,6862,Chowan,7847
148476,102919,Orange,106417
37497,14504,Alexander,15566
321488,203906,Durham,214926
117417,60947,Henderson,64252
39824,17759,Pasquotank,20269
12726,6658,Pamlico,7052
14964,6440,Mitchell,7080
27763,10317,Currituck,11500
142820,82859,Brunswick,87707
167609,70833,Davidson,77184
69685,33123,Franklin,35393
37009,24696,Dare,26041
32722,14550,Bladen,15976
234473,134292,New Hanover,142445
24446,9757,Anson,10752
,13,Hampton,16
