Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,41780,Robeson,50635
13463,5153,Perquimans,5893
209339,91173,Johnston,101166
143667,52218,Randolph,57506
4937,2913,Hyde,3136
11137,5546,Alleghany,6099
58741,20491,Duplin,23572
11562,3884,Gates,4362
62317,30393,Haywood,32365
62806,22744,Stanly,25138
,96822,Missing,107827
81801,34803,Wilson,38126
4016,1664,Tyrrell,1855
123131,51089,Wayne,59330
27173,10092,Montgomery,11137
55949,24964,Lenoir,28081
34823,14666,Scotland,16380
169509,84261,Alamance,90757
10867,4344,Camden,4703
21069,9169,Greene,10228
142088,64352,Rowan,70498
19483,7995,Northampton,8766
68412,26090,Wilkes,30434
86111,36206,Lincoln,39269
82178,32871,Caldwell,36005
20724,8475,Polk,9067
71783,31335,Surry,34109
35858,18706,Macon,20333
11231,4227,Clay,4761
37667,15520,Yadkin,17059
197938,85951,Onslow,106452
44829,17469,Richmond,20035
261191,159623,Buncombe,168251
239859,111060,Union,119038
216453,98572,Cabarrus,106687
11580,4761,Washington,5598
135976,44884,Harnett,50071
90485,35921,Burke,39532
,78908,Out of State,87165
60443,32733,Granville,35434
224529,92049,Gaston,101651
51472,20290,Edgecombe,22483
56177,28467,Watauga,30819
55234,24930,Hoke,28174
18947,8521,Bertie,9689
39490,18659,Person,20183
46994,21776,Beaufort,23880
159551,72449,Catawba,78526
43938,23237,Jackson,26298
1111761,701773,Wake,740847
97947,39380,Cleveland,44106
63531,26647,Sampson,30495
55508,20474,Columbus,23046
22604,9312,Caswell,10250
18069,7675,Yancey,8482
61779,29255,Lee,32062
23677,9217,Hertford,10474
91010,38673,Rockingham,42608
1110356,600933,Mecklenburg,649814
69473,34963,Carteret,37957
14271,4988,Swain,5606
17557,8172,Avery,8960
44535,20862,Vance,23076
50010,22358,Halifax,24560
67029,22773,Rutherford,26001
94298,45853,Nash,49911
27203,12412,Ashe,13685
45591,17932,Stokes,19783
8441,3097,Graham,3548
63060,27014,Pender,29903
102139,49631,Craven,54844
537174,287967,Guilford,308888
21755,10792,Madison,11407
74470,38125,Chatham,40753
180742,86109,Pitt,93368
100880,50020,Moore,53470
382295,199449,Forsyth,216346
181806,79293,Iredell,84778
34385,16731,Transylvania,17520
22440,9838,Martin,10969
19731,9300,Warren,10050
9419,4032,Jones,4434
42846,20698,Davie,22208
335509,175807,Cumberland,201411
45756,19335,McDowell,21854
28612,10615,Cherokee,12073
13943,6488,Chowan,7585
148476,117042,Orange,121539
37497,13865,Alexander,15073
321488,197781,Durham,209722
117417,57838,Henderson,61574
39824,16864,Pasquotank,19455
12726,6382,Pamlico,6829
14964,5936,Mitchell,6718
27763,9845,Currituck,11157
142820,79096,Brunswick,84546
167609,65903,Davidson,72926
69685,31199,Franklin,33954
37009,24006,Dare,25533
32722,13539,Bladen,15366
234473,133757,New Hanover,143325
24446,9157,Anson,10149
