Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49216,Robeson,55245
13463,5682,Perquimans,6250
209339,100622,Johnston,108134
143667,57907,Randolph,61393
4937,3041,Hyde,3206
11137,6000,Alleghany,6399
58741,22993,Duplin,25064
11562,4203,Gates,4554
62317,33195,Haywood,35074
62806,25190,Stanly,27085
,159515,Missing,153964
81801,38271,Wilson,41092
4016,1831,Tyrrell,1948
123131,57316,Wayne,63755
27173,11052,Montgomery,11787
55949,27826,Lenoir,30084
34823,15786,Scotland,17056
169509,91348,Alamance,96387
10867,4963,Camden,5202
21069,10148,Greene,10870
142088,57691,Rowan,62043
19483,8516,Northampton,9193
68412,30014,Wilkes,32547
86111,39355,Lincoln,41813
82178,35807,Caldwell,37983
20724,8943,Polk,9425
71783,34626,Surry,36740
35858,19802,Macon,20924
11231,4823,Clay,5121
37667,17233,Yadkin,18204
197938,103112,Onslow,118903
44829,19511,Richmond,21319
261191,158086,Buncombe,164922
239859,120235,Union,126378
216453,107837,Cabarrus,114501
11580,5329,Washington,6003
135976,50028,Harnett,53989
90485,39355,Burke,41746
,87105,Out of State,98318
60443,35235,Granville,37310
224529,101387,Gaston,109819
51472,22434,Edgecombe,24360
56177,29800,Watauga,31865
55234,16805,Hoke,18775
18947,9336,Bertie,10293
39490,20438,Person,21602
46994,23669,Beaufort,25333
159551,78567,Catawba,82919
43938,21623,Jackson,23240
1111761,736399,Wake,770473
97947,44410,Cleveland,47852
63531,29894,Sampson,32587
55508,22759,Columbus,24438
22604,9998,Caswell,10780
18069,8429,Yancey,8990
61779,31027,Lee,33415
23677,10195,Hertford,11190
91010,42499,Rockingham,45167
1110356,634273,Mecklenburg,678219
69473,37117,Carteret,39623
14271,7190,Swain,8196
17557,8819,Avery,9446
44535,22807,Vance,24744
50010,24503,Halifax,26370
67029,25879,Rutherford,28066
94298,49882,Nash,53348
27203,13439,Ashe,14348
45591,19688,Stokes,21076
8441,3722,Graham,4058
63060,29660,Pender,31883
102139,55847,Craven,60272
537174,299080,Guilford,316896
21755,11581,Madison,12042
74470,39120,Chatham,41097
180742,87728,Pitt,93576
100880,53125,Moore,56359
382295,213940,Forsyth,228440
181806,87408,Iredell,92478
34385,17582,Transylvania,18194
22440,10863,Martin,11687
19731,10056,Warren,10707
9419,4433,Jones,4773
42846,22448,Davie,23531
335509,191819,Cumberland,217037
45756,22015,McDowell,23641
28612,12301,Cherokee,13226
13943,7093,Chowan,7987
148476,104231,Orange,107904
37497,15035,Alexander,15841
321488,207203,Durham,218087
117417,62710,Henderson,65646
39824,18592,Pasquotank,21009
12726,6777,Pamlico,7169
14964,6641,Mitchell,7164
27763,10604,Currituck,11889
142820,84256,Brunswick,88643
167609,73432,Davidson,78842
69685,34048,Franklin,35967
37009,25089,Dare,26231
32722,14970,Bladen,16160
234473,137088,New Hanover,144614
24446,10187,Anson,11104
