Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49317,Robeson,55314
13463,5710,Perquimans,6261
209339,100756,Johnston,108238
143667,58003,Randolph,61458
4937,3043,Hyde,3207
11137,6002,Alleghany,6402
58741,23048,Duplin,25089
11562,4208,Gates,4557
62317,33246,Haywood,35107
62806,25255,Stanly,27131
,160348,Missing,154725
81801,38356,Wilson,41155
4016,1833,Tyrrell,1949
123131,57417,Wayne,63810
27173,11066,Montgomery,11812
55949,27869,Lenoir,30107
34823,15812,Scotland,17081
169509,91525,Alamance,96560
10867,4990,Camden,5221
21069,10154,Greene,10877
142088,57737,Rowan,62045
19483,8518,Northampton,9197
68412,30040,Wilkes,32565
86111,39403,Lincoln,41849
82178,35860,Caldwell,38037
20724,8949,Polk,9430
71783,34670,Surry,36765
35858,19832,Macon,20929
11231,4828,Clay,5123
37667,17263,Yadkin,18214
197938,103589,Onslow,119073
44829,19545,Richmond,21336
261191,158249,Buncombe,165001
239859,120414,Union,126482
216453,108030,Cabarrus,114588
11580,5339,Washington,6006
135976,50079,Harnett,54014
90485,39401,Burke,41760
,87336,Out of State,98524
60443,35269,Granville,37346
224529,101603,Gaston,109957
51472,22477,Edgecombe,24384
56177,29814,Watauga,31876
55234,16833,Hoke,18789
18947,9351,Bertie,10301
39490,20494,Person,21642
46994,23695,Beaufort,25370
159551,78701,Catawba,82994
43938,21645,Jackson,23251
1111761,737122,Wake,770970
97947,44576,Cleveland,47956
63531,29950,Sampson,32613
55508,22784,Columbus,24461
22604,10012,Caswell,10786
18069,8443,Yancey,8994
61779,31074,Lee,33480
23677,10224,Hertford,11213
91010,42545,Rockingham,45202
1110356,635196,Mecklenburg,678774
69473,37156,Carteret,39639
14271,7192,Swain,8198
17557,8819,Avery,9445
44535,22848,Vance,24775
50010,24556,Halifax,26425
67029,25920,Rutherford,28078
94298,49928,Nash,53381
27203,13449,Ashe,14362
45591,19723,Stokes,21097
8441,3725,Graham,4060
63060,29682,Pender,31901
102139,55973,Craven,60329
537174,299352,Guilford,317074
21755,11621,Madison,12063
74470,39149,Chatham,41113
180742,87810,Pitt,93634
100880,53161,Moore,56403
382295,214246,Forsyth,228600
181806,87533,Iredell,92544
34385,17599,Transylvania,18208
22440,10856,Martin,11680
19731,10069,Warren,10709
9419,4439,Jones,4777
42846,22470,Davie,23547
335509,192079,Cumberland,217160
45756,22052,McDowell,23660
28612,12316,Cherokee,13230
13943,7104,Chowan,7990
148476,104469,Orange,108115
37497,15065,Alexander,15861
321488,207430,Durham,218298
117417,62824,Henderson,65698
39824,18654,Pasquotank,21053
12726,6785,Pamlico,7175
14964,6648,Mitchell,7168
27763,10622,Currituck,11922
142820,84329,Brunswick,88695
167609,73549,Davidson,78900
69685,34079,Franklin,35996
37009,25111,Dare,26242
32722,14987,Bladen,16169
234473,137209,New Hanover,144698
24446,10223,Anson,11129
