Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,48169,Robeson,54663
13463,5588,Perquimans,6190
209339,99511,Johnston,107483
143667,57097,Randolph,60899
4937,3028,Hyde,3197
11137,5934,Alleghany,6316
58741,22779,Duplin,24915
11562,4157,Gates,4514
62317,32878,Haywood,34803
62806,24838,Stanly,26859
,153927,Missing,148389
81801,37767,Wilson,40701
4016,1802,Tyrrell,1938
123131,56414,Wayne,63251
27173,10922,Montgomery,11730
55949,27443,Lenoir,29816
34823,15577,Scotland,16954
169509,90207,Alamance,95534
10867,4875,Camden,5138
21069,10009,Greene,10799
142088,56980,Rowan,61590
19483,8480,Northampton,9158
68412,29618,Wilkes,32425
86111,38599,Lincoln,41165
82178,35373,Caldwell,37668
20724,8918,Polk,9433
71783,33842,Surry,36123
35858,19580,Macon,20832
11231,4756,Clay,5102
37667,17024,Yadkin,18085
197938,100349,Onslow,117169
44829,19267,Richmond,21158
261191,157307,Buncombe,164600
239859,118774,Union,125271
216453,108220,Cabarrus,115654
11580,5236,Washington,5955
135976,49283,Harnett,53572
90485,38917,Burke,41588
,85524,Out of State,96575
60443,35002,Granville,37094
224529,99970,Gaston,108764
51472,22161,Edgecombe,24142
56177,29459,Watauga,31591
55234,16506,Hoke,18578
18947,9175,Bertie,10196
39490,20099,Person,21425
46994,23429,Beaufort,25236
159551,77829,Catawba,82523
43938,21441,Jackson,23103
1111761,730103,Wake,764539
97947,43617,Cleveland,47428
63531,29551,Sampson,32391
55508,22553,Columbus,24322
22604,9892,Caswell,10708
18069,8341,Yancey,8937
61779,30637,Lee,33113
23677,10051,Hertford,11103
91010,41892,Rockingham,44802
1110356,627873,Mecklenburg,673541
69473,36778,Carteret,39336
14271,7116,Swain,8129
17557,8791,Avery,9459
44535,22544,Vance,24513
50010,24234,Halifax,26125
67029,25525,Rutherford,27898
94298,49386,Nash,52930
27203,13444,Ashe,14392
45591,19370,Stokes,20871
8441,3678,Graham,4047
63060,29366,Pender,31678
102139,54734,Craven,59486
537174,296317,Guilford,314774
21755,11463,Madison,11958
74470,39758,Chatham,41964
180742,86917,Pitt,92836
100880,52784,Moore,56073
382295,211722,Forsyth,226869
181806,86324,Iredell,91795
34385,17495,Transylvania,18120
22440,10705,Martin,11590
19731,9933,Warren,10622
9419,4380,Jones,4717
42846,22222,Davie,23412
335509,188389,Cumberland,214725
45756,21728,McDowell,23483
28612,12139,Cherokee,13148
13943,7013,Chowan,7928
148476,103457,Orange,107200
37497,15112,Alexander,16156
321488,206095,Durham,217211
117417,61963,Henderson,65039
39824,18159,Pasquotank,20646
12726,6725,Pamlico,7121
14964,6573,Mitchell,7136
27763,10448,Currituck,11680
142820,83699,Brunswick,88312
167609,72739,Davidson,78750
69685,33897,Franklin,35997
37009,24902,Dare,26158
32722,14857,Bladen,16128
234473,136187,New Hanover,144041
24446,10008,Anson,10938
