Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47860,Robeson,54477
13463,5578,Perquimans,6184
209339,98487,Johnston,106533
143667,56847,Randolph,60764
4937,3021,Hyde,3191
11137,5897,Alleghany,6282
58741,22629,Duplin,24816
11562,4152,Gates,4508
62317,32538,Haywood,34409
62806,24693,Stanly,26764
,150657,Missing,144739
81801,37449,Wilson,40552
4016,1784,Tyrrell,1930
123131,55401,Wayne,62869
27173,10860,Montgomery,11698
55949,27281,Lenoir,29734
34823,15493,Scotland,16912
169509,89885,Alamance,95283
10867,4708,Camden,5075
21069,9959,Greene,10764
142088,56569,Rowan,61352
19483,8449,Northampton,9149
68412,29385,Wilkes,32347
86111,38441,Lincoln,41086
82178,35206,Caldwell,37601
20724,8893,Polk,9411
71783,33725,Surry,36043
35858,19523,Macon,20768
11231,4710,Clay,5091
37667,16938,Yadkin,18048
197938,94058,Onslow,114342
44829,19125,Richmond,21063
261191,156253,Buncombe,163445
239859,117790,Union,124415
216453,105659,Cabarrus,112606
11580,5209,Washington,5936
135976,48977,Harnett,53379
90485,38674,Burke,41427
,84810,Out of State,95478
60443,34901,Granville,37002
224529,99056,Gaston,107815
51472,21972,Edgecombe,24018
56177,29388,Watauga,31531
55234,16419,Hoke,18487
18947,9148,Bertie,10177
39490,20035,Person,21377
46994,23277,Beaufort,25098
159551,76913,Catawba,81563
43938,21338,Jackson,23030
1111761,727700,Wake,762167
97947,43235,Cleveland,47244
63531,29351,Sampson,32323
55508,22447,Columbus,24266
22604,9857,Caswell,10694
18069,8291,Yancey,8922
61779,30495,Lee,33061
23677,9974,Hertford,11066
91010,41671,Rockingham,44708
1110356,622643,Mecklenburg,667969
69473,36596,Carteret,39166
14271,7063,Swain,8071
17557,8690,Avery,9382
44535,22416,Vance,24444
50010,24126,Halifax,26028
67029,25349,Rutherford,27839
94298,49101,Nash,52745
27203,13238,Ashe,14182
45591,19259,Stokes,20800
8441,3634,Graham,4033
63060,29097,Pender,31418
102139,53297,Craven,58543
537174,295119,Guilford,313820
21755,11422,Madison,11936
74470,39051,Chatham,41205
180742,86451,Pitt,92418
100880,52582,Moore,55877
382295,210817,Forsyth,226208
181806,85444,Iredell,90895
34385,17454,Transylvania,18094
22440,10683,Martin,11574
19731,9892,Warren,10593
9419,4345,Jones,4688
42846,22100,Davie,23297
335509,185417,Cumberland,213022
45756,21605,McDowell,23430
28612,12034,Cherokee,13127
13943,6977,Chowan,7907
148476,103287,Orange,106997
37497,14640,Alexander,15582
321488,205208,Durham,216266
117417,61473,Henderson,64551
39824,18053,Pasquotank,20518
12726,6707,Pamlico,7101
14964,6542,Mitchell,7117
27763,10423,Currituck,11643
142820,83422,Brunswick,88095
167609,71908,Davidson,77862
69685,33536,Franklin,35600
37009,24859,Dare,26136
32722,14751,Bladen,16031
234473,135346,New Hanover,143038
24446,9935,Anson,10887
