People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6021,5111,25895,28559,Robeson
519,452,3987,4449,Perquimans
18831,16312,57395,61909,Johnston
10891,9379,33197,34763,Randolph
116,102,2475,2680,Hyde
916,844,4024,4269,Alleghany
3879,3458,12732,13633,Duplin
303,266,3092,3461,Gates
5405,4827,21764,22661,Haywood
3600,3093,15821,16700,Stanly
48591,42202,16944,17002,Missing County
6348,5631,23292,24697,Wilson
86,83,1244,1393,Tyrrell
8659,7401,28937,30661,Wayne
1530,1310,7322,7842,Montgomery
5183,4547,16287,17331,Lenoir
2379,1989,10187,10742,Scotland
14156,11953,59357,62170,Alamance
381,333,2698,3083,Camden
1284,1141,6678,7107,Greene
11032,9324,31437,32987,Rowan
714,581,6397,6864,Northampton
5117,4259,16807,18131,Wilkes
9051,7813,23002,23845,Lincoln
5218,4467,23685,24575,Caldwell
1231,1118,6670,7018,Polk
6641,5801,21180,22067,Surry
1666,1484,14511,15114,Macon
800,749,3063,3179,Clay
2338,1987,10951,11382,Yadkin
11919,10021,29791,31942,Onslow
2400,2043,12671,13351,Richmond
31596,29611,98748,103696,Buncombe
26823,22989,66651,69679,Union
25643,22802,57434,60690,Cabarrus
1084,881,3116,3449,Washington
8978,7461,28417,30335,Harnett
5635,4718,25908,27097,Burke
0,0,73302,80398,Out of State
5680,4994,19454,20598,Granville
20996,17760,57558,60203,Gaston
3433,2849,13333,14853,Edgecombe
3061,2739,22904,25018,Watauga
2745,2281,8410,9245,Hoke
863,725,6471,7253,Bertie
2877,2528,13266,13838,Person
2668,2254,16608,17582,Beaufort
16028,13653,46656,48597,Catawba
1892,1610,14449,14994,Jackson
167626,154304,440319,465870,Wake
7266,6074,26797,27999,Cleveland
3995,3498,17417,18930,Sampson
2851,2447,14393,14937,Columbus
912,612,7399,7847,Caswell
549,440,6267,6608,Yancey
5459,4800,18266,19488,Lee
1345,1182,6501,7224,Hertford
6819,5700,26731,28271,Rockingham
147319,127517,353354,377528,Mecklenburg
6933,6287,23738,25000,Carteret
720,603,3604,3732,Swain
861,769,6380,6866,Avery
4069,3551,13461,14749,Vance
2393,1998,16561,17733,Halifax
2944,2639,16490,17789,Rutherford
9599,8442,28542,31304,Nash
1939,1793,9089,9756,Ashe
4126,3482,11544,12147,Stokes
326,290,2251,2363,Graham
5024,4475,18022,19140,Pender
8022,7199,31598,33014,Craven
56930,49459,188912,197813,Guilford
794,697,8836,9104,Madison
8965,8084,25782,27229,Chatham
14507,12836,56071,58815,Pitt
9343,8569,36262,37734,Moore
41826,37132,130092,137104,Forsyth
21296,18294,46699,47344,Iredell
2273,2122,12784,13322,Transylvania
1202,1051,7205,7687,Martin
1380,1270,6842,7263,Warren
554,461,2900,3088,Jones
4328,3917,13683,14296,Davie
24825,20508,62905,66259,Cumberland
1720,1394,15291,16047,McDowell
1467,1341,8083,8494,Cherokee
899,876,4579,5406,Chowan
17947,17250,73451,76783,Orange
1302,1130,11168,11742,Alexander
35630,32189,135323,141708,Durham
9561,8865,41561,43574,Henderson
2564,2185,11799,13492,Pasquotank
598,536,5130,5403,Pamlico
572,460,4697,5004,Mitchell
1229,1062,7582,8561,Currituck
14579,13549,56682,59082,Brunswick
13292,11555,42790,44996,Davidson
7312,6520,19316,20378,Franklin
3209,2820,18553,19273,Dare
1915,1617,9001,9678,Bladen
29424,26681,83997,87951,New Hanover
1102,914,6766,7149,Anson
