Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,47981,Robeson,54544
13463,5580,Perquimans,6188
209339,98602,Johnston,106602
143667,56880,Randolph,60802
4937,3024,Hyde,3193
11137,5908,Alleghany,6291
58741,22676,Duplin,24830
11562,4155,Gates,4511
62317,32567,Haywood,34420
62806,24728,Stanly,26792
,151435,Missing,145866
81801,37579,Wilson,40612
4016,1787,Tyrrell,1934
123131,55484,Wayne,62920
27173,10890,Montgomery,11708
55949,27350,Lenoir,29765
34823,15532,Scotland,16936
169509,89962,Alamance,95337
10867,4737,Camden,5101
21069,9973,Greene,10773
142088,56680,Rowan,61397
19483,8458,Northampton,9147
68412,29451,Wilkes,32369
86111,38478,Lincoln,41100
82178,35235,Caldwell,37610
20724,8895,Polk,9416
71783,33762,Surry,36068
35858,19534,Macon,20774
11231,4723,Clay,5093
37667,16956,Yadkin,18051
197938,94127,Onslow,114413
44829,19208,Richmond,21124
261191,156329,Buncombe,163486
239859,117918,Union,124481
216453,105819,Cabarrus,112686
11580,5218,Washington,5939
135976,49040,Harnett,53423
90485,38754,Burke,41446
,84999,Out of State,95788
60443,34930,Granville,37021
224529,99190,Gaston,107976
51472,22038,Edgecombe,24074
56177,29412,Watauga,31543
55234,16441,Hoke,18506
18947,9160,Bertie,10184
39490,20051,Person,21400
46994,23302,Beaufort,25115
159551,76996,Catawba,81602
43938,21353,Jackson,23040
1111761,728274,Wake,762594
97947,43301,Cleveland,47295
63531,29375,Sampson,32330
55508,22478,Columbus,24286
22604,9878,Caswell,10703
18069,8313,Yancey,8929
61779,30536,Lee,33080
23677,10029,Hertford,11085
91010,41714,Rockingham,44726
1110356,623265,Mecklenburg,668329
69473,36617,Carteret,39188
14271,7070,Swain,8073
17557,8698,Avery,9382
44535,22457,Vance,24477
50010,24149,Halifax,26056
67029,25382,Rutherford,27847
94298,49196,Nash,52811
27203,13243,Ashe,14187
45591,19301,Stokes,20816
8441,3655,Graham,4037
63060,29132,Pender,31431
102139,53374,Craven,58610
537174,295330,Guilford,313986
21755,11434,Madison,11942
74470,39036,Chatham,41176
180742,86540,Pitt,92499
100880,52635,Moore,55957
382295,210994,Forsyth,226299
181806,85524,Iredell,90946
34385,17467,Transylvania,18100
22440,10687,Martin,11579
19731,9904,Warren,10604
9419,4355,Jones,4692
42846,22121,Davie,23318
335509,185512,Cumberland,213087
45756,21626,McDowell,23443
28612,12058,Cherokee,13136
13943,6986,Chowan,7912
148476,103360,Orange,107063
37497,14672,Alexander,15604
321488,205319,Durham,216370
117417,61545,Henderson,64574
39824,18088,Pasquotank,20565
12726,6711,Pamlico,7104
14964,6552,Mitchell,7124
27763,10429,Currituck,11669
142820,83496,Brunswick,88136
167609,72031,Davidson,77936
69685,33567,Franklin,35624
37009,24868,Dare,26143
32722,14776,Bladen,16053
234473,135472,New Hanover,143119
24446,9954,Anson,10905
