People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5853,4853,25467,28308,Robeson
510,424,3953,4428,Perquimans
18389,15342,56391,61386,Johnston
10677,8934,32817,34524,Randolph
115,98,2439,2650,Hyde
897,808,4013,4243,Alleghany
3783,3298,12651,13568,Duplin
294,253,3045,3442,Gates
5339,4659,21393,22495,Haywood
3561,2967,15569,16636,Stanly
47716,40320,15659,16578,Missing County
6207,5379,22592,24440,Wilson
86,81,1228,1373,Tyrrell
8402,7019,28561,30458,Wayne
1511,1273,7259,7800,Montgomery
5065,4352,16056,17177,Lenoir
2302,1922,10054,10684,Scotland
13884,11438,57919,61684,Alamance
373,315,2665,3060,Camden
1243,1092,6549,6987,Greene
10798,8850,31005,32634,Rowan
695,558,6345,6818,Northampton
4991,4008,16649,17992,Wilkes
8877,7459,22674,23654,Lincoln
5142,4305,23420,24446,Caldwell
1229,1093,6569,7001,Polk
6528,5555,20841,21908,Surry
1644,1444,14287,15049,Macon
796,733,3035,3168,Clay
2263,1884,10861,11325,Yadkin
11574,9376,29567,31799,Onslow
2337,1960,12519,13242,Richmond
31355,28899,97359,103062,Buncombe
26392,21892,65789,69238,Union
25202,21600,56507,60208,Cabarrus
1051,832,3043,3394,Washington
8696,6934,28029,30091,Harnett
5533,4499,25656,26971,Burke
0,0,72693,80049,Out of State
5539,4771,19242,20475,Granville
20525,16791,57350,60103,Gaston
3321,2706,12995,14586,Edgecombe
3026,2666,22506,24643,Watauga
2657,2126,8247,9112,Hoke
836,697,6401,7194,Bertie
2807,2405,12882,13731,Person
2616,2162,16436,17476,Beaufort
15746,13024,46167,48375,Catawba
1851,1558,14326,14931,Jackson
164890,147228,432501,462412,Wake
7090,5768,26505,27850,Cleveland
3864,3301,17127,18687,Sampson
2789,2344,14246,14837,Columbus
888,580,7290,7803,Caswell
544,423,6184,6573,Yancey
5275,4517,18027,19322,Lee
1305,1122,6461,7186,Hertford
6675,5403,26240,28071,Rockingham
144801,121424,347563,374032,Mecklenburg
6820,6070,23619,24926,Carteret
699,570,3575,3726,Swain
844,744,6309,6823,Avery
3961,3392,13272,14629,Vance
2311,1905,16344,17583,Halifax
2896,2546,16263,17678,Rutherford
9344,7982,27968,30949,Nash
1906,1727,8812,9531,Ashe
4043,3367,11319,11973,Stokes
313,275,2215,2340,Graham
4945,4259,17854,19059,Pender
7878,6954,31333,32847,Craven
55732,47015,185888,196626,Guilford
776,675,8746,9060,Madison
8867,7866,25572,27125,Chatham
14154,12241,55488,58527,Pitt
9181,8242,35863,37605,Moore
41084,35749,128201,136202,Forsyth
20909,17356,46291,47027,Iredell
2245,2073,12667,13263,Transylvania
1183,1020,7066,7610,Martin
1342,1197,6775,7212,Warren
538,441,2864,3061,Jones
4259,3765,13523,14238,Davie
24082,19219,62197,65860,Cumberland
1711,1368,15107,15959,McDowell
1453,1304,7983,8439,Cherokee
880,837,4546,5379,Chowan
17800,16869,72222,76326,Orange
1285,1085,11080,11633,Alexander
35142,31102,133081,140693,Durham
9474,8632,41009,43233,Henderson
2498,2052,11665,13413,Pasquotank
591,513,5071,5365,Pamlico
561,448,4646,4980,Mitchell
1210,1012,7457,8513,Currituck
14377,13123,56212,58837,Brunswick
12992,10978,42252,44684,Davidson
7161,6206,18974,20191,Franklin
3167,2720,18174,19142,Dare
1864,1559,8895,9635,Bladen
29073,25682,83129,87461,New Hanover
1073,866,6681,7104,Anson
