Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,44019,Robeson,52026
13463,5293,Perquimans,5991
209339,93482,Johnston,102779
143667,53504,Randolph,58474
4937,2952,Hyde,3174
11137,5670,Alleghany,6150
58741,21151,Duplin,23964
11562,3971,Gates,4429
62317,30884,Haywood,32742
62806,23284,Stanly,25550
,101829,Missing,112044
81801,35528,Wilson,38814
4016,1720,Tyrrell,1891
123131,52609,Wayne,60815
27173,10299,Montgomery,11281
55949,25680,Lenoir,28620
34823,15018,Scotland,16655
169509,86041,Alamance,91925
10867,4485,Camden,4892
21069,9415,Greene,10417
142088,65686,Rowan,71545
19483,8154,Northampton,8897
68412,27064,Wilkes,31180
86111,36953,Lincoln,39902
82178,33635,Caldwell,36573
20724,8586,Polk,9141
71783,31927,Surry,34523
35858,19081,Macon,20636
11231,4360,Clay,4908
37667,16033,Yadkin,17421
197938,88686,Onslow,110491
44829,18002,Richmond,20318
261191,162146,Buncombe,170181
239859,113483,Union,120861
216453,100797,Cabarrus,108609
11580,4907,Washington,5728
135976,45917,Harnett,50920
90485,36852,Burke,40322
,80063,Out of State,88149
60443,33483,Granville,35855
224529,94294,Gaston,103336
51472,20701,Edgecombe,22812
56177,28846,Watauga,31165
55234,25566,Hoke,28602
18947,8740,Bertie,9899
39490,19054,Person,20455
46994,22190,Beaufort,24209
159551,74143,Catawba,80011
43938,23685,Jackson,26617
1111761,711509,Wake,747153
97947,40725,Cleveland,45121
63531,27418,Sampson,31085
55508,21100,Columbus,23461
22604,9467,Caswell,10408
18069,7883,Yancey,8593
61779,29985,Lee,32611
23677,9454,Hertford,10710
91010,39619,Rockingham,43224
1110356,612477,Mecklenburg,659318
69473,35561,Carteret,38449
14271,5100,Swain,5686
17557,8355,Avery,9120
44535,21359,Vance,23433
50010,22924,Halifax,25019
67029,23548,Rutherford,26549
94298,46749,Nash,50710
27203,12685,Ashe,13883
45591,18282,Stokes,20095
8441,3190,Graham,3628
63060,27691,Pender,30301
102139,50656,Craven,55988
537174,293041,Guilford,312736
21755,10970,Madison,11584
74470,38614,Chatham,40973
180742,87781,Pitt,94630
100880,50752,Moore,53917
382295,203539,Forsyth,219465
181806,81143,Iredell,86945
34385,16941,Transylvania,17646
22440,10098,Martin,11172
19731,9435,Warren,10184
9419,4116,Jones,4523
42846,21110,Davie,22520
335509,179097,Cumberland,204465
45756,20043,McDowell,22374
28612,10867,Cherokee,12347
13943,6678,Chowan,7766
148476,118126,Orange,122146
37497,14097,Alexander,15285
321488,200775,Durham,211628
117417,58928,Henderson,62279
39824,17268,Pasquotank,19867
12726,6470,Pamlico,6878
14964,6145,Mitchell,6882
27763,10036,Currituck,11271
142820,80353,Brunswick,85284
167609,67683,Davidson,74394
69685,31935,Franklin,34445
37009,24327,Dare,25795
32722,13999,Bladen,15610
234473,136233,New Hanover,144943
24446,9396,Anson,10398
