Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,40905,Robeson,49889
13463,5129,Perquimans,5863
209339,90185,Johnston,100328
143667,51635,Randolph,57081
4937,2886,Hyde,3120
11137,5513,Alleghany,6051
58741,20161,Duplin,23311
11562,3876,Gates,4332
62317,30211,Haywood,32190
62806,22458,Stanly,24807
,96187,Missing,107516
81801,34470,Wilson,37849
4016,1649,Tyrrell,1842
123131,50477,Wayne,58366
27173,9985,Montgomery,11069
55949,24706,Lenoir,27790
34823,14537,Scotland,16242
169509,83622,Alamance,90292
10867,4282,Camden,4572
21069,9079,Greene,10106
142088,63813,Rowan,69913
19483,7933,Northampton,8719
68412,25720,Wilkes,30075
86111,35867,Lincoln,38952
82178,32480,Caldwell,35723
20724,8439,Polk,9046
71783,31031,Surry,33907
35858,18539,Macon,20170
11231,4165,Clay,4676
37667,15369,Yadkin,16905
197938,84412,Onslow,101195
44829,17280,Richmond,19817
261191,158740,Buncombe,167445
239859,110166,Union,118321
216453,97745,Cabarrus,106003
11580,4714,Washington,5543
135976,44374,Harnett,49583
90485,35612,Burke,39144
,78704,Out of State,86913
60443,32473,Granville,35270
224529,91206,Gaston,100876
51472,20149,Edgecombe,22337
56177,28340,Watauga,30727
55234,24621,Hoke,27943
18947,8477,Bertie,9616
39490,18512,Person,20081
46994,21668,Beaufort,23724
159551,71826,Catawba,77867
43938,23067,Jackson,26154
1111761,697343,Wake,737399
97947,38998,Cleveland,43686
63531,26209,Sampson,30153
55508,20152,Columbus,22796
22604,9268,Caswell,10226
18069,7608,Yancey,8411
61779,28947,Lee,31824
23677,9138,Hertford,10394
91010,38305,Rockingham,42211
1110356,596375,Mecklenburg,646533
69473,34681,Carteret,37652
14271,4970,Swain,5584
17557,8115,Avery,8890
44535,20710,Vance,22922
50010,22148,Halifax,24411
67029,22489,Rutherford,25649
94298,45513,Nash,49591
27203,12303,Ashe,13588
45591,17724,Stokes,19609
8441,3041,Graham,3516
63060,26669,Pender,29630
102139,49225,Craven,53647
537174,285859,Guilford,307220
21755,10739,Madison,11347
74470,37911,Chatham,40572
180742,85412,Pitt,92726
100880,49689,Moore,53214
382295,197708,Forsyth,215035
181806,78487,Iredell,83858
34385,16641,Transylvania,17438
22440,9745,Martin,10868
19731,9248,Warren,9988
9419,3986,Jones,4400
42846,20498,Davie,22065
335509,173789,Cumberland,198348
45756,19119,McDowell,21589
28612,10496,Cherokee,11880
13943,6419,Chowan,7536
148476,116605,Orange,121245
37497,13780,Alexander,14976
321488,196486,Durham,208894
117417,57460,Henderson,61198
39824,16681,Pasquotank,19291
12726,6366,Pamlico,6797
14964,5886,Mitchell,6660
27763,9794,Currituck,11102
142820,78436,Brunswick,84048
167609,65185,Davidson,72224
69685,30916,Franklin,33704
37009,23896,Dare,25431
32722,13287,Bladen,15186
234473,132391,New Hanover,142403
24446,9106,Anson,10089
