Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,48879,Robeson,55060
13463,5652,Perquimans,6225
209339,100214,Johnston,107870
143667,57685,Randolph,61262
4937,3037,Hyde,3202
11137,5980,Alleghany,6386
58741,22918,Duplin,25017
11562,4194,Gates,4544
62317,33145,Haywood,35043
62806,25088,Stanly,27018
,157571,Missing,152097
81801,38145,Wilson,40995
4016,1829,Tyrrell,1946
123131,57118,Wayne,63658
27173,11007,Montgomery,11774
55949,27750,Lenoir,30026
34823,15739,Scotland,17032
169509,90922,Alamance,96066
10867,4941,Camden,5194
21069,10094,Greene,10844
142088,57552,Rowan,61967
19483,8525,Northampton,9203
68412,29967,Wilkes,32555
86111,39223,Lincoln,41728
82178,35682,Caldwell,37894
20724,8977,Polk,9464
71783,34515,Surry,36687
35858,19762,Macon,20907
11231,4799,Clay,5118
37667,17183,Yadkin,18168
197938,102799,Onslow,118639
44829,19438,Richmond,21268
261191,157780,Buncombe,164722
239859,119940,Union,126162
216453,107620,Cabarrus,114367
11580,5313,Washington,5986
135976,49792,Harnett,53879
90485,39234,Burke,41697
,86760,Out of State,97938
60443,35162,Granville,37263
224529,100911,Gaston,109461
51472,22366,Edgecombe,24290
56177,29772,Watauga,31852
55234,16740,Hoke,18736
18947,9306,Bertie,10260
39490,20361,Person,21544
46994,23568,Beaufort,25288
159551,78373,Catawba,82812
43938,21581,Jackson,23218
1111761,734986,Wake,769239
97947,44211,Cleveland,47692
63531,29837,Sampson,32550
55508,22720,Columbus,24439
22604,9964,Caswell,10745
18069,8409,Yancey,8981
61779,30972,Lee,33369
23677,10152,Hertford,11167
91010,42327,Rockingham,45074
1110356,632991,Mecklenburg,677415
69473,37028,Carteret,39547
14271,7184,Swain,8194
17557,8812,Avery,9441
44535,22727,Vance,24688
50010,24458,Halifax,26327
67029,25782,Rutherford,28029
94298,49760,Nash,53248
27203,13417,Ashe,14329
45591,19596,Stokes,21022
8441,3722,Graham,4055
63060,29627,Pender,31858
102139,55684,Craven,60153
537174,298346,Guilford,316376
21755,11556,Madison,12027
74470,39153,Chatham,41150
180742,87562,Pitt,93413
100880,53056,Moore,56306
382295,213373,Forsyth,228057
181806,87186,Iredell,92366
34385,17557,Transylvania,18174
22440,10820,Martin,11655
19731,10015,Warren,10689
9419,4413,Jones,4769
42846,22380,Davie,23485
335509,191431,Cumberland,216790
45756,21912,McDowell,23602
28612,12275,Cherokee,13203
13943,7079,Chowan,7975
148476,103920,Orange,107594
37497,15004,Alexander,15820
321488,206691,Durham,217665
117417,62555,Henderson,65547
39824,18450,Pasquotank,20878
12726,6764,Pamlico,7157
14964,6624,Mitchell,7156
27763,10561,Currituck,11808
142820,84104,Brunswick,88558
167609,73152,Davidson,78654
69685,33950,Franklin,35901
37009,25040,Dare,26213
32722,14923,Bladen,16124
234473,136868,New Hanover,144486
24446,10141,Anson,11060
