Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49539,Robeson,55443
13463,5723,Perquimans,6269
209339,101069,Johnston,108467
143667,58181,Randolph,61564
4937,3052,Hyde,3211
11137,6010,Alleghany,6408
58741,23148,Duplin,25163
11562,4220,Gates,4562
62317,33388,Haywood,35200
62806,25387,Stanly,27183
,163441,Missing,158000
81801,38588,Wilson,41282
4016,1839,Tyrrell,1950
123131,57645,Wayne,63962
27173,11109,Montgomery,11840
55949,28005,Lenoir,30188
34823,15871,Scotland,17105
169509,91863,Alamance,96788
10867,5010,Camden,5230
21069,10194,Greene,10888
142088,57895,Rowan,62102
19483,8533,Northampton,9206
68412,30147,Wilkes,32603
86111,39584,Lincoln,41923
82178,35999,Caldwell,38144
20724,8871,Polk,9332
71783,34753,Surry,36806
35858,19911,Macon,20968
11231,4841,Clay,5132
37667,17302,Yadkin,18240
197938,104301,Onslow,119374
44829,19605,Richmond,21366
261191,158756,Buncombe,165336
239859,120839,Union,126760
216453,108326,Cabarrus,114753
11580,5357,Washington,6007
135976,50235,Harnett,54119
90485,39463,Burke,41791
,87945,Out of State,99220
60443,35391,Granville,37414
224529,102073,Gaston,110254
51472,22569,Edgecombe,24454
56177,29870,Watauga,31891
55234,16911,Hoke,18830
18947,9384,Bertie,10312
39490,20569,Person,21695
46994,23756,Beaufort,25419
159551,78983,Catawba,83155
43938,21709,Jackson,23329
1111761,738545,Wake,772135
97947,44852,Cleveland,48101
63531,30061,Sampson,32670
55508,22864,Columbus,24530
22604,10025,Caswell,10793
18069,8469,Yancey,9001
61779,31182,Lee,33559
23677,10251,Hertford,11223
91010,42718,Rockingham,45312
1110356,637018,Mecklenburg,679951
69473,37265,Carteret,39700
14271,7216,Swain,8282
17557,8848,Avery,9458
44535,22936,Vance,24830
50010,24648,Halifax,26500
67029,26030,Rutherford,28124
94298,50109,Nash,53465
27203,13512,Ashe,14390
45591,19777,Stokes,21143
8441,3726,Graham,4068
63060,29746,Pender,31904
102139,56247,Craven,60492
537174,300076,Guilford,317602
21755,11685,Madison,12077
74470,39124,Chatham,41045
180742,87975,Pitt,93757
100880,53240,Moore,56459
382295,214950,Forsyth,228966
181806,87842,Iredell,92709
34385,17654,Transylvania,18234
22440,10838,Martin,11657
19731,10114,Warren,10732
9419,4458,Jones,4789
42846,22554,Davie,23583
335509,192818,Cumberland,217552
45756,22142,McDowell,23688
28612,12374,Cherokee,13269
13943,7134,Chowan,7999
148476,104571,Orange,108174
37497,15134,Alexander,15910
321488,207907,Durham,218703
117417,63080,Henderson,65866
39824,18726,Pasquotank,21100
12726,6806,Pamlico,7187
14964,6667,Mitchell,7182
27763,10651,Currituck,11948
142820,84516,Brunswick,88796
167609,73799,Davidson,79013
69685,34178,Franklin,36049
37009,25157,Dare,26263
32722,15016,Bladen,16198
234473,137496,New Hanover,144854
24446,10280,Anson,11161
