Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,45426,Robeson,52815
13463,5418,Perquimans,6053
209339,95005,Johnston,103856
143667,54579,Randolph,59092
4937,2974,Hyde,3182
11137,5748,Alleghany,6191
58741,21708,Duplin,24168
11562,4029,Gates,4447
62317,31151,Haywood,32889
62806,23616,Stanly,25818
,105626,Missing,115387
81801,36111,Wilson,39320
4016,1748,Tyrrell,1912
123131,53519,Wayne,61581
27173,10492,Montgomery,11375
55949,26213,Lenoir,28922
34823,15264,Scotland,16808
169509,87044,Alamance,92582
10867,4611,Camden,4989
21069,9563,Greene,10511
142088,66600,Rowan,72246
19483,8258,Northampton,8959
68412,27856,Wilkes,31583
86111,37348,Lincoln,40197
82178,34140,Caldwell,36863
20724,8658,Polk,9191
71783,32378,Surry,34840
35858,19279,Macon,20727
11231,4442,Clay,4944
37667,16376,Yadkin,17657
197938,91424,Onslow,112552
44829,18334,Richmond,20510
261191,163381,Buncombe,170862
239859,114852,Union,121879
216453,102028,Cabarrus,109463
11580,4998,Washington,5778
135976,46766,Harnett,51395
90485,37366,Burke,40597
,81699,Out of State,90619
60443,33895,Granville,36066
224529,95785,Gaston,104695
51472,20903,Edgecombe,23004
56177,29041,Watauga,31290
55234,25950,Hoke,28813
18947,8860,Bertie,9996
39490,19299,Person,20659
46994,22467,Beaufort,24404
159551,75143,Catawba,80698
43938,23875,Jackson,26726
1111761,716331,Wake,750797
97947,41497,Cleveland,45830
63531,28053,Sampson,31446
55508,21509,Columbus,23697
22604,9602,Caswell,10487
18069,7976,Yancey,8652
61779,30377,Lee,32967
23677,9634,Hertford,10812
91010,40218,Rockingham,43628
1110356,618383,Mecklenburg,664664
69473,35973,Carteret,38722
14271,5151,Swain,5706
17557,8428,Avery,9167
44535,21630,Vance,23658
50010,23276,Halifax,25272
67029,24029,Rutherford,26834
94298,47307,Nash,51103
27203,12825,Ashe,13933
45591,18565,Stokes,20284
8441,3232,Graham,3651
63060,28070,Pender,30548
102139,51406,Craven,56702
537174,295807,Guilford,315100
21755,11082,Madison,11666
74470,38735,Chatham,40972
180742,88736,Pitt,95294
100880,51209,Moore,54365
382295,205701,Forsyth,221209
181806,82367,Iredell,88298
34385,17045,Transylvania,17699
22440,10258,Martin,11273
19731,9550,Warren,10293
9419,4166,Jones,4556
42846,21398,Davie,22677
335509,182728,Cumberland,208481
45756,20556,McDowell,22652
28612,11101,Cherokee,12446
13943,6769,Chowan,7804
148476,118576,Orange,122617
37497,14279,Alexander,15387
321488,202134,Durham,212734
117417,59499,Henderson,62586
39824,17523,Pasquotank,20107
12726,6523,Pamlico,6917
14964,6269,Mitchell,6942
27763,10168,Currituck,11368
142820,80994,Brunswick,85703
167609,68843,Davidson,75198
69685,32360,Franklin,34709
37009,24520,Dare,25933
32722,14227,Bladen,15711
234473,137445,New Hanover,145711
24446,9555,Anson,10539
