Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,48329,Robeson,54754
13463,5602,Perquimans,6200
209339,99712,Johnston,107656
143667,57249,Randolph,60975
4937,3029,Hyde,3197
11137,5947,Alleghany,6336
58741,22818,Duplin,24962
11562,4165,Gates,4516
62317,32894,Haywood,34809
62806,24894,Stanly,26888
,154352,Missing,148773
81801,37848,Wilson,40750
4016,1804,Tyrrell,1938
123131,56635,Wayne,63398
27173,10944,Montgomery,11744
55949,27531,Lenoir,29871
34823,15618,Scotland,16965
169509,90359,Alamance,95637
10867,4887,Camden,5150
21069,10024,Greene,10806
142088,57051,Rowan,61654
19483,8494,Northampton,9167
68412,29699,Wilkes,32451
86111,38690,Lincoln,41205
82178,35446,Caldwell,37718
20724,8928,Polk,9434
71783,33916,Surry,36162
35858,19619,Macon,20846
11231,4766,Clay,5105
37667,17062,Yadkin,18101
197938,100800,Onslow,117517
44829,19302,Richmond,21194
261191,157432,Buncombe,164670
239859,118912,Union,125343
216453,108409,Cabarrus,115780
11580,5248,Washington,5964
135976,49401,Harnett,53649
90485,39016,Burke,41632
,85600,Out of State,96704
60443,35033,Granville,37127
224529,100219,Gaston,108955
51472,22205,Edgecombe,24180
56177,29476,Watauga,31596
55234,16574,Hoke,18617
18947,9201,Bertie,10210
39490,20128,Person,21458
46994,23481,Beaufort,25269
159551,77992,Catawba,82610
43938,21458,Jackson,23110
1111761,730767,Wake,765189
97947,43764,Cleveland,47492
63531,29628,Sampson,32434
55508,22595,Columbus,24359
22604,9898,Caswell,10716
18069,8351,Yancey,8945
61779,30726,Lee,33158
23677,10079,Hertford,11122
91010,41992,Rockingham,44878
1110356,628629,Mecklenburg,674147
69473,36857,Carteret,39418
14271,7121,Swain,8132
17557,8796,Avery,9464
44535,22584,Vance,24540
50010,24263,Halifax,26146
67029,25580,Rutherford,27921
94298,49477,Nash,52997
27203,13475,Ashe,14404
45591,19436,Stokes,20908
8441,3686,Graham,4049
63060,29449,Pender,31734
102139,54966,Craven,59682
537174,296731,Guilford,315029
21755,11489,Madison,11970
74470,39855,Chatham,41989
180742,87038,Pitt,92965
100880,52852,Moore,56122
382295,212059,Forsyth,227108
181806,86488,Iredell,91901
34385,17498,Transylvania,18129
22440,10716,Martin,11602
19731,9944,Warren,10625
9419,4388,Jones,4733
42846,22252,Davie,23433
335509,188819,Cumberland,214976
45756,21766,McDowell,23507
28612,12175,Cherokee,13163
13943,7027,Chowan,7942
148476,103510,Orange,107255
37497,15152,Alexander,16173
321488,206280,Durham,217383
117417,62032,Henderson,65083
39824,18264,Pasquotank,20725
12726,6741,Pamlico,7135
14964,6584,Mitchell,7142
27763,10461,Currituck,11704
142820,83842,Brunswick,88395
167609,72914,Davidson,78837
69685,33963,Franklin,36034
37009,24928,Dare,26164
32722,14892,Bladen,16144
234473,136308,New Hanover,144113
24446,10023,Anson,10951
