Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,46426,Robeson,53716
13463,5449,Perquimans,6086
209339,96677,Johnston,105502
143667,55613,Randolph,60057
4937,2977,Hyde,3185
11137,5820,Alleghany,6243
58741,22093,Duplin,24523
11562,4040,Gates,4459
62317,32209,Haywood,34219
62806,24213,Stanly,26402
,143604,Missing,137615
81801,36734,Wilson,39971
4016,1759,Tyrrell,1918
123131,54133,Wayne,62164
27173,10685,Montgomery,11585
55949,26679,Lenoir,29464
34823,15199,Scotland,16729
169509,88578,Alamance,94226
10867,4624,Camden,5017
21069,9764,Greene,10661
142088,55636,Rowan,60690
19483,8359,Northampton,9087
68412,28436,Wilkes,31995
86111,37816,Lincoln,40698
82178,34571,Caldwell,37273
20724,8799,Polk,9355
71783,32798,Surry,35267
35858,19258,Macon,20652
11231,4561,Clay,5049
37667,16600,Yadkin,17889
197938,91409,Onslow,112634
44829,18754,Richmond,20890
261191,154819,Buncombe,162520
239859,116152,Union,123245
216453,104083,Cabarrus,111716
11580,5064,Washington,5872
135976,47913,Harnett,52770
90485,38000,Burke,41193
,82778,Out of State,92320
60443,34419,Granville,36662
224529,97279,Gaston,106475
51472,21355,Edgecombe,23554
56177,29161,Watauga,31448
55234,16079,Hoke,18235
18947,8922,Bertie,10049
39490,19675,Person,21150
46994,22874,Beaufort,24871
159551,75544,Catawba,80928
43938,20979,Jackson,22733
1111761,721542,Wake,756988
97947,42250,Cleveland,46590
63531,28600,Sampson,31956
55508,21951,Columbus,24081
22604,9691,Caswell,10608
18069,8167,Yancey,8849
61779,30045,Lee,32701
23677,9725,Hertford,10898
91010,40858,Rockingham,44261
1110356,615148,Mecklenburg,662385
69473,35946,Carteret,38721
14271,6851,Swain,7830
17557,8536,Avery,9284
44535,22057,Vance,24162
50010,23715,Halifax,25753
67029,24754,Rutherford,27521
94298,48135,Nash,52062
27203,13009,Ashe,14087
45591,18888,Stokes,20607
8441,3524,Graham,3982
63060,28585,Pender,31146
102139,52310,Craven,57747
537174,291938,Guilford,311436
21755,11312,Madison,11901
74470,39007,Chatham,41231
180742,85171,Pitt,91582
100880,52074,Moore,55390
382295,208324,Forsyth,224371
181806,84097,Iredell,90077
34385,17330,Transylvania,18024
22440,10440,Martin,11470
19731,9724,Warren,10472
9419,4244,Jones,4641
42846,21768,Davie,23070
335509,182792,Cumberland,210729
45756,21102,McDowell,23191
28612,11683,Cherokee,13023
13943,6819,Chowan,7827
148476,102782,Orange,106225
37497,14437,Alexander,15534
321488,203466,Durham,214288
117417,60799,Henderson,64142
39824,17575,Pasquotank,20146
12726,6630,Pamlico,7035
14964,6394,Mitchell,7069
27763,10273,Currituck,11478
142820,82619,Brunswick,87553
167609,70389,Davidson,76776
69685,32967,Franklin,35318
37009,24628,Dare,25996
32722,14467,Bladen,15920
234473,133944,New Hanover,142266
24446,9720,Anson,10720
,13,Hampton,16
