People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5947,5020,25688,28419,Robeson
516,443,3958,4430,Perquimans
18674,16045,56952,61617,Johnston
10838,9276,33023,34564,Randolph
116,101,2444,2659,Hyde
908,829,4016,4248,Alleghany
3836,3408,12704,13601,Duplin
299,262,3056,3451,Gates
5386,4767,21634,22581,Haywood
3589,3062,15771,16666,Stanly
48364,41739,16657,16742,Missing County
6292,5556,23057,24576,Wilson
86,82,1232,1379,Tyrrell
8557,7314,28784,30567,Wayne
1528,1299,7295,7827,Montgomery
5127,4484,16165,17244,Lenoir
2346,1964,10102,10700,Scotland
14084,11824,58582,61923,Alamance
377,327,2672,3062,Camden
1270,1124,6584,7012,Greene
10959,9178,31234,32867,Rowan
706,577,6366,6841,Northampton
5084,4184,16727,18077,Wilkes
8976,7721,22907,23821,Lincoln
5194,4410,23518,24491,Caldwell
1232,1103,6656,7012,Polk
6606,5711,21072,22008,Surry
1659,1467,14329,15074,Macon
798,739,3049,3172,Clay
2316,1956,10902,11358,Yadkin
11796,9823,29658,31853,Onslow
2373,2009,12560,13284,Richmond
31532,29426,98179,103395,Buncombe
26712,22730,66158,69397,Union
25500,22496,56961,60364,Cabarrus
1072,856,3055,3407,Washington
8892,7283,28199,30194,Harnett
5593,4659,25731,27008,Burke
0,0,72997,80189,Out of State
5640,4933,19338,20531,Granville
20860,17515,57619,60306,Gaston
3396,2808,13143,14701,Edgecombe
3055,2712,22571,24761,Watauga
2727,2239,8326,9186,Hoke
852,713,6417,7215,Bertie
2855,2483,12963,13789,Person
2653,2219,16484,17505,Beaufort
15947,13515,46298,48443,Catawba
1881,1592,14378,14955,Jackson
166664,152231,436687,463998,Wake
7206,5985,26668,27957,Cleveland
3950,3420,17315,18835,Sampson
2825,2417,14312,14860,Columbus
899,605,7319,7811,Caswell
549,438,6216,6591,Yancey
5383,4695,18096,19341,Lee
1326,1156,6481,7208,Hertford
6768,5623,26381,28138,Rockingham
146527,125769,350248,375369,Mecklenburg
6899,6231,23708,24965,Carteret
714,590,3584,3730,Swain
857,766,6330,6841,Avery
4032,3500,13345,14665,Vance
2368,1956,16412,17644,Halifax
2933,2610,16365,17738,Rutherford
9506,8277,28245,31138,Nash
1934,1781,8893,9581,Ashe
4100,3454,11428,12053,Stokes
319,280,2218,2340,Graham
4997,4420,17901,19085,Pender
7975,7126,31397,32927,Craven
56543,48814,187653,197184,Guilford
791,687,8798,9082,Madison
8931,8009,25656,27171,Chatham
14397,12642,55747,58640,Pitt
9262,8453,35969,37668,Moore
41593,36752,129119,136571,Forsyth
21207,18046,46500,47171,Iredell
2263,2116,12719,13302,Transylvania
1200,1051,7098,7636,Martin
1360,1242,6797,7227,Warren
547,462,2884,3079,Jones
4305,3874,13629,14273,Davie
24587,20074,62512,66064,Cumberland
1712,1381,15200,16002,McDowell
1460,1323,8065,8461,Cherokee
893,860,4560,5385,Chowan
17903,17150,72869,76508,Orange
1294,1117,11137,11689,Alexander
35449,31849,134285,141215,Durham
9541,8814,41313,43423,Henderson
2542,2129,11727,13443,Pasquotank
598,536,5082,5375,Pamlico
572,460,4684,4997,Mitchell
1227,1039,7505,8531,Currituck
14498,13423,56427,58946,Brunswick
13191,11341,42555,44848,Davidson
7266,6431,19144,20261,Franklin
3204,2786,18405,19198,Dare
1902,1597,8944,9662,Bladen
29298,26376,83590,87707,New Hanover
1092,907,6692,7109,Anson
