People Fully Vaccinated,County,People Vaccinated with at Least One Dose
20568,Robeson,25413
3534,Perquimans,4136
41261,Johnston,54835
26690,Randolph,31693
1867,Hyde,2363
3221,Alleghany,3755
10121,Duplin,12506
2560,Gates,3132
15417,Haywood,20299
11795,Stanly,15332
7880,Missing County,11600
17040,Wilson,21473
1096,Tyrrell,1234
22773,Wayne,27923
5818,Montgomery,7316
13127,Lenoir,15463
8038,Scotland,9924
45600,Alamance,55669
2318,Camden,2849
5182,Greene,6168
23359,Rowan,29092
5564,Northampton,6418
14342,Wilkes,16733
16993,Lincoln,21658
19791,Caldwell,22535
5458,Polk,6489
18786,Surry,20734
12603,Macon,14079
2456,Clay,2925
9339,Yadkin,10490
25393,Onslow,28971
10445,Richmond,12210
72888,Buncombe,91114
47329,Union,61041
38360,Cabarrus,51918
2659,Washington,3180
22464,Harnett,27091
21794,Burke,25167
57586,Out of State,74638
14979,Granville,18292
45392,Gaston,54929
10144,Edgecombe,13148
17751,Watauga,21322
6507,Hoke,8213
5517,Bertie,6707
9524,Person,12560
14375,Beaufort,16543
11813,Jackson,13898
35715,Catawba,44324
310107,Wake,412817
22014,Cleveland,25535
13120,Sampson,16742
11627,Columbus,13722
5658,Caswell,7108
4788,Yancey,5746
14244,Lee,17833
5405,Hertford,6669
20634,Rockingham,25745
20887,Carteret,23862
225667,Mecklenburg,316779
3164,Swain,3574
5114,Avery,6191
10570,Vance,12992
13737,Halifax,16384
21645,Nash,28438
12910,Rutherford,16039
7278,Ashe,8736
9058,Stokes,10900
1986,Graham,2219
14293,Pender,17642
26540,Craven,30819
147087,Guilford,177752
6575,Madison,8053
20978,Chatham,25931
49365,Pitt,54594
31338,Moore,35449
102135,Forsyth,123632
36352,Iredell,44755
10604,Transylvania,11965
5935,Martin,6967
5086,Warren,6744
2321,Jones,2824
10984,Davie,13067
51741,Cumberland,60805
10709,McDowell,14241
6342,Cherokee,7738
4144,Chowan,5137
56665,Orange,68762
8615,Alexander,10605
101986,Durham,126382
30710,Henderson,38479
10478,Pasquotank,12497
4421,Pamlico,5169
3262,Mitchell,4322
5763,Currituck,7838
48822,Brunswick,56164
33885,Davidson,39783
14418,Franklin,18141
14236,Dare,18096
68327,New hanover,81004
7697,Bladen,8821
5169,Anson,6562
