People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5980,5046,25759,28447,Robeson
516,447,3962,4432,Perquimans
18737,16132,57050,61695,Johnston
10866,9316,33051,34580,Randolph
116,102,2447,2661,Hyde
910,835,4017,4255,Alleghany
3851,3424,12711,13609,Duplin
299,263,3083,3456,Gates
5389,4792,21676,22599,Haywood
3590,3074,15788,16675,Stanly
48451,41907,16721,16784,Missing County
6316,5591,23104,24630,Wilson
86,83,1234,1381,Tyrrell
8588,7349,28814,30599,Wayne
1528,1302,7302,7832,Montgomery
5150,4516,16244,17249,Lenoir
2362,1974,10124,10700,Scotland
14107,11865,58737,62003,Alamance
378,328,2673,3064,Camden
1275,1130,6616,7042,Greene
10984,9237,31275,32891,Rowan
710,578,6373,6848,Northampton
5093,4212,16759,18097,Wilkes
8998,7760,22948,23835,Lincoln
5199,4429,23579,24521,Caldwell
1231,1102,6660,7012,Polk
6626,5739,21090,22026,Surry
1662,1471,14338,15079,Macon
799,742,3061,3176,Clay
2323,1967,10907,11363,Yadkin
11846,9911,29686,31863,Onslow
2388,2019,12596,13300,Richmond
31553,29500,98283,103471,Buncombe
26756,22830,66349,69489,Union
25559,22641,57161,60438,Cabarrus
1076,868,3095,3436,Washington
8929,7345,28220,30217,Harnett
5614,4693,25789,27034,Burke
0,0,73094,80225,Out of State
5653,4952,19388,20546,Granville
20906,17609,57705,60359,Gaston
3409,2826,13203,14776,Edgecombe
3057,2722,22584,24828,Watauga
2733,2254,8352,9197,Hoke
858,718,6433,7230,Bertie
2863,2501,12973,13794,Person
2657,2233,16550,17520,Beaufort
15977,13561,46421,48486,Catawba
1881,1600,14404,14971,Jackson
167004,152994,438114,464576,Wake
7224,6014,26750,27987,Cleveland
3971,3447,17341,18868,Sampson
2835,2421,14348,14916,Columbus
904,607,7325,7811,Caswell
549,439,6225,6597,Yancey
5412,4720,18185,19378,Lee
1335,1165,6483,7210,Hertford
6786,5656,26656,28173,Rockingham
146801,126474,351276,375899,Mecklenburg
6909,6243,23711,24969,Carteret
715,597,3592,3731,Swain
858,768,6337,6858,Avery
4041,3513,13387,14700,Vance
2375,1976,16448,17681,Halifax
2938,2625,16397,17746,Rutherford
9551,8337,28341,31195,Nash
1936,1785,8919,9597,Ashe
4106,3465,11448,12070,Stokes
322,285,2220,2343,Graham
5004,4440,17965,19107,Pender
7988,7153,31413,32951,Craven
56683,49047,188141,197276,Guilford
789,693,8805,9087,Madison
8945,8031,25680,27165,Chatham
14450,12726,55894,58703,Pitt
9304,8499,36008,37670,Moore
41662,36896,129374,136684,Forsyth
21237,18141,46492,47243,Iredell
2263,2118,12735,13307,Transylvania
1201,1051,7145,7664,Martin
1368,1258,6826,7255,Warren
550,460,2887,3079,Jones
4309,3890,13642,14278,Davie
24683,20228,62616,66045,Cumberland
1713,1384,15210,16009,McDowell
1463,1331,8066,8476,Cherokee
894,865,4563,5388,Chowan
17915,17197,73069,76524,Orange
1297,1122,11148,11710,Alexander
35525,31977,134705,141363,Durham
9547,8833,41403,43468,Henderson
2548,2143,11746,13456,Pasquotank
598,536,5092,5375,Pamlico
572,460,4688,4999,Mitchell
1228,1045,7515,8538,Currituck
14533,13477,56465,58955,Brunswick
13231,11412,42609,44896,Davidson
7281,6481,19198,20317,Franklin
3204,2798,18442,19232,Dare
1909,1607,8955,9667,Bladen
29349,26515,83733,87806,New Hanover
1092,912,6748,7132,Anson
