People Fully Vaccinated,County,People Vaccinated with at Least One Dose
22013,Robeson,25932
3579,Perquimans,4150
44530,Johnston,55923
28453,Randolph,32158
1903,Hyde,2378
3354,Alleghany,3797
10719,Duplin,12710
2614,Gates,3157
16538,Haywood,20629
12613,Stanly,15608
9375,Missing County,12413
18214,Wilson,21878
1122,Tyrrell,1241
23895,Wayne,28322
6184,Montgomery,7397
13826,Lenoir,15705
0,,0
8600,Scotland,10008
48513,Alamance,56673
2368,Camden,2880
5495,Greene,6246
24937,Rowan,29717
5751,Northampton,6485
14967,Wilkes,16886
17886,Lincoln,22321
20415,Caldwell,22794
5842,Polk,6539
19258,Surry,20879
13071,Macon,14248
2551,Clay,2959
9675,Yadkin,10656
26937,Onslow,29773
10949,Richmond,12334
77663,Buncombe,93201
50354,Union,63123
41031,Cabarrus,54342
2769,Washington,3204
23521,Harnett,27652
22424,Burke,25321
60125,Out of State,76631
15360,Granville,18862
47468,Gaston,56467
10783,Edgecombe,13317
18458,Watauga,21510
6912,Hoke,8346
5683,Bertie,6762
10307,Person,12747
15126,Beaufort,16680
37683,Catawba,45044
12475,Jackson,14023
336600,Wake,421199
23085,Cleveland,25989
13845,Sampson,16941
12610,Columbus,13865
6045,Caswell,7264
5018,Yancey,5828
15394,Lee,18087
5670,Hertford,6737
22090,Rockingham,26061
245811,Mecklenburg,333980
21605,Carteret,24096
3316,Swain,3583
5299,Avery,6284
10954,Vance,13290
14402,Halifax,16568
13581,Rutherford,16256
23111,Nash,28835
7669,Ashe,8856
9436,Stokes,11091
2023,Graham,2223
15059,Pender,17885
27464,Craven,30965
153769,Guilford,181102
6978,Madison,8180
22279,Chatham,26403
50969,Pitt,55196
32317,Moore,35852
107697,Forsyth,125580
38621,Iredell,45597
11088,Transylvania,12125
6190,Martin,7071
5308,Warren,6806
2513,Jones,2845
11437,Davie,13233
54376,Cumberland,61691
11918,McDowell,14446
6734,Cherokee,7814
4206,Chowan,5164
60145,Orange,69606
9191,Alexander,10733
108783,Durham,128829
32852,Henderson,38987
10609,Pasquotank,12574
4683,Pamlico,5205
3454,Mitchell,4362
6021,Currituck,7902
51066,Brunswick,56785
35358,Davidson,40722
15431,Franklin,18508
16156,Dare,18261
7947,Bladen,8892
70969,New hanover,82150
5475,Anson,6640
