Death by Date of Death,Total Cases by Date of Specimen collection,Total Molecular Cases by Date of Specimen Collection,County,Date,Total Antigen Cases by Date of Specimen Collection
0,9,28,Alamance,2021-03-26,9
0,8,12,Alamance,2021-03-27,8
2,6,13,Alamance,2021-04-03,6
1,15,23,Alamance,2021-04-05,15
0,12,24,Alamance,2021-04-08,12
0,8,18,Alamance,2021-04-09,8
0,5,9,Alamance,2021-04-10,5
1,7,23,Alamance,2021-04-11,7
0,4,36,Alamance,2021-04-23,4
1,6,18,Alamance,2021-04-28,6
0,5,8,Alamance,2021-05-02,5
1,7,22,Alamance,2021-05-03,7
0,5,9,Alamance,2021-05-11,5
1,4,9,Alamance,2021-05-12,4
0,3,2,Alamance,2021-05-15,3
1,2,12,Alamance,2021-05-17,2
0,4,10,Alamance,2021-05-19,4
0,3,7,Alamance,2021-05-21,3
0,0,4,Alamance,2021-05-23,0
0,3,2,Alamance,2021-06-02,3
0,5,6,Alamance,2021-06-03,5
0,0,3,Alamance,2021-06-06,0
0,5,4,Alamance,2021-06-08,5
0,1,4,Alamance,2021-06-11,1
0,1,4,Alamance,2021-06-13,1
0,3,9,Alamance,2021-06-15,3
0,0,6,Alamance,2021-06-19,0
0,1,5,Alamance,2021-06-24,1
0,1,4,Alamance,2021-06-26,1
0,5,2,Alamance,2021-06-30,5
0,1,5,Alamance,2021-07-01,1
0,0,6,Alamance,2021-07-03,0
0,0,2,Alamance,2021-07-04,0
0,1,8,Alamance,2021-07-09,1
0,3,7,Alamance,2021-07-10,3
0,5,9,Alamance,2021-07-15,5
0,6,21,Alamance,2021-07-25,6
0,4,55,Alamance,2021-07-26,4
0,7,48,Alamance,2021-07-29,7
0,1,35,Alamance,2021-08-01,1
0,10,49,Alamance,2021-08-04,10
0,10,43,Alamance,2021-08-05,10
0,4,27,Alamance,2021-08-07,4
1,9,62,Alamance,2021-08-11,9
0,9,70,Alamance,2021-08-17,9
0,8,86,Alamance,2021-08-20,8
0,4,58,Alamance,2021-08-21,4
1,11,86,Alamance,2021-08-27,11
2,2,61,Alamance,2021-08-28,2
1,8,37,Alamance,2021-08-29,8
2,26,153,Alamance,2021-09-07,26
0,20,101,Alamance,2021-09-09,20
0,17,109,Alamance,2021-09-10,17
0,8,34,Alamance,2021-09-12,8
0,17,177,Alamance,2021-09-13,17
0,11,97,Alamance,2021-09-15,11
0,13,94,Alamance,2021-09-16,13
0,0,1,Alexander,2021-03-26,0
0,1,3,Alexander,2021-03-27,1
0,1,3,Alexander,2021-04-03,1
0,0,3,Alexander,2021-04-05,0
0,2,1,Alexander,2021-04-08,2
0,0,1,Alexander,2021-04-09,0
0,4,1,Alexander,2021-04-10,4
0,5,0,Alexander,2021-04-11,5
0,1,2,Alexander,2021-04-23,1
0,0,5,Alexander,2021-04-28,0
0,2,1,Alexander,2021-05-02,2
0,0,2,Alexander,2021-05-03,0
0,0,2,Alexander,2021-05-11,0
0,0,3,Alexander,2021-05-12,0
0,0,1,Alexander,2021-05-15,0
0,1,3,Alexander,2021-05-17,1
0,0,1,Alexander,2021-05-19,0
0,3,1,Alexander,2021-05-21,3
0,0,1,Alexander,2021-05-23,0
0,0,1,Alexander,2021-06-02,0
0,0,0,Alexander,2021-06-03,0
0,0,0,Alexander,2021-06-06,0
0,0,0,Alexander,2021-06-08,0
0,2,1,Alexander,2021-06-11,2
0,0,1,Alexander,2021-06-13,0
0,0,1,Alexander,2021-06-15,0
0,0,0,Alexander,2021-06-19,0
0,3,0,Alexander,2021-06-24,3
0,0,1,Alexander,2021-06-26,0
0,2,0,Alexander,2021-06-30,2
0,0,0,Alexander,2021-07-01,0
0,1,0,Alexander,2021-07-03,1
0,1,0,Alexander,2021-07-04,1
0,3,2,Alexander,2021-07-09,3
0,2,1,Alexander,2021-07-10,2
0,1,4,Alexander,2021-07-15,1
0,2,4,Alexander,2021-07-25,2
0,7,9,Alexander,2021-07-26,7
0,7,10,Alexander,2021-07-29,7
0,3,3,Alexander,2021-08-01,3
0,4,11,Alexander,2021-08-04,4
0,10,18,Alexander,2021-08-05,10
0,4,6,Alexander,2021-08-07,4
0,11,13,Alexander,2021-08-11,11
0,13,9,Alexander,2021-08-17,13
0,10,20,Alexander,2021-08-20,10
1,12,6,Alexander,2021-08-21,12
0,15,21,Alexander,2021-08-27,15
1,7,7,Alexander,2021-08-28,7
0,8,6,Alexander,2021-08-29,8
0,36,24,Alexander,2021-09-07,36
1,33,13,Alexander,2021-09-09,33
0,18,19,Alexander,2021-09-10,18
0,5,9,Alexander,2021-09-12,5
0,22,26,Alexander,2021-09-13,22
1,3,19,Alexander,2021-09-15,3
2,5,7,Alexander,2021-09-16,5
0,0,0,Alleghany,2021-03-26,0
0,0,2,Alleghany,2021-03-27,0
0,1,0,Alleghany,2021-04-03,1
0,6,0,Alleghany,2021-04-05,6
0,0,8,Alleghany,2021-04-08,0
0,0,1,Alleghany,2021-04-09,0
0,1,0,Alleghany,2021-04-10,1
0,1,0,Alleghany,2021-04-11,1
0,0,3,Alleghany,2021-04-23,0
0,1,0,Alleghany,2021-04-28,1
0,0,0,Alleghany,2021-05-02,0
0,1,2,Alleghany,2021-05-03,1
0,2,0,Alleghany,2021-05-11,2
0,0,0,Alleghany,2021-05-12,0
0,0,0,Alleghany,2021-05-15,0
0,2,0,Alleghany,2021-05-17,2
0,3,0,Alleghany,2021-05-19,3
0,0,0,Alleghany,2021-05-21,0
0,1,0,Alleghany,2021-05-23,1
0,0,1,Alleghany,2021-06-02,0
0,0,1,Alleghany,2021-06-03,0
0,1,0,Alleghany,2021-06-06,1
0,0,0,Alleghany,2021-06-08,0
0,0,0,Alleghany,2021-06-11,0
0,0,1,Alleghany,2021-06-13,0
0,0,1,Alleghany,2021-06-15,0
0,0,0,Alleghany,2021-06-19,0
0,0,0,Alleghany,2021-06-24,0
0,0,2,Alleghany,2021-06-26,0
0,0,0,Alleghany,2021-06-30,0
0,0,0,Alleghany,2021-07-01,0
0,1,1,Alleghany,2021-07-03,1
0,0,1,Alleghany,2021-07-04,0
0,0,0,Alleghany,2021-07-09,0
0,0,0,Alleghany,2021-07-10,0
0,0,1,Alleghany,2021-07-15,0
0,0,0,Alleghany,2021-07-25,0
0,0,1,Alleghany,2021-07-26,0
0,0,1,Alleghany,2021-07-29,0
0,1,1,Alleghany,2021-08-01,1
0,0,0,Alleghany,2021-08-04,0
0,0,3,Alleghany,2021-08-05,0
0,0,1,Alleghany,2021-08-07,0
0,2,1,Alleghany,2021-08-11,2
0,0,2,Alleghany,2021-08-17,0
0,1,3,Alleghany,2021-08-20,1
0,1,0,Alleghany,2021-08-21,1
0,0,7,Alleghany,2021-08-27,0
0,0,5,Alleghany,2021-08-28,0
0,0,2,Alleghany,2021-08-29,0
0,2,23,Alleghany,2021-09-07,2
0,1,9,Alleghany,2021-09-09,1
0,0,7,Alleghany,2021-09-10,0
0,0,3,Alleghany,2021-09-12,0
0,1,18,Alleghany,2021-09-13,1
0,2,17,Alleghany,2021-09-15,2
0,0,2,Alleghany,2021-09-16,0
0,1,2,Anson,2021-03-26,1
0,0,2,Anson,2021-03-27,0
0,0,1,Anson,2021-04-03,0
0,1,4,Anson,2021-04-05,1
0,2,0,Anson,2021-04-08,2
0,0,1,Anson,2021-04-09,0
0,2,4,Anson,2021-04-10,2
0,0,0,Anson,2021-04-11,0
0,0,3,Anson,2021-04-23,0
0,0,2,Anson,2021-04-28,0
0,0,2,Anson,2021-05-02,0
0,2,4,Anson,2021-05-03,2
0,0,4,Anson,2021-05-11,0
0,0,0,Anson,2021-05-12,0
0,0,1,Anson,2021-05-15,0
0,1,2,Anson,2021-05-17,1
0,0,1,Anson,2021-05-19,0
0,1,1,Anson,2021-05-21,1
0,1,0,Anson,2021-05-23,1
0,1,1,Anson,2021-06-02,1
0,1,0,Anson,2021-06-03,1
0,0,0,Anson,2021-06-06,0
0,0,1,Anson,2021-06-08,0
0,0,0,Anson,2021-06-11,0
0,0,1,Anson,2021-06-13,0
0,0,1,Anson,2021-06-15,0
0,0,2,Anson,2021-06-19,0
0,0,1,Anson,2021-06-24,0
0,0,0,Anson,2021-06-26,0
0,0,1,Anson,2021-06-30,0
0,0,0,Anson,2021-07-01,0
0,0,1,Anson,2021-07-03,0
0,0,0,Anson,2021-07-04,0
0,0,0,Anson,2021-07-09,0
0,0,0,Anson,2021-07-10,0
0,0,5,Anson,2021-07-15,0
0,0,3,Anson,2021-07-25,0
0,0,4,Anson,2021-07-26,0
0,1,8,Anson,2021-07-29,1
0,0,2,Anson,2021-08-01,0
0,1,18,Anson,2021-08-04,1
1,5,9,Anson,2021-08-05,5
0,0,4,Anson,2021-08-07,0
0,1,11,Anson,2021-08-11,1
0,1,11,Anson,2021-08-17,1
0,0,14,Anson,2021-08-20,0
1,0,6,Anson,2021-08-21,0
1,2,14,Anson,2021-08-27,2
1,0,20,Anson,2021-08-28,0
0,0,13,Anson,2021-08-29,0
1,2,39,Anson,2021-09-07,2
1,6,28,Anson,2021-09-09,6
0,1,31,Anson,2021-09-10,1
0,0,10,Anson,2021-09-12,0
0,0,27,Anson,2021-09-13,0
0,4,19,Anson,2021-09-15,4
1,4,16,Anson,2021-09-16,4
0,2,3,Ashe,2021-03-26,2
0,1,0,Ashe,2021-03-27,1
0,1,1,Ashe,2021-04-03,1
0,1,4,Ashe,2021-04-05,1
0,0,1,Ashe,2021-04-08,0
0,4,3,Ashe,2021-04-09,4
0,0,0,Ashe,2021-04-10,0
0,1,0,Ashe,2021-04-11,1
0,0,0,Ashe,2021-04-23,0
0,0,1,Ashe,2021-04-28,0
0,0,2,Ashe,2021-05-02,0
0,3,7,Ashe,2021-05-03,3
0,0,0,Ashe,2021-05-11,0
0,1,0,Ashe,2021-05-12,1
0,0,0,Ashe,2021-05-15,0
0,2,1,Ashe,2021-05-17,2
0,2,1,Ashe,2021-05-19,2
0,0,0,Ashe,2021-05-21,0
0,0,1,Ashe,2021-05-23,0
1,0,2,Ashe,2021-06-02,0
0,3,1,Ashe,2021-06-03,3
0,0,0,Ashe,2021-06-06,0
0,0,1,Ashe,2021-06-08,0
1,0,1,Ashe,2021-06-11,0
0,0,0,Ashe,2021-06-13,0
0,0,0,Ashe,2021-06-15,0
0,0,0,Ashe,2021-06-19,0
0,0,0,Ashe,2021-06-24,0
0,0,0,Ashe,2021-06-26,0
0,0,0,Ashe,2021-06-30,0
0,0,1,Ashe,2021-07-01,0
0,0,0,Ashe,2021-07-03,0
0,0,0,Ashe,2021-07-04,0
0,0,2,Ashe,2021-07-09,0
0,0,0,Ashe,2021-07-10,0
0,2,0,Ashe,2021-07-15,2
0,0,7,Ashe,2021-07-25,0
0,0,6,Ashe,2021-07-26,0
0,0,14,Ashe,2021-07-29,0
0,1,1,Ashe,2021-08-01,1
0,1,8,Ashe,2021-08-04,1
0,5,14,Ashe,2021-08-05,5
0,4,4,Ashe,2021-08-07,4
0,2,8,Ashe,2021-08-11,2
0,1,5,Ashe,2021-08-17,1
0,0,14,Ashe,2021-08-20,0
0,2,1,Ashe,2021-08-21,2
0,17,41,Ashe,2021-08-27,17
0,1,4,Ashe,2021-08-28,1
0,0,6,Ashe,2021-08-29,0
0,2,40,Ashe,2021-09-07,2
0,0,9,Ashe,2021-09-09,0
0,1,14,Ashe,2021-09-10,1
0,1,5,Ashe,2021-09-12,1
0,3,27,Ashe,2021-09-13,3
0,2,6,Ashe,2021-09-15,2
0,0,9,Ashe,2021-09-16,0
0,0,3,Avery,2021-03-26,0
0,1,0,Avery,2021-03-27,1
0,0,0,Avery,2021-04-03,0
0,0,2,Avery,2021-04-05,0
0,1,5,Avery,2021-04-08,1
0,2,2,Avery,2021-04-09,2
0,0,3,Avery,2021-04-10,0
0,0,4,Avery,2021-04-11,0
0,0,0,Avery,2021-04-23,0
0,0,2,Avery,2021-04-28,0
0,0,2,Avery,2021-05-02,0
0,1,6,Avery,2021-05-03,1
0,0,0,Avery,2021-05-11,0
0,0,1,Avery,2021-05-12,0
0,0,2,Avery,2021-05-15,0
0,1,3,Avery,2021-05-17,1
0,0,0,Avery,2021-05-19,0
0,0,0,Avery,2021-05-21,0
0,0,0,Avery,2021-05-23,0
0,0,1,Avery,2021-06-02,0
0,0,0,Avery,2021-06-03,0
0,0,0,Avery,2021-06-06,0
0,0,0,Avery,2021-06-08,0
0,0,0,Avery,2021-06-11,0
0,0,0,Avery,2021-06-13,0
0,1,0,Avery,2021-06-15,1
0,0,0,Avery,2021-06-19,0
0,0,0,Avery,2021-06-24,0
0,0,0,Avery,2021-06-26,0
0,0,0,Avery,2021-06-30,0
0,0,1,Avery,2021-07-01,0
0,0,0,Avery,2021-07-03,0
0,0,0,Avery,2021-07-04,0
0,1,0,Avery,2021-07-09,1
0,0,0,Avery,2021-07-10,0
0,0,2,Avery,2021-07-15,0
0,0,2,Avery,2021-07-25,0
0,2,3,Avery,2021-07-26,2
0,0,0,Avery,2021-07-29,0
0,0,1,Avery,2021-08-01,0
0,2,2,Avery,2021-08-04,2
0,0,0,Avery,2021-08-05,0
0,1,1,Avery,2021-08-07,1
0,1,5,Avery,2021-08-11,1
1,0,4,Avery,2021-08-17,0
0,0,6,Avery,2021-08-20,0
0,1,3,Avery,2021-08-21,1
0,0,9,Avery,2021-08-27,0
0,0,1,Avery,2021-08-28,0
0,0,7,Avery,2021-08-29,0
0,0,17,Avery,2021-09-07,0
0,0,8,Avery,2021-09-09,0
0,0,5,Avery,2021-09-10,0
0,0,2,Avery,2021-09-12,0
0,1,18,Avery,2021-09-13,1
1,1,4,Avery,2021-09-15,1
0,0,3,Avery,2021-09-16,0
0,1,0,Beaufort,2021-03-26,1
0,0,2,Beaufort,2021-03-27,0
0,0,1,Beaufort,2021-04-03,0
1,1,0,Beaufort,2021-04-05,1
0,0,5,Beaufort,2021-04-08,0
0,1,5,Beaufort,2021-04-09,1
0,1,3,Beaufort,2021-04-10,1
0,0,3,Beaufort,2021-04-11,0
0,0,3,Beaufort,2021-04-23,0
0,1,3,Beaufort,2021-04-28,1
0,0,2,Beaufort,2021-05-02,0
0,1,6,Beaufort,2021-05-03,1
0,0,5,Beaufort,2021-05-11,0
0,0,3,Beaufort,2021-05-12,0
0,1,3,Beaufort,2021-05-15,1
0,0,9,Beaufort,2021-05-17,0
0,1,5,Beaufort,2021-05-19,1
0,1,5,Beaufort,2021-05-21,1
0,1,2,Beaufort,2021-05-23,1
0,0,6,Beaufort,2021-06-02,0
0,0,2,Beaufort,2021-06-03,0
0,0,1,Beaufort,2021-06-06,0
0,0,4,Beaufort,2021-06-08,0
0,0,4,Beaufort,2021-06-11,0
0,0,0,Beaufort,2021-06-13,0
0,0,4,Beaufort,2021-06-15,0
0,1,0,Beaufort,2021-06-19,1
1,1,1,Beaufort,2021-06-24,1
0,0,2,Beaufort,2021-06-26,0
0,0,3,Beaufort,2021-06-30,0
0,1,3,Beaufort,2021-07-01,1
0,0,1,Beaufort,2021-07-03,0
0,0,0,Beaufort,2021-07-04,0
0,0,1,Beaufort,2021-07-09,0
0,1,0,Beaufort,2021-07-10,1
0,1,1,Beaufort,2021-07-15,1
0,0,0,Beaufort,2021-07-25,0
0,4,12,Beaufort,2021-07-26,4
0,2,6,Beaufort,2021-07-29,2
0,0,9,Beaufort,2021-08-01,0
0,2,9,Beaufort,2021-08-04,2
1,3,18,Beaufort,2021-08-05,3
0,2,5,Beaufort,2021-08-07,2
0,1,22,Beaufort,2021-08-11,1
1,2,32,Beaufort,2021-08-17,2
0,2,26,Beaufort,2021-08-20,2
0,0,7,Beaufort,2021-08-21,0
1,2,32,Beaufort,2021-08-27,2
0,2,12,Beaufort,2021-08-28,2
0,3,11,Beaufort,2021-08-29,3
0,7,94,Beaufort,2021-09-07,7
0,1,55,Beaufort,2021-09-09,1
0,0,42,Beaufort,2021-09-10,0
2,0,12,Beaufort,2021-09-12,0
2,9,64,Beaufort,2021-09-13,9
0,0,50,Beaufort,2021-09-15,0
0,1,29,Beaufort,2021-09-16,1
0,0,0,Bertie,2021-03-26,0
0,0,0,Bertie,2021-03-27,0
0,0,0,Bertie,2021-04-03,0
0,0,2,Bertie,2021-04-05,0
0,0,1,Bertie,2021-04-08,0
0,0,2,Bertie,2021-04-09,0
0,1,0,Bertie,2021-04-10,1
0,0,0,Bertie,2021-04-11,0
0,0,2,Bertie,2021-04-23,0
0,0,1,Bertie,2021-04-28,0
0,0,1,Bertie,2021-05-02,0
0,0,1,Bertie,2021-05-03,0
0,0,2,Bertie,2021-05-11,0
0,0,0,Bertie,2021-05-12,0
0,0,1,Bertie,2021-05-15,0
0,0,3,Bertie,2021-05-17,0
0,0,1,Bertie,2021-05-19,0
0,0,1,Bertie,2021-05-21,0
0,0,0,Bertie,2021-05-23,0
0,0,0,Bertie,2021-06-02,0
0,0,0,Bertie,2021-06-03,0
0,0,1,Bertie,2021-06-06,0
0,0,0,Bertie,2021-06-08,0
0,0,1,Bertie,2021-06-11,0
0,0,0,Bertie,2021-06-13,0
0,0,0,Bertie,2021-06-15,0
0,0,0,Bertie,2021-06-19,0
0,0,0,Bertie,2021-06-24,0
0,0,0,Bertie,2021-06-26,0
0,0,2,Bertie,2021-06-30,0
0,0,0,Bertie,2021-07-01,0
0,0,0,Bertie,2021-07-03,0
0,0,0,Bertie,2021-07-04,0
0,0,0,Bertie,2021-07-09,0
0,0,0,Bertie,2021-07-10,0
0,0,1,Bertie,2021-07-15,0
0,0,0,Bertie,2021-07-25,0
0,0,1,Bertie,2021-07-26,0
0,0,0,Bertie,2021-07-29,0
0,0,2,Bertie,2021-08-01,0
0,1,5,Bertie,2021-08-04,1
0,0,3,Bertie,2021-08-05,0
0,0,2,Bertie,2021-08-07,0
0,2,9,Bertie,2021-08-11,2
0,0,8,Bertie,2021-08-17,0
0,0,10,Bertie,2021-08-20,0
0,0,2,Bertie,2021-08-21,0
0,0,14,Bertie,2021-08-27,0
0,0,9,Bertie,2021-08-28,0
0,0,10,Bertie,2021-08-29,0
0,1,20,Bertie,2021-09-07,1
1,0,10,Bertie,2021-09-09,0
0,0,11,Bertie,2021-09-10,0
0,1,5,Bertie,2021-09-12,1
0,1,16,Bertie,2021-09-13,1
0,0,7,Bertie,2021-09-15,0
0,0,7,Bertie,2021-09-16,0
0,4,3,Bladen,2021-03-26,4
0,2,1,Bladen,2021-03-27,2
0,0,0,Bladen,2021-04-03,0
0,2,3,Bladen,2021-04-05,2
0,0,0,Bladen,2021-04-08,0
0,1,2,Bladen,2021-04-09,1
0,1,1,Bladen,2021-04-10,1
0,2,1,Bladen,2021-04-11,2
0,2,4,Bladen,2021-04-23,2
0,4,5,Bladen,2021-04-28,4
0,0,0,Bladen,2021-05-02,0
0,2,1,Bladen,2021-05-03,2
0,2,3,Bladen,2021-05-11,2
0,0,0,Bladen,2021-05-12,0
0,0,1,Bladen,2021-05-15,0
0,7,4,Bladen,2021-05-17,7
0,2,3,Bladen,2021-05-19,2
0,1,4,Bladen,2021-05-21,1
0,3,0,Bladen,2021-05-23,3
0,2,1,Bladen,2021-06-02,2
0,2,3,Bladen,2021-06-03,2
0,2,1,Bladen,2021-06-06,2
0,5,3,Bladen,2021-06-08,5
0,0,6,Bladen,2021-06-11,0
0,2,2,Bladen,2021-06-13,2
0,2,2,Bladen,2021-06-15,2
0,3,4,Bladen,2021-06-19,3
1,3,7,Bladen,2021-06-24,3
0,1,5,Bladen,2021-06-26,1
0,2,2,Bladen,2021-06-30,2
1,1,1,Bladen,2021-07-01,1
0,0,2,Bladen,2021-07-03,0
0,0,1,Bladen,2021-07-04,0
0,2,6,Bladen,2021-07-09,2
0,1,0,Bladen,2021-07-10,1
0,3,3,Bladen,2021-07-15,3
0,7,9,Bladen,2021-07-25,7
1,3,28,Bladen,2021-07-26,3
0,9,11,Bladen,2021-07-29,9
1,10,2,Bladen,2021-08-01,10
0,2,19,Bladen,2021-08-04,2
0,9,15,Bladen,2021-08-05,9
0,2,9,Bladen,2021-08-07,2
0,12,18,Bladen,2021-08-11,12
2,9,31,Bladen,2021-08-17,9
0,2,40,Bladen,2021-08-20,2
1,7,9,Bladen,2021-08-21,7
1,4,15,Bladen,2021-08-27,4
0,6,8,Bladen,2021-08-28,6
2,3,6,Bladen,2021-08-29,3
1,14,35,Bladen,2021-09-07,14
0,7,10,Bladen,2021-09-09,7
0,4,13,Bladen,2021-09-10,4
0,1,9,Bladen,2021-09-12,1
0,10,18,Bladen,2021-09-13,10
0,6,17,Bladen,2021-09-15,6
0,1,15,Bladen,2021-09-16,1
0,5,13,Brunswick,2021-03-26,5
1,1,8,Brunswick,2021-03-27,1
1,2,10,Brunswick,2021-04-03,2
0,7,16,Brunswick,2021-04-05,7
0,2,18,Brunswick,2021-04-08,2
0,3,17,Brunswick,2021-04-09,3
1,0,8,Brunswick,2021-04-10,0
0,2,9,Brunswick,2021-04-11,2
0,2,11,Brunswick,2021-04-23,2
0,3,13,Brunswick,2021-04-28,3
0,3,0,Brunswick,2021-05-02,3
0,8,9,Brunswick,2021-05-03,8
0,1,3,Brunswick,2021-05-11,1
0,3,7,Brunswick,2021-05-12,3
0,1,3,Brunswick,2021-05-15,1
0,0,4,Brunswick,2021-05-17,0
0,4,11,Brunswick,2021-05-19,4
0,1,6,Brunswick,2021-05-21,1
0,0,3,Brunswick,2021-05-23,0
0,2,5,Brunswick,2021-06-02,2
0,0,3,Brunswick,2021-06-03,0
0,0,1,Brunswick,2021-06-06,0
0,2,2,Brunswick,2021-06-08,2
0,0,0,Brunswick,2021-06-11,0
0,0,1,Brunswick,2021-06-13,0
0,0,2,Brunswick,2021-06-15,0
0,0,0,Brunswick,2021-06-19,0
0,1,3,Brunswick,2021-06-24,1
0,1,1,Brunswick,2021-06-26,1
0,2,4,Brunswick,2021-06-30,2
0,0,3,Brunswick,2021-07-01,0
0,7,9,Brunswick,2021-07-03,7
0,4,5,Brunswick,2021-07-04,4
0,7,7,Brunswick,2021-07-09,7
0,4,9,Brunswick,2021-07-10,4
0,2,10,Brunswick,2021-07-15,2
0,1,31,Brunswick,2021-07-25,1
0,8,52,Brunswick,2021-07-26,8
0,13,56,Brunswick,2021-07-29,13
1,10,56,Brunswick,2021-08-01,10
0,14,84,Brunswick,2021-08-04,14
2,20,71,Brunswick,2021-08-05,20
1,5,45,Brunswick,2021-08-07,5
1,9,96,Brunswick,2021-08-11,9
0,18,84,Brunswick,2021-08-17,18
1,10,92,Brunswick,2021-08-20,10
1,7,57,Brunswick,2021-08-21,7
1,21,104,Brunswick,2021-08-27,21
1,4,41,Brunswick,2021-08-28,4
2,8,28,Brunswick,2021-08-29,8
0,14,90,Brunswick,2021-09-07,14
0,9,89,Brunswick,2021-09-09,9
0,20,86,Brunswick,2021-09-10,20
1,8,44,Brunswick,2021-09-12,8
0,13,97,Brunswick,2021-09-13,13
0,12,78,Brunswick,2021-09-15,12
0,12,58,Brunswick,2021-09-16,12
0,8,21,Buncombe,2021-03-26,8
0,6,15,Buncombe,2021-03-27,6
0,10,10,Buncombe,2021-04-03,10
0,14,24,Buncombe,2021-04-05,14
0,8,17,Buncombe,2021-04-08,8
0,7,24,Buncombe,2021-04-09,7
0,12,8,Buncombe,2021-04-10,12
1,9,10,Buncombe,2021-04-11,9
0,13,27,Buncombe,2021-04-23,13
0,14,18,Buncombe,2021-04-28,14
1,10,11,Buncombe,2021-05-02,10
1,9,23,Buncombe,2021-05-03,9
0,6,13,Buncombe,2021-05-11,6
0,10,16,Buncombe,2021-05-12,10
0,6,11,Buncombe,2021-05-15,6
0,5,26,Buncombe,2021-05-17,5
0,1,9,Buncombe,2021-05-19,1
0,0,6,Buncombe,2021-05-21,0
1,1,1,Buncombe,2021-05-23,1
0,5,4,Buncombe,2021-06-02,5
0,1,1,Buncombe,2021-06-03,1
0,1,3,Buncombe,2021-06-06,1
0,3,5,Buncombe,2021-06-08,3
0,4,4,Buncombe,2021-06-11,4
0,0,4,Buncombe,2021-06-13,0
0,0,3,Buncombe,2021-06-15,0
0,0,2,Buncombe,2021-06-19,0
0,2,4,Buncombe,2021-06-24,2
0,0,1,Buncombe,2021-06-26,0
1,3,7,Buncombe,2021-06-30,3
1,5,4,Buncombe,2021-07-01,5
0,1,8,Buncombe,2021-07-03,1
0,0,4,Buncombe,2021-07-04,0
0,9,5,Buncombe,2021-07-09,9
0,3,8,Buncombe,2021-07-10,3
0,8,11,Buncombe,2021-07-15,8
0,4,30,Buncombe,2021-07-25,4
0,9,52,Buncombe,2021-07-26,9
1,17,54,Buncombe,2021-07-29,17
1,11,45,Buncombe,2021-08-01,11
2,10,89,Buncombe,2021-08-04,10
1,6,88,Buncombe,2021-08-05,6
0,10,50,Buncombe,2021-08-07,10
1,22,97,Buncombe,2021-08-11,22
1,18,111,Buncombe,2021-08-17,18
1,6,141,Buncombe,2021-08-20,6
3,3,63,Buncombe,2021-08-21,3
1,18,126,Buncombe,2021-08-27,18
3,8,66,Buncombe,2021-08-28,8
3,7,59,Buncombe,2021-08-29,7
2,48,190,Buncombe,2021-09-07,48
1,36,121,Buncombe,2021-09-09,36
1,24,102,Buncombe,2021-09-10,24
2,8,66,Buncombe,2021-09-12,8
2,50,148,Buncombe,2021-09-13,50
1,35,91,Buncombe,2021-09-15,35
0,13,80,Buncombe,2021-09-16,13
0,4,5,Burke,2021-03-26,4
0,1,6,Burke,2021-03-27,1
0,3,6,Burke,2021-04-03,3
0,9,11,Burke,2021-04-05,9
0,4,6,Burke,2021-04-08,4
0,0,8,Burke,2021-04-09,0
1,0,7,Burke,2021-04-10,0
0,0,3,Burke,2021-04-11,0
1,4,1,Burke,2021-04-23,4
0,5,13,Burke,2021-04-28,5
0,3,4,Burke,2021-05-02,3
0,4,8,Burke,2021-05-03,4
0,3,6,Burke,2021-05-11,3
0,2,7,Burke,2021-05-12,2
1,4,0,Burke,2021-05-15,4
0,3,8,Burke,2021-05-17,3
0,1,2,Burke,2021-05-19,1
0,2,5,Burke,2021-05-21,2
1,2,4,Burke,2021-05-23,2
1,0,3,Burke,2021-06-02,0
0,2,4,Burke,2021-06-03,2
0,0,3,Burke,2021-06-06,0
0,0,4,Burke,2021-06-08,0
0,0,3,Burke,2021-06-11,0
0,2,2,Burke,2021-06-13,2
0,1,0,Burke,2021-06-15,1
0,2,2,Burke,2021-06-19,2
0,0,3,Burke,2021-06-24,0
0,0,4,Burke,2021-06-26,0
0,0,1,Burke,2021-06-30,0
0,1,0,Burke,2021-07-01,1
0,1,2,Burke,2021-07-03,1
0,1,1,Burke,2021-07-04,1
0,1,6,Burke,2021-07-09,1
0,0,1,Burke,2021-07-10,0
0,0,8,Burke,2021-07-15,0
0,6,5,Burke,2021-07-25,6
0,11,31,Burke,2021-07-26,11
0,10,31,Burke,2021-07-29,10
0,3,21,Burke,2021-08-01,3
0,11,36,Burke,2021-08-04,11
0,16,25,Burke,2021-08-05,16
0,6,27,Burke,2021-08-07,6
0,18,44,Burke,2021-08-11,18
0,14,56,Burke,2021-08-17,14
0,21,84,Burke,2021-08-20,21
0,10,50,Burke,2021-08-21,10
0,16,76,Burke,2021-08-27,16
0,8,45,Burke,2021-08-28,8
0,6,46,Burke,2021-08-29,6
0,21,124,Burke,2021-09-07,21
0,36,66,Burke,2021-09-09,36
0,30,54,Burke,2021-09-10,30
0,13,23,Burke,2021-09-12,13
0,41,88,Burke,2021-09-13,41
0,26,52,Burke,2021-09-15,26
0,19,38,Burke,2021-09-16,19
0,20,23,Cabarrus,2021-03-26,20
1,8,28,Cabarrus,2021-03-27,8
0,10,22,Cabarrus,2021-04-03,10
1,21,35,Cabarrus,2021-04-05,21
0,16,49,Cabarrus,2021-04-08,16
0,23,42,Cabarrus,2021-04-09,23
0,14,29,Cabarrus,2021-04-10,14
0,15,31,Cabarrus,2021-04-11,15
