second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1624,10146,8494,2026,12137,10066,Currituck
99,128,2252,10116,7765,2669,11419,8622,Anson
2185,3379,1003,6944,3756,1216,8731,4136,Swain
354,518,8014,27311,18943,9696,32227,22013,Pender
75,114,847,6074,5152,1124,7336,6098,Mitchell
211,320,3962,18657,14484,4903,21736,16513,Richmond
850,1319,33590,96272,61832,38690,113256,73247,Gaston
914,1326,6937,30283,22432,8133,36040,26581,Haywood
7032,8121,12546,54849,35271,14804,61826,38901,Craven
396,524,11377,32704,20931,12982,36690,23184,Franklin
1172,1522,33212,83076,48692,37656,94391,55213,Iredell
119,168,4361,16146,11666,4924,18512,13420,Yadkin
298,398,4188,22134,17648,5010,25762,20354,Beaufort
922,1322,15240,46797,30635,18299,55214,35593,Harnett
108,144,1559,8467,6800,1745,9358,7469,Polk
17,23,4664,22267,17586,5344,26726,21359,Dare
1933,3107,61558,192413,128922,68689,235319,163523,Forsyth
46855,56603,22352,101241,32034,26951,121795,38241,Onslow
51,71,913,4353,3389,1130,4864,3663,Jones
563,773,15467,46993,30963,17561,54134,35800,Nash
2389,3591,2873,19294,14032,3392,24107,17124,Jackson
228,284,6644,22043,15171,7707,25772,17781,Duplin
26,34,1046,5081,4009,1277,6513,5202,Alleghany
34690,26283,78901,158607,45016,88837,178851,63731,Missing
1439,2085,38719,103269,63111,43411,117635,72139,Cabarrus
92,133,2195,14439,12152,2670,16215,13412,Alexander
947,875,646,4726,3133,785,5333,3673,Camden
348,506,2455,20670,17867,3110,24123,20507,Mcdowell
317,423,6871,27681,20493,7999,33095,24673,Sampson
285,420,8077,26604,18242,9449,30707,20838,Lenoir
426,644,4751,24868,19691,5399,28541,22498,Rutherford
144,184,2246,10666,8276,2767,12015,9064,Montgomery
162,249,6224,18251,11865,7228,21552,14075,Stokes
278,356,5341,21200,15581,6426,24790,18008,Columbus
354,499,9846,36619,26419,12224,42250,29527,Wilson
241,382,13214,37410,23955,15858,42756,26516,Lincoln
1255,1839,41734,124989,82000,47522,148052,98691,New hanover
251,348,6384,20599,13964,7316,24134,16470,Davie
83,123,1149,8236,7004,1366,9242,7753,Northampton
262,371,3915,23822,19645,4741,26934,21822,Halifax
663,894,11602,48488,36223,13984,56465,41587,Robeson
778,1114,4901,15972,10293,6029,19324,12181,Hoke
130,173,805,8009,7074,994,9162,7995,Yancey
431,642,9436,29852,19985,10765,34190,22783,Lee
3813,5692,38633,144970,102524,42553,171063,122818,Buncombe
,,136,2893,2757,166,3289,3123,Hyde
295,403,5364,21061,15402,6438,24771,17930,Edgecombe
224,292,2717,14402,11461,3144,18645,15209,Transylvania
272,378,11191,37121,25658,13038,41724,28308,Chatham
4501,6019,49252,192165,138412,54881,226509,165609,Durham
,,129,1704,1575,166,1974,1808,Tyrrell
690,916,13270,51085,37125,15460,57328,40952,Moore
565,744,17656,54836,36615,20477,62475,41254,Randolph
2889,3459,17359,55600,35352,20088,62920,39373,Rowan
99,124,2725,11775,8951,3158,14742,11460,Ashe
979,1435,11638,56216,43599,13829,67864,52600,Henderson
302,403,5940,22346,16104,6953,25553,18197,Vance
574,914,42891,114485,71020,48055,130169,81200,Union
38,56,1461,5197,3698,1727,6095,4312,Washington
949,1268,20673,69578,47956,24036,80759,55455,Davidson
4263,4613,8591,33790,20936,9910,37822,23299,Granville
66,123,3855,24630,20709,4510,32668,28035,Watauga
316,518,12218,43168,30634,14457,49208,34233,Cleveland
,12,430,4067,3637,509,4599,4078,Gates
298,376,691,3540,2551,860,4126,2890,Graham
391,600,10392,35622,24839,12184,40366,27582,Carteret
1043,1413,21807,87184,64334,24955,98937,72569,Alamance
4603,7632,212991,596964,379370,239114,699766,453020,Mecklenburg
1503,1841,20457,78786,56826,23237,89797,64719,Brunswick
390,477,5758,24676,18528,6686,27648,20485,Stanly
11,15,861,5403,4531,1063,6362,5284,Perquimans
136,221,1147,9867,8584,1276,12278,10781,Madison
14,29,4187,17908,13707,5100,21541,16412,Pasquotank
195,259,8678,28754,19881,9871,32909,22779,Wilkes
401,732,25333,75316,49582,29520,84865,54613,Catawba
184,324,8268,33271,24819,10400,38832,28108,Caldwell
80,101,2195,9290,7015,2609,11123,8413,Greene
338,490,11412,40789,29039,13466,45971,32015,Rockingham
,,,80892,80892,,103355,103355,Out o
317,472,2344,17059,14398,2896,21331,17963,Macon
5865,8568,231015,689556,452676,256388,800024,535068,Wake
117,146,2089,9830,7624,2372,10881,8363,Warren
2239,3501,88423,285278,194616,100339,324794,220954,Guilford
166,216,3404,14444,10874,4156,16556,12184,Bladen
74875,92768,43826,186564,67863,51898,221298,76632,Cumberland
,,1472,6790,5318,1647,8118,6471,Chowan
78,92,891,6501,5532,1154,7263,6017,Pamlico
169,239,3762,15204,11273,4673,17276,12364,Scotland
933,1383,30525,95102,63644,35280,111104,74441,Johnston
56,92,915,4728,3757,1005,5249,4152,Clay
133,183,1863,9802,7806,2268,11598,9147,Martin
420,583,2123,11890,9347,2701,13439,10155,Cherokee
844,1168,22491,95417,72082,24107,113098,87823,Orange
339,497,8875,37155,27941,10545,42255,31213,Burke
227,301,9765,33411,23419,11139,37381,25941,Surry
7912,10547,15077,55851,32862,17903,65328,36878,Wayne
65,99,1284,7993,6644,1502,9557,7956,Avery
1016,1493,24191,79862,54655,28131,95891,66267,Pitt
28,42,1544,9032,7460,1814,10419,8563,Bertie
23,50,2574,9924,7327,3092,11415,8273,Hertford
292,385,4446,19632,14894,5397,22096,16314,Person
71,109,1241,9756,8444,1618,10906,9179,Caswell
