First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
12516,10477,48,28,Currituck,2169,10299,1737,8712
11981,10640,131,99,Anson,2876,8974,2483,8058
9144,7344,3661,2444,Swain,1276,4207,1058,3842
33263,28191,523,356,Pender,10448,22292,8690,19145
7595,6261,116,75,Mitchell,1205,6274,894,5292
22762,19445,332,214,Richmond,5332,17098,4282,14949
37011,31139,1350,923,Haywood,8455,27206,7198,23018
117989,100655,1346,858,Gaston,41434,75209,36275,63522
64950,57548,8508,7285,Craven,15984,40458,13550,36713
38261,34112,532,400,Franklin,13887,23842,12187,21525
99034,87199,1546,1177,Iredell,40730,56758,36028,49994
19162,16732,171,119,Yadkin,5341,13650,4726,11887
26551,22831,410,299,Beaufort,5418,20723,4511,18021
56890,48192,1399,935,Harnett,19924,35567,16758,30499
9284,8436,146,108,Polk,1825,7313,1639,6689
27532,23003,24,17,Dare,5808,21700,5140,17846
245651,202577,3255,1952,Forsyth,73708,168688,66181,134444
126849,105780,57856,48017,Onslow,29722,39271,24782,32981
5077,4513,77,51,Jones,1225,3775,987,3475
56050,48409,780,568,Nash,19177,36093,16800,31041
24877,20107,3857,2650,Jackson,3594,17426,3071,14386
27202,23219,290,228,Duplin,8368,18544,7182,15809
6788,5273,35,26,Alleghany,1364,5389,1090,4157
224430,192056,29835,35446,Missing,96913,97682,87222,69388
123158,109092,2165,1446,Cabarrus,46896,74097,42421,65225
5515,4912,892,966,Camden,851,3772,722,3224
16904,14931,135,92,Alexander,2879,13890,2363,12476
24830,21298,518,351,Mcdowell,3334,20978,2632,18315
34527,28594,436,320,Sampson,8715,25376,7368,20906
32133,27763,429,290,Lenoir,10296,21408,8767,18706
29549,25774,651,426,Rutherford,5760,23138,5098,20250
12326,10941,186,145,Montgomery,2958,9182,2404,8392
22333,18945,254,162,Stokes,7674,14405,6640,12143
25429,21515,361,279,Columbus,7070,17998,5818,15418
44478,38524,511,356,Wilson,13425,30542,10914,27254
153041,130304,1863,1259,New hanover,50632,100546,45162,83883
44293,38953,392,242,Lincoln,16878,27023,14275,24436
25118,21502,357,252,Davie,7806,16955,6870,14380
9321,8274,125,83,Northampton,1494,7702,1246,6945
27990,24540,375,264,Halifax,5220,22395,4244,20032
59279,50915,919,674,Robeson,15219,43141,12594,37647
20578,16892,1202,787,Hoke,6668,12708,5414,10691
9503,8325,175,132,Yancey,1042,8286,855,7338
35628,31019,660,437,Lee,11661,23307,10191,20391
177697,152554,5748,3837,Buncombe,44324,127625,40802,107915
3397,3037,,,Hyde,174,3223,145,2892
25384,21466,405,297,Edgecombe,7090,17889,5841,15328
19397,14839,297,224,Transylvania,3374,15726,2849,11766
42387,38247,386,272,Chatham,13674,28327,12059,25916
235039,203158,6255,4513,Durham,58154,170630,52971,145674
2040,1756,,,Tyrrell,177,1863,135,1621
58488,52052,932,696,Moore,16581,40975,14323,37033
65078,56861,758,571,Randolph,22267,42053,19072,37218
65254,57304,3562,2901,Rowan,21654,40038,18725,35678
15200,12245,127,100,Ashe,3315,11758,2852,9293
70845,58812,1448,982,Henderson,14574,54823,12300,45530
27068,23534,408,302,Vance,7478,19182,6366,16866
136230,121133,923,577,Union,52316,82991,47552,73004
6296,5401,56,38,Washington,1791,4449,1532,3831
84869,72873,1286,954,Davidson,25766,57817,22171,49748
39140,34825,4887,4414,Granville,10564,23689,9179,21232
33234,25496,127,66,Watauga,4670,28437,3959,21471
51302,45044,525,317,Cleveland,15351,35426,13033,31694
4212,3604,404,306,Graham,880,2928,715,2583
4738,4161,15,,Gates,553,4170,459,3702
41596,36774,603,391,Carteret,13025,27968,11206,25177
103179,91332,1457,1046,Alamance,27060,74662,23782,66504
732891,630822,7842,4709,Mecklenburg,255569,469480,230517,395596
92121,80790,1849,1509,Brunswick,24749,65523,21790,57491
28738,25612,481,390,Stanly,7215,21042,6179,19043
6551,5552,19,12,Perquimans,1136,5396,921,4619
12642,10112,225,136,Madison,1348,11069,1201,8775
22488,18748,44,15,Pasquotank,5518,16926,4550,14183
88347,78664,746,405,Catawba,31799,55802,27369,50890
33618,29527,260,195,Wilkes,10505,22853,9209,20123
40271,34459,328,184,Caldwell,11333,28610,8954,25321
11650,9651,101,82,Greene,2833,8716,2364,7205
47893,42209,502,338,Rockingham,14669,32722,12355,29516
21872,17413,485,319,Macon,3068,18319,2472,14622
113495,89339,,,Out o,,113495,,89339
834557,734596,8821,5887,Wake,272859,552877,250394,478315
11269,10103,149,117,Warren,2538,8582,2226,7760
339053,299174,3584,2261,Guilford,109645,225824,97794,199119
17236,14965,224,166,Bladen,4507,12505,3650,11149
230769,193755,94537,76100,Cumberland,57200,79032,48313,69342
8380,7005,12,,Chowan,1753,6615,1567,5438
7476,6709,93,78,Pamlico,1254,6129,970,5661
17983,15626,242,169,Scotland,5096,12645,4006,11451
116394,100285,1410,939,Johnston,38076,76908,33249,66097
5392,4874,93,56,Clay,1021,4278,932,3886
13783,12161,613,425,Cherokee,2819,10351,2206,9530
11775,9858,185,134,Martin,2528,9062,2016,7708
115826,101438,1225,847,Orange,25223,89378,23765,76826
43228,37970,506,340,Burke,11303,31419,9498,28132
37891,33937,314,229,Surry,11766,25811,10328,23380
68333,58448,10857,8231,Wayne,19747,37729,16632,33585
9764,8152,103,65,Avery,1582,8079,1348,6739
99965,83554,1552,1021,Pitt,30871,67542,26601,55932
10750,9262,44,28,Bertie,1986,8720,1671,7563
11842,10321,51,23,Hertford,3349,8442,2807,7491
22962,20353,392,292,Person,5912,16658,4791,15270
11214,10022,111,71,Caswell,1713,9390,1340,8611
