First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13697,11360,1055,634,Currituck,2229,10413,1842,8884
12416,11150,219,119,Anson,3057,9140,2689,8342
34792,29786,1507,969,Pender,10828,22457,9187,19630
9521,7804,4064,2866,Swain,1327,4130,1133,3805
7809,6488,123,75,Mitchell,1279,6407,954,5459
23611,20348,501,292,Richmond,5591,17519,4640,15416
37894,32022,1576,997,Haywood,8671,27647,7448,23577
121275,104932,1964,1112,Gaston,43102,76209,38655,65165
68194,60267,10022,7877,Craven,16653,41519,14387,38003
40331,35941,1378,766,Franklin,14445,24508,12947,22228
101809,90563,2092,1390,Iredell,42427,57290,38335,50838
19655,17301,186,125,Yadkin,5572,13897,5064,12112
27520,23807,698,436,Beaufort,5706,21116,4897,18474
64000,54055,7267,4935,Harnett,21041,35692,18232,30888
9191,8305,207,118,Polk,1875,7109,1700,6487
28297,23768,368,159,Dare,6027,21902,5472,18137
254966,212369,4161,2303,Forsyth,76953,173852,70679,139387
132770,110129,60943,48151,Onslow,31380,40447,26994,34984
5727,5024,560,364,Jones,1282,3885,1055,3605
57718,50453,986,657,Nash,20143,36589,18144,31652
25591,20849,4220,3003,Jackson,3797,17574,3283,14563
29851,25672,2227,1592,Duplin,8717,18907,7724,16356
6979,5481,67,26,Alleghany,1415,5497,1146,4309
283601,227955,39770,43421,Missing,95256,148575,89557,94977
129152,115007,4111,2395,Cabarrus,49083,75958,45301,67311
6778,5314,2025,1208,Camden,897,3856,778,3328
17782,15777,463,226,Alexander,3033,14286,2566,12985
25410,21985,608,365,Mcdowell,3447,21355,2783,18837
35849,30103,651,435,Sampson,9120,26078,7937,21731
33134,29007,475,303,Lenoir,10771,21888,9423,19281
30309,26602,748,454,Rutherford,6011,23550,5398,20750
12700,11255,290,196,Montgomery,3096,9314,2558,8501
22929,19667,346,204,Stokes,7895,14688,6999,12464
25681,22078,468,339,Columbus,7352,17861,6344,15395
46247,40730,635,409,Wilson,14234,31378,12036,28285
45207,40192,414,249,Lincoln,17493,27300,15092,24851
157293,135076,3346,2046,New hanover,52341,101606,47488,85542
25872,22368,513,315,Davie,8056,17303,7231,14822
9389,8370,191,97,Northampton,1551,7647,1324,6949
28907,25583,574,352,Halifax,5470,22863,4580,20651
61971,53826,1509,962,Robeson,16137,44325,13768,39096
26616,21519,6301,4282,Hoke,7115,13200,5946,11291
9710,8585,179,134,Yancey,1105,8426,915,7536
36880,32565,711,457,Lee,12264,23905,11013,21095
182590,156402,7274,4241,Buncombe,45354,129962,42142,110019
3488,3167,11,,Hyde,180,3297,153,3014
26815,22798,902,527,Edgecombe,7512,18401,6406,15865
19817,15342,384,238,Transylvania,3473,15960,2977,12127
47517,41724,4922,2974,Chatham,13953,28642,12547,26203
244524,212113,8033,5157,Durham,60808,175683,56499,150457
2075,1811,,,Tyrrell,183,1892,143,1668
62992,55751,4975,3168,Moore,17172,40845,15215,37368
67171,59378,936,636,Randolph,23349,42886,20623,38119
67136,59165,4185,3155,Rowan,22766,40185,20194,35816
16045,12821,225,130,Ashe,3440,12380,2936,9755
72679,60814,1737,1034,Henderson,15023,55919,12873,46907
28240,24879,478,336,Vance,7791,19971,6760,17783
138878,125127,1390,746,Union,54615,82873,50858,73523
6533,5662,64,40,Washington,1843,4626,1595,4027
88045,76134,2143,1331,Davidson,26835,59067,23646,51157
40403,36089,5401,4679,Granville,10909,24093,9716,21694
33373,25919,223,98,Watauga,4803,28347,4132,21689
52860,46880,706,386,Cleveland,15926,36228,13784,32710
4293,3678,451,335,Graham,906,2936,742,2601
4969,4396,145,67,Gates,579,4245,492,3837
48616,42409,7047,4905,Carteret,13496,28073,11877,25627
106519,95420,1999,1249,Alamance,28468,76052,25764,68407
753694,658761,9668,5352,Mecklenburg,267525,476501,246330,407079
94562,83319,2974,1986,Brunswick,25674,65914,23019,58314
29945,26893,751,540,Stanly,7557,21637,6620,19733
6657,5693,20,12,Perquimans,1188,5449,980,4701
12851,10359,233,138,Madison,1396,11222,1255,8966
23131,19762,52,21,Pasquotank,5776,17303,4940,14801
41343,35651,341,187,Caldwell,11853,29149,9611,25853
34430,30350,367,227,Wilkes,10919,23144,9742,20381
90989,81814,1161,541,Catawba,33075,56753,29207,52066
15414,12683,3372,2452,Greene,3001,9041,2602,7629
49089,43879,601,374,Rockingham,15361,33127,13419,30086
119577,98269,,,Out o,778,118799,950,97319
22152,17731,530,325,Macon,3167,18455,2587,14819
858777,764093,11880,7467,Wake,283950,562947,264916,491710
11564,10476,162,120,Warren,2648,8754,2376,7980
350701,313426,5436,3027,Guilford,116144,229121,106766,203633
24115,19913,6633,4463,Bladen,4695,12787,3928,11522
232877,190433,90376,64789,Cumberland,60945,81556,53360,72284
8795,7396,238,92,Chowan,1821,6736,1670,5634
7424,6655,232,169,Pamlico,1303,5889,1028,5458
18639,16222,289,190,Scotland,5325,13025,4308,11724
122102,105929,3614,2076,Johnston,40177,78311,36011,67842
5632,5042,246,109,Clay,1049,4337,949,3984
11806,9974,241,156,Martin,2674,8891,2221,7597
14095,12473,708,466,Cherokee,2902,10485,2306,9701
118608,104485,1441,919,Orange,26327,90840,25108,78458
44596,39100,798,430,Burke,11786,32012,10124,28546
38208,34485,390,240,Surry,12085,25733,10842,23403
65997,57762,6632,4973,Wayne,20862,38503,18143,34646
10094,8475,187,92,Avery,1651,8256,1424,6959
103606,87779,2231,1349,Pitt,32580,68795,29034,57396
10993,9641,127,61,Bertie,2122,8744,1823,7757
12242,10823,91,41,Hertford,3549,8602,3062,7720
23580,21144,432,299,Person,6203,16945,5219,15626
11525,10315,226,109,Caswell,1776,9523,1428,8778
