First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13464,11105,947,584,Currituck,2186,10331,1764,8757
12101,10763,180,99,Anson,2901,9020,2520,8144
9385,7534,3882,2592,Swain,1286,4217,1077,3865
34219,29182,1432,943,Pender,10509,22278,8786,19453
7636,6316,117,75,Mitchell,1215,6304,910,5331
23003,19653,444,258,Richmond,5381,17178,4357,15038
37267,31394,1479,968,Haywood,8503,27285,7263,23163
118664,101874,1798,1060,Gaston,41763,75103,36789,64025
66649,58556,9941,7853,Craven,16117,40591,13718,36985
39187,34710,1234,708,Franklin,14002,23951,12324,21678
99639,88074,1962,1335,Iredell,41075,56602,36535,50204
19241,16826,171,120,Yadkin,5382,13688,4786,11920
26929,23100,619,415,Beaufort,5472,20838,4584,18101
62989,52383,7109,4703,Harnett,20244,35636,17059,30621
9341,8455,180,108,Polk,1830,7331,1651,6696
27880,23297,283,148,Dare,5851,21746,5235,17914
247200,204794,3863,2165,Forsyth,74370,168967,67169,135460
130874,108270,61352,48932,Onslow,30079,39443,25262,34076
5520,4801,504,319,Jones,1224,3792,1001,3481
56564,48917,915,632,Nash,19414,36235,17106,31179
25193,20300,4070,2764,Jackson,3631,17492,3102,14434
29191,24802,2052,1461,Duplin,8434,18705,7303,16038
6824,5296,49,26,Alleghany,1375,5400,1099,4171
242433,206137,43228,44730,Missing,97742,101463,88499,72908
125676,111114,3811,2265,Cabarrus,47315,74550,43056,65793
17301,15164,422,199,Alexander,2908,13971,2400,12565
6493,5161,1843,1185,Camden,861,3789,731,3245
24973,21475,550,351,Mcdowell,3361,21062,2655,18469
34927,28990,609,414,Sampson,8811,25507,7482,21094
32352,28019,429,290,Lenoir,10386,21537,8910,18819
29722,25945,707,451,Rutherford,5813,23202,5146,20348
12447,11012,258,182,Montgomery,2981,9208,2429,8401
22518,19142,319,194,Stokes,7723,14476,6737,12211
25519,21642,445,311,Columbus,7138,17936,5940,15391
44909,38977,566,386,Wilson,13595,30748,11118,27473
154535,132127,3099,1919,New hanover,50995,100441,45661,84547
44478,39276,392,242,Lincoln,17019,27067,14456,24578
25340,21742,463,294,Davie,7858,17019,6955,14493
9416,8336,170,83,Northampton,1512,7734,1264,6989
28373,24875,535,327,Halifax,5282,22556,4332,20216
60285,51712,1387,893,Robeson,15403,43495,12806,38013
25730,20410,6154,4114,Hoke,6744,12832,5491,10805
9555,8394,175,132,Yancey,1051,8329,864,7398
35825,31307,663,440,Lee,11768,23394,10372,20495
179269,153832,6626,4150,Buncombe,44558,128085,41077,108605
3413,3061,,,Hyde,176,3237,148,2913
25965,21858,793,468,Edgecombe,7190,17982,5982,15408
19504,14942,353,236,Transylvania,3392,15759,2876,11830
46869,41077,4616,2754,Chatham,13772,28481,12181,26142
