Second Dose Administered,First Dose Administered,County
37553,43440,Rockingham
172743,207483,Cumberland
8426,10460,Greene
3798,4434,Gates
13379,15650,Bladen
95816,109002,Cabarrus
7927,8923,Northampton
68215,79591,""
22317,25662,Stanly
87532,103293,Johnston
17015,20408,Richmond
570279,661919,Mecklenburg
23498,31245,Watauga
20637,23543,Vance
34816,40494,Burke
30841,34645,Surry
9155,10441,Caswell
14929,17521,Yadkin
22413,26655,Rutherford
50302,61180,Wayne
25510,30411,Pender
15846,20670,Macon
28521,32745,Lee
38834,45425,Cleveland
9072,10440,Anson
70120,80310,Catawba
42843,52484,Robeson
107186,121281,Union
4784,6172,Alleghany
48693,54107,Moore
30838,36710,Caldwell
84003,111921,Onslow
76609,87599,Iredell
7495,9143,Avery
18641,22499,Mcdowell
13528,17665,Transylvania
81115,92161,Alamance
6266,7783,Chowan
19576,23537,Columbus
2776,3175,Hyde
14194,16724,Scotland
10434,12400,Cherokee
16650,20190,Stokes
18061,20561,Person
661247,748799,Wake
123605,145283,New hanover
19959,24062,Duplin
21934,25157,Halifax
25988,31336,Wilkes
24628,28701,Hoke
9197,11222,Martin
19117,22602,Davie
79088,94953,Pitt
4680,5740,Washington
33180,39043,Wilson
276780,313649,Guilford
184668,212061,Durham
10907,13895,Ashe
34852,40040,Lincoln
8306,9152,Polk
13333,15329,Alexander
87832,103747,Gaston
9039,10758,Hertford
63463,74723,Davidson
42430,51155,Harnett
43512,50875,Nash
36904,41018,Chatham
8335,9950,Bertie
20421,24305,Beaufort
4225,4926,Clay
16172,19921,Pasquotank
30442,34553,Franklin
6141,6893,Pamlico
2990,3646,Graham
25041,31247,Sampson
71703,89127,Out o
1595,1908,Tyrrell
27932,32821,Haywood
5011,6019,Perquimans
19048,22870,Edgecombe
108338,122419,Orange
48448,56306,Craven
4251,4959,Camden
9264,11614,Madison
9487,11296,Currituck
5542,6905,Mitchell
21211,26673,Jackson
50633,58734,Randolph
52182,62401,Henderson
23305,33392,Missing
9154,10240,Warren
74498,85458,Brunswick
180379,220094,Forsyth
63434,71944,Rowan
9873,11341,Montgomery
3984,4533,Jones
147806,170506,Buncombe
33395,38558,Carteret
24168,28746,Lenoir
21274,25816,Dare
4906,5700,Swain
7414,8624,Yancey
31980,35955,Granville
