second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1629,10162,8505,2028,12151,10078,Currituck
99,129,2260,10140,7781,2675,11448,8644,Anson
2189,3426,1005,6951,3757,1218,8783,4139,Swain
354,518,8052,27351,18945,9749,32307,22040,Pender
75,114,848,6083,5160,1129,7346,6103,Mitchell
211,320,3972,18705,14522,4918,21804,16566,Richmond
914,1330,6942,30291,22435,8153,36083,26600,Haywood
850,1323,33643,96369,61876,38809,113509,73377,Gaston
7071,8149,12591,54984,35322,14865,61986,38972,Craven
396,524,11407,32744,20941,13020,36756,23212,Franklin
1173,1523,33272,83169,48724,37775,94645,55347,Iredell
119,168,4369,16159,11671,4935,18530,13427,Yadkin
298,398,4210,22226,17718,5037,25816,20381,Beaufort
923,1323,15293,46863,30647,18391,55347,35633,Harnett
108,144,1559,8451,6784,1748,9353,7461,Polk
17,23,4671,22285,17597,5356,26749,21370,Dare
1935,3125,61650,192603,129018,68901,235980,163954,Forsyth
47007,56691,22449,101512,32056,27122,122103,38290,Onslow
51,71,919,4364,3394,1134,4872,3667,Jones
563,773,15504,47045,30978,17639,54228,35816,Nash
2398,3630,2889,19330,14043,3417,24217,17170,Jackson
228,284,6677,22081,15176,7743,25851,17824,Duplin
26,34,1049,5099,4024,1279,6537,5224,Alleghany
34770,26673,78981,159424,45673,88945,180599,64981,Missing
1439,2090,38764,103310,63107,43509,117854,72255,Cabarrus
92,133,2196,14449,12161,2684,16245,13428,Alexander
950,877,649,4731,3132,789,5344,3678,Camden
348,506,2456,20673,17869,3138,24170,20526,Mcdowell
317,423,6887,27711,20507,8045,33156,24688,Sampson
285,420,8107,26650,18258,9498,30779,20861,Lenoir
426,645,4762,24893,19705,5414,28605,22546,Rutherford
144,184,2256,10681,8281,2777,12032,9071,Montgomery
162,249,6235,18273,11876,7258,21597,14090,Stokes
354,500,9870,36693,26469,12262,42382,29620,Wilson
278,356,5358,21217,15581,6452,24878,18070,Columbus
241,382,13235,37445,23969,15916,42845,26547,Lincoln
1255,1839,41806,125109,82048,47614,148293,98840,New hanover
251,348,6394,20630,13985,7342,24180,16490,Davie
83,123,1153,8245,7009,1373,9254,7758,Northampton
262,371,3925,23869,19682,4759,26982,21852,Halifax
664,895,11641,48577,36272,14052,56618,41671,Robeson
778,1116,4919,16005,10308,6058,19388,12214,Hoke
130,173,805,8015,7080,996,9176,8007,Yancey
431,642,9457,29894,20006,10792,34306,22872,Lee
3814,5699,38659,145098,102625,42617,171430,123114,Buncombe
,,136,2894,2758,166,3294,3128,Hyde
295,403,5378,21086,15413,6470,24804,17931,Edgecombe
224,292,2719,14413,11470,3153,18742,15297,Transylvania
272,379,11213,37118,25633,13010,41912,28523,Chatham
4502,6034,49341,192364,138521,54997,226935,165904,Durham
,,129,1705,1576,166,1974,1808,Tyrrell
690,917,13298,51104,37116,15532,57392,40943,Moore
565,744,17680,54849,36604,20535,62667,41388,Randolph
2889,3469,17395,55670,35386,20134,62995,39392,Rowan
99,124,2726,11787,8962,3166,14766,11476,Ashe
979,1436,11655,56293,43659,13866,68062,52760,Henderson
302,403,5953,22379,16124,6981,25614,18230,Vance
574,915,42958,114545,71013,48173,130455,81367,Union
38,56,1461,5199,3700,1728,6098,4314,Washington
949,1268,20718,69651,47984,24116,80930,55546,Davidson
4311,4704,8604,33851,20936,9928,37950,23318,Granville
66,123,3862,24674,20746,4521,32731,28087,Watauga
316,518,12254,43230,30660,14497,49285,34270,Cleveland
298,378,691,3540,2551,861,4129,2890,Graham
,12,432,4071,3639,510,4603,4081,Gates
391,603,10409,35648,24848,12233,40431,27595,Carteret
1043,1413,21852,87276,64381,25032,99462,73017,Alamance
4615,7654,213256,597569,379698,239716,702141,454771,Mecklenburg
1504,1843,20505,78848,56839,23320,89917,64754,Brunswick
390,477,5785,24712,18537,6709,27684,20498,Stanly
11,15,866,5409,4532,1072,6379,5292,Perquimans
136,221,1140,9875,8599,1277,12310,10812,Madison
14,29,4200,17948,13734,5121,21597,16447,Pasquotank
184,324,8289,33316,24843,10457,38926,28145,Caldwell
401,732,25379,75379,49599,29615,85034,54687,Catawba
195,259,8691,28769,19883,9898,32953,22796,Wilkes
80,101,2207,9315,7028,2622,11173,8450,Greene
338,490,11451,40838,29049,13541,46070,32039,Rockingham
,,,81173,81173,,103803,103803,Out o
317,477,2355,17083,14411,2917,21385,17991,Macon
5865,8585,231362,690097,452870,257316,801994,536093,Wake
117,146,2093,9839,7629,2379,10902,8377,Warren
2239,3501,88577,285486,194670,100731,325808,221576,Guilford
166,216,3420,14481,10895,4177,16585,12192,Bladen
74990,92861,43927,186808,67891,52145,221777,76771,Cumberland
,,1475,6800,5325,1648,8128,6480,Chowan
78,93,899,6515,5538,1167,7277,6017,Pamlico
169,239,3769,15215,11277,4694,17322,12389,Scotland
933,1383,30600,95228,63695,35416,111391,74592,Johnston
56,92,915,4735,3764,1006,5256,4158,Clay
133,183,1875,9823,7815,2289,11632,9160,Martin
421,584,2127,11898,9350,2703,13448,10161,Cherokee
844,1173,22514,95498,72140,24159,113863,88531,Orange
339,498,8894,37191,27958,10579,42382,31305,Burke
227,301,9795,33463,23441,11170,37443,25972,Surry
7927,10574,15138,55948,32883,18003,65501,36924,Wayne
65,99,1284,7999,6650,1503,9564,7962,Avery
1016,1493,24244,80006,54746,28242,96154,66419,Pitt
28,42,1549,9058,7481,1824,10451,8585,Bertie
23,50,2580,9947,7344,3097,11443,8296,Hertford
292,386,4462,19668,14914,5435,22177,16356,Person
71,109,1248,9774,8455,1621,10943,9213,Caswell
