second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1620,10137,8489,2020,12121,10056,Currituck
99,128,2249,10097,7749,2668,11385,8589,Anson
2167,3226,1003,6928,3758,1211,8569,4132,Swain
354,511,8008,27327,18965,9686,32203,22006,Pender
75,114,847,6069,5147,1124,7323,6085,Mitchell
211,320,3955,18639,14473,4889,21693,16484,Richmond
914,1319,6928,30240,22398,8125,35943,26499,Haywood
850,1317,33546,96178,61782,38607,112742,72818,Gaston
6970,8099,12525,54739,35244,14765,61666,38802,Craven
396,524,11369,32704,20939,12961,36626,23141,Franklin
1172,1522,33185,83078,48721,37587,94322,55213,Iredell
119,168,4356,16134,11659,4920,18496,13408,Yadkin
298,398,4185,22122,17639,4998,25742,20346,Beaufort
919,1311,15211,46776,30646,18261,55149,35577,Harnett
108,144,1559,8479,6812,1745,9367,7478,Polk
17,23,4663,22261,17581,5328,26700,21349,Dare
1933,3100,61487,192208,128788,68557,234759,163102,Forsyth
46552,56496,22306,100880,32022,26887,121579,38196,Onslow
51,71,912,4351,3388,1126,4855,3658,Jones
563,773,15439,46999,30997,17520,54124,35831,Nash
2378,3439,2869,19267,14020,3389,23917,17089,Jackson
228,284,6628,22016,15160,7700,25750,17766,Duplin
26,34,1045,5080,4009,1274,6501,5193,Alleghany
34539,25750,78793,156845,43513,88623,175713,61340,Missing
1439,2081,38670,103229,63120,43236,117340,72023,Cabarrus
946,875,644,4721,3131,785,5327,3667,Camden
92,132,2188,14438,12158,2663,16185,13390,Alexander
347,506,2451,20654,17856,3109,24087,20472,Mcdowell
317,420,6862,27660,20481,7980,33029,24629,Sampson
285,420,8054,26566,18227,9403,30622,20799,Lenoir
426,644,4749,24842,19667,5395,28497,22458,Rutherford
144,184,2245,10645,8256,2766,11983,9033,Montgomery
162,249,6213,18214,11839,7223,21525,14053,Stokes
278,355,5332,21171,15561,6407,24740,17978,Columbus
354,499,9825,36571,26392,12186,42176,29491,Wilson
241,382,13206,37404,23957,15829,42666,26455,Lincoln
1254,1820,41682,124921,81985,47433,147684,98431,New hanover
251,347,6365,20569,13953,7297,24089,16445,Davie
83,123,1148,8253,7022,1365,9258,7770,Northampton
262,371,3903,23793,19628,4731,26903,21801,Halifax
663,893,11577,48422,36182,13958,56391,41540,Robeson
777,1106,4895,15962,10290,6022,19289,12161,Hoke
130,173,805,8003,7068,994,9147,7980,Yancey
431,641,9407,29838,20000,10746,34178,22791,Lee
3813,5677,38618,144827,102396,42510,170666,122479,Buncombe
,,136,2891,2755,165,3264,3099,Hyde
295,403,5344,21049,15410,6425,24753,17925,Edgecombe
224,291,2715,14372,11433,3143,18568,15134,Transylvania
272,377,11184,37181,25725,12948,41636,28311,Chatham
4501,6008,49196,192140,138443,54770,225818,165040,Durham
,,129,1703,1574,166,1972,1806,Tyrrell
690,916,13247,51068,37131,15413,57292,40963,Moore
565,744,17637,54831,36629,20440,62428,41244,Randolph
2887,3451,17335,55540,35318,20048,62839,39340,Rowan
99,124,2724,11758,8935,3156,14704,11424,Ashe
979,1435,11637,56162,43546,13817,67699,52447,Henderson
302,403,5924,22318,16092,6947,25485,18135,Vance
574,913,42847,114377,70956,47960,129766,80893,Union
38,56,1460,5193,3695,1725,6087,4306,Washington
949,1267,20636,69516,47931,23982,80578,55329,Davidson
4260,4606,8585,33808,20963,9900,37772,23266,Granville
66,123,3850,24581,20665,4508,32621,27990,Watauga
316,518,12199,43115,30600,14436,49067,34113,Cleveland
293,375,691,3536,2552,860,4125,2890,Graham
,12,430,4065,3635,509,4598,4077,Gates
391,599,10377,35606,24838,12168,40333,27566,Carteret
1043,1412,21778,87105,64284,24933,98755,72410,Alamance
4588,7606,212792,596433,379053,238638,697930,451686,Mecklenburg
1503,1838,20442,78748,56803,23200,89687,64649,Brunswick
390,477,5748,24624,18486,6675,27574,20422,Stanly
11,15,861,5400,4528,1061,6353,5277,Perquimans
136,221,1143,9846,8567,1276,12254,10757,Madison
14,29,4182,17895,13699,5098,21512,16385,Pasquotank
195,259,8668,28767,19904,9865,32908,22784,Wilkes
184,322,8249,33233,24800,10386,38766,28058,Caldwell
401,724,25305,75273,49567,29472,84677,54481,Catawba
80,101,2193,9286,7013,2601,11100,8398,Greene
338,490,11395,40744,29011,13438,45913,31985,Rockingham
317,470,2342,17039,14380,2890,21256,17896,Macon
,,,80475,80475,,102671,102671,Out o
5865,8554,230812,689123,452446,255777,796762,532431,Wake
117,146,2088,9840,7635,2371,10874,8357,Warren
2239,3498,88316,285110,194555,100086,324117,220533,Guilford
166,216,3397,14435,10872,4149,16525,12160,Bladen
74616,92552,43746,186235,67873,51812,220892,76528,Cumberland
,,1469,6782,5313,1645,8100,6455,Chowan
78,92,890,6498,5530,1151,7255,6012,Pamlico
169,239,3752,15198,11277,4659,17270,12372,Scotland
933,1380,30479,94996,63584,35208,110852,74264,Johnston
56,92,915,4718,3747,1004,5231,4135,Clay
420,578,2118,11874,9336,2695,13415,10142,Cherokee
133,183,1861,9809,7815,2266,11602,9153,Martin
844,1165,22478,95398,72076,24081,112789,87543,Orange
338,494,8862,37152,27952,10526,42230,31210,Burke
227,301,9758,33371,23386,11126,37285,25858,Surry
7870,10483,15047,55761,32844,17868,65168,36817,Wayne
65,99,1283,7988,6640,1502,9552,7951,Avery
1016,1482,24157,79758,54585,28048,95724,66194,Pitt
28,42,1542,9033,7463,1809,10415,8564,Bertie
23,50,2570,9924,7331,3087,11410,8273,Hertford
292,384,4436,19614,14886,5392,22060,16284,Person
71,109,1238,9752,8443,1611,10896,9176,Caswell
