Second Dose Administered,First Dose Administered,County
39435,44802,Rockingham
179566,214725,Cumberland
8929,10799,Greene
3960,4514,Gates
14103,16128,Bladen
102005,115654,Cabarrus
8188,9158,Northampton
74295,83965,""
23724,26859,Stanly
92218,107483,Johnston
18011,21158,Richmond
582005,673541,Mecklenburg
23977,31591,Watauga
21666,24513,Vance
36452,41588,Burke
32393,36123,Surry
9516,10708,Caswell
15738,18085,Yadkin
24095,27898,Rutherford
53616,63251,Wayne
26962,31678,Pender
16497,20832,Macon
29085,33113,Lee
41234,47428,Cleveland
9621,10938,Anson
73471,82523,Catawba
46230,54663,Robeson
111622,125271,Union
4976,6316,Alleghany
50344,56073,Moore
32267,37668,Caldwell
93919,117169,Onslow
81004,91795,Iredell
7854,9459,Avery
20039,23483,Mcdowell
14012,18120,Transylvania
84718,95534,Alamance
6561,7928,Chowan
20819,24322,Columbus
2851,3197,Hyde
14801,16954,Scotland
11551,13148,Cherokee
17582,20871,Stokes
18946,21425,Person
677265,764539,Wake
122849,144041,New hanover
21319,24915,Duplin
23081,26125,Halifax
28138,32425,Wilkes
15297,18578,Hoke
9711,11590,Martin
20004,23412,Davie
77711,92836,Pitt
4984,5955,Washington
35085,40701,Wilson
279127,314774,Guilford
188970,217211,Durham
11565,14392,Ashe
36223,41165,Lincoln
8594,9433,Polk
14127,16156,Alexander
92614,108764,Gaston
9547,11103,Hertford
67628,78750,Davidson
45272,53572,Harnett
45765,52930,Nash
37724,41964,Chatham
8699,10196,Bertie
21464,25236,Beaufort
4576,5102,Clay
16975,20646,Pasquotank
32065,35997,Franklin
6368,7121,Pamlico
3447,4047,Graham
26808,32391,Sampson
76214,96575,Out o
1653,1938,Tyrrell
29659,34803,Haywood
5216,6190,Perquimans
20370,24142,Edgecombe
93790,107200,Orange
51968,59486,Craven
4525,5138,Camden
9686,11958,Madison
9836,11680,Currituck
5915,7136,Mitchell
18894,23103,Jackson
53574,60899,Randolph
54749,65039,Henderson
63351,64424,Missing
9581,10622,Warren
77451,88312,Brunswick
187367,226869,Forsyth
54265,61590,Rowan
10379,11730,Montgomery
4220,4717,Jones
142560,164600,Buncombe
34670,39336,Carteret
25613,29816,Lenoir
21774,26158,Dare
6762,8129,Swain
7824,8937,Yancey
33326,37094,Granville
