County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13748,11389,1083,651,2242,10423,1846,8892
Anson,12477,11175,226,137,3089,9162,2698,8340
Swain,9653,7859,4139,2908,1335,4179,1139,3812
Pender,34988,29916,1522,982,10886,22580,9225,19709
Mitchell,7851,6504,124,75,1293,6434,956,5473
Richmond,23795,20485,525,320,5645,17625,4665,15500
Haywood,38074,32119,1605,1012,8709,27760,7479,23628
Gaston,122274,105601,2013,1192,43337,76924,38838,65571
Craven,68583,60561,10093,7947,16745,41745,14444,38170
Franklin,40651,36145,1437,820,14540,24674,12992,22333
Iredell,102341,90868,2157,1439,42750,57434,38530,50899
Yadkin,19754,17386,190,130,5619,13945,5101,12155
Beaufort,27635,23903,712,457,5753,21170,4925,18521
Harnett,64430,54323,7406,5041,21185,35839,18358,30924
Polk,9163,8267,209,120,1879,7075,1705,6442
Dare,28373,23825,379,164,6051,21943,5490,18171
Forsyth,257010,213760,4268,2412,77416,175326,71019,140329
Onslow,133455,110674,61206,48447,31581,40668,27124,35103
Jones,5757,5069,576,396,1286,3895,1060,3613
Nash,57991,50604,1007,671,20283,36701,18232,31701
Jackson,25740,20927,4271,3047,3831,17638,3302,14578
Duplin,29993,25787,2254,1616,8758,18981,7760,16411
Alleghany,7001,5501,68,36,1420,5513,1151,4314
Missing,289310,230329,39837,43509,95686,153787,89880,96940
Cabarrus,129950,115513,4240,2493,49344,76366,45479,67541
Camden,6816,5330,2052,1219,901,3863,779,3332
Alexander,17894,15879,493,260,3051,14350,2583,13036
Mcdowell,25515,22070,622,380,3476,21417,2798,18892
Sampson,36043,30264,673,460,9167,26203,7967,21837
Lenoir,33351,29146,490,308,10867,21994,9490,19348
Rutherford,30412,26693,754,469,6044,23614,5420,20804
Montgomery,12796,11301,295,199,3134,9367,2576,8526
Stokes,23023,19729,355,211,7940,14728,7019,12499
Columbus,25771,22134,475,348,7410,17886,6380,15406
Wilson,46516,40910,651,416,14337,31528,12125,28369
Lincoln,45399,40317,414,249,17586,27399,15167,24901
New hanover,158020,135671,3417,2111,52650,101953,47694,85866
Davie,25998,22493,524,326,8089,17385,7270,14897
Northampton,9371,8345,192,97,1561,7618,1333,6915
Halifax,28991,25639,584,374,5511,22896,4599,20666
