Second Doses Administered,First Doses Administered,Total Doses Administered,County
7628,12149,19777,Robeson
1288,2892,4180,Perquimans
11763,21530,33293,Johnston
6608,11506,18114,Randolph
544,1088,1632,Hyde
890,2048,2938,Alleghany
2123,5192,7315,Duplin
1054,1983,3037,Gates
4944,8971,13915,Haywood
2906,6989,9895,Stanly
16661,32611,49272,Missing
5101,9310,14411,Wilson
257,609,866,Tyrrell
5283,10276,15559,Wayne
1270,3139,4409,Montgomery
3468,7692,11160,Lenoir
1389,4727,6116,Scotland
10255,20097,30352,Alamance
918,1841,2759,Camden
894,2661,3555,Greene
6918,13540,20458,Rowan
1000,2686,3686,Northampton
4134,7536,11670,Wilkes
4863,8520,13383,Lincoln
7903,11252,19155,Caldwell
1630,2566,4196,Polk
5346,9540,14886,Surry
2035,4247,6282,Macon
604,1215,1819,Clay
3198,4455,7653,Yadkin
7357,13134,20491,Onslow
2412,6270,8682,Richmond
15558,29938,45496,Buncombe
13322,21044,34366,Union
12694,19274,31968,Cabarrus
634,1882,2516,Washington
6859,12122,18981,Harnett
7334,11572,18906,Burke
4985,8194,13179,Granville
13276,21259,34535,Gaston
1681,5121,6802,Edgecombe
4015,6823,10838,Watauga
2018,3980,5998,Hoke
1277,3994,5271,Bertie
2837,5020,7857,Person
2913,8359,11272,Beaufort
12297,18645,30942,Catawba
2264,4736,7000,Jackson
66541,129617,196158,Wake
4322,11027,15349,Cleveland
3334,7805,11139,Sampson
2576,5366,7942,Columbus
1473,2930,4403,Caswell
1045,2403,3448,Yancey
3974,6964,10938,Lee
1048,3434,4482,Hertford
3020,8940,11960,Rockingham
52700,95268,147968,Mecklenburg
6346,9652,15998,Carteret
614,1807,2421,Swain
1865,2880,4745,Avery
3468,5882,9350,Vance
2604,6324,8928,Halifax
2508,6053,8561,Rutherford
4683,10420,15103,Nash
1631,3004,4635,Ashe
2490,4825,7315,Stokes
592,1302,1894,Graham
3467,7159,10626,Pender
7500,12778,20278,Craven
28418,54295,82713,Guilford
1606,3272,4878,Madison
7962,13976,21938,Chatham
15814,24147,39961,Pitt
10433,16984,27417,Moore
26983,45247,72230,Forsyth
11478,18740,30218,Iredell
1852,3857,5709,Transylvania
1455,3354,4809,Martin
700,2577,3277,Warren
695,1302,1997,Jones
4500,6499,10999,Davie
21022,32268,53290,Cumberland
2802,6379,9181,Mcdowell
1810,3202,5012,Cherokee
1770,3593,5363,Chowan
16906,26372,43278,Orange
2612,4420,7032,Alexander
28900,46088,74988,Durham
8500,14591,23091,Henderson
4598,8597,13195,Pasquotank
1152,2666,3818,Pamlico
729,1608,2337,Mitchell
1718,4872,6590,Currituck
11887,25090,36977,Brunswick
10183,15583,25766,Davidson
3862,7310,11172,Franklin
4831,8256,13087,Dare
2866,4638,7504,Bladen
23077,33947,57024,New Hanover
1042,2953,3995,Anson
