Second Dose Administered,First Dose Administered,County
37113,43134,Rockingham
170057,204119,Cumberland
8317,10394,Greene
3776,4423,Gates
13210,15576,Bladen
94960,108394,Cabarrus
7851,8893,Northampton
67459,79079,""
22139,25514,Stanly
86658,102589,Johnston
16803,20285,Richmond
566493,658203,Mecklenburg
23335,31126,Watauga
20423,23385,Vance
34464,40236,Burke
30585,34470,Surry
9084,10398,Caswell
14787,17390,Yadkin
22177,26490,Rutherford
49654,60666,Wayne
25308,30243,Pender
15729,20591,Macon
28252,32564,Lee
38371,44997,Cleveland
8988,10377,Anson
69557,79874,Catawba
41813,51876,Robeson
106432,120665,Union
4739,6145,Alleghany
48332,53875,Moore
30467,36494,Caldwell
82243,110254,Onslow
75917,86680,Iredell
7458,9111,Avery
18294,22304,Mcdowell
13463,17637,Transylvania
80486,91789,Alamance
6205,7749,Chowan
19319,23435,Columbus
2768,3168,Hyde
14015,16626,Scotland
10297,12318,Cherokee
16520,20082,Stokes
17877,20427,Person
658178,746480,Wake
122831,144815,New hanover
19614,23932,Duplin
21741,24970,Halifax
25561,31090,Wilkes
24331,28559,Hoke
9089,11152,Martin
18923,22472,Davie
78445,94476,Pitt
4626,5702,Washington
32808,38744,Wilson
275281,312328,Guilford
183816,211446,Durham
10825,13861,Ashe
34605,39845,Lincoln
8279,9126,Polk
13241,15256,Alexander
86989,103118,Gaston
8922,10693,Hertford
62756,74204,Davidson
41925,50819,Harnett
43122,50611,Nash
36762,40947,Chatham
8230,9865,Bertie
20221,24149,Beaufort
4177,4884,Clay
16021,19795,Pasquotank
30134,34362,Franklin
6104,6868,Pamlico
2956,3623,Graham
24646,31007,Sampson
70926,88058,Out o
1571,1881,Tyrrell
27764,32716,Haywood
4961,5984,Perquimans
18931,22787,Edgecombe
107956,122082,Orange
47972,55873,Craven
4180,4885,Camden
9184,11564,Madison
9433,11259,Currituck
5473,6861,Mitchell
21077,26593,Jackson
49960,58347,Randolph
51815,62199,Henderson
22254,32361,Missing
9077,10166,Warren
74048,85207,Brunswick
179211,219174,Forsyth
62856,71427,Rowan
9742,11270,Montgomery
3951,4517,Jones
146989,169938,Buncombe
33166,38404,Carteret
23799,28565,Lenoir
21222,25781,Dare
4875,5680,Swain
7352,8576,Yancey
31754,35812,Granville
