County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12499,11203,228,137,3101,9170,2716,8350
Currituck,13758,11407,1087,657,2245,10426,1852,8898
Swain,9679,7885,4174,2945,1337,4168,1141,3799
Pender,35058,29997,1526,985,10906,22626,9245,19767
Mitchell,7858,6509,124,75,1295,6439,959,5475
Richmond,23880,20564,537,322,5666,17677,4683,15559
Haywood,38210,32216,1611,1015,8721,27878,7487,23714
Gaston,122423,105694,2026,1196,43422,76975,38927,65571
Craven,68785,60726,10121,7973,16785,41879,14478,38275
Franklin,40830,36281,1452,829,14573,24805,13023,22429
Iredell,102501,91026,2174,1455,42831,57496,38643,50928
Yadkin,19795,17424,193,131,5635,13967,5123,12170
Harnett,64623,54461,7455,5081,21251,35917,18428,30952
Beaufort,27692,23960,714,460,5772,21206,4943,18557
Polk,9137,8233,213,121,1882,7042,1709,6403
Dare,28407,23873,385,166,6065,21957,5507,18200
Forsyth,257852,214491,4290,2420,77603,175959,71234,140837
Onslow,133840,111042,61343,48574,31680,40817,27219,35249
Jones,5773,5076,581,398,1292,3900,1062,3616
Nash,58094,50704,1016,674,20347,36731,18293,31737
Jackson,25762,20965,4290,3078,3841,17631,3309,14578
Duplin,30084,25853,2267,1622,8777,19040,7775,16456
Alleghany,7009,5518,69,38,1419,5521,1152,4328
Missing,291255,231822,40123,43631,95827,155305,90077,98114
Cabarrus,130148,115616,4273,2512,49472,76403,45612,67492
Camden,6843,5344,2071,1231,907,3865,781,3332
Alexander,17958,15938,496,265,3057,14405,2585,13088
Mcdowell,25538,22089,625,380,3482,21431,2803,18906
Sampson,36118,30349,677,460,9194,26247,7979,21910
Lenoir,33437,29218,493,308,10914,22030,9526,19384
Rutherford,30425,26716,757,469,6051,23617,5427,20820
Montgomery,12815,11314,297,200,3139,9379,2582,8532
Stokes,23090,19796,358,212,7955,14777,7040,12544
Wilson,46675,41034,654,417,14394,31627,12175,28442
Columbus,25851,22191,479,349,7432,17940,6400,15442
Lincoln,45353,40291,416,249,17617,27320,15217,24825
New hanover,158541,136158,3429,2118,52738,102374,47804,86236
Davie,26054,22551,526,327,8103,17425,7287,14937
Northampton,9370,8344,194,97,1563,7613,1338,6909
Halifax,29080,25709,592,378,5523,22965,4614,20717
Robeson,62491,54201,1574,1024,16296,44621,13908,39269
Hoke,26991,21860,6444,4420,7181,13366,6006,11434
Yancey,9755,8617,180,134,1110,8465,920,7563
Lee,37390,32940,723,466,12384,24283,11132,21342
Buncombe,184480,157857,7398,4351,45522,131560,42313,111193
Hyde,3501,3187,12,,178,3311,155,3032
Edgecombe,27039,22908,943,555,7632,18464,6487,15866
Transylvania,19906,15435,392,256,3496,16018,2989,12190
Chatham,48538,42657,5077,3133,14054,29407,12617,26907
Durham,248624,215895,8390,5414,61311,178923,57009,153472
Tyrrell,2081,1816,,,183,1898,143,1673
Moore,63848,56431,5096,3252,17310,41442,15300,37879
Randolph,67554,59687,958,654,23484,43112,20766,38267
Rowan,67530,59383,4308,3248,22991,40231,20380,35755
Ashe,16240,12950,236,136,3464,12540,2933,9881
Henderson,73134,61186,1763,1050,15114,56257,12939,47197
Vance,28589,25080,497,344,7858,20234,6804,17932
Union,139313,125297,1424,775,55140,82749,51255,73267
Washington,6579,5694,66,41,1859,4654,1608,4045
Davidson,88808,76697,2236,1375,27036,59536,23835,51487
Granville,40871,36378,5555,4769,10976,24340,9781,21828
Watauga,33505,25984,223,108,4822,28460,4146,21730
Cleveland,53004,46971,727,404,16010,36267,13876,32691
Graham,4308,3685,457,337,907,2944,745,2603
Gates,4993,4416,149,69,587,4257,496,3851
Carteret,48908,42645,7163,5005,13550,28195,11924,25716
Alamance,107673,96091,2127,1324,28743,76803,25965,68802
Mecklenburg,758144,661352,9972,5621,269954,478218,248351,407380
Brunswick,94995,83671,3027,2021,25893,66075,23179,58471
Stanly,30110,27005,774,573,7617,21719,6673,19759
Perquimans,6710,5728,20,12,1206,5484,987,4729
Madison,12902,10400,246,138,1408,11248,1261,9001
Pasquotank,23265,19853,52,21,5829,17384,4974,14858
Caldwell,41564,35787,347,189,11975,29242,9679,25919
Wilkes,34700,30506,398,240,11031,23271,9806,20460
Catawba,91628,82271,1205,586,33325,57098,29407,52278
Greene,15619,12855,3472,2518,3025,9122,2629,7708
Rockingham,49419,44054,633,386,15528,33258,13527,30141
Macon,22240,17791,537,327,3209,18494,2606,14858
Out o,125534,102065,,,834,124700,1006,101059
Wake,869553,771020,12422,7772,286136,570995,266841,496407
Warren,11664,10542,167,122,2658,8839,2392,8028
Guilford,353802,315680,5708,3289,117438,230656,107814,204577
Bladen,24391,20177,6804,4648,4737,12850,3968,11561
Cumberland,235203,192694,91260,65982,61601,82342,53895,72817
Chowan,8842,7437,246,95,1838,6758,1682,5660
Pamlico,7428,6658,238,174,1321,5869,1046,5438
Scotland,18823,16360,302,194,5396,13125,4341,11825
Johnston,123296,106835,3776,2166,40585,78935,36389,68280
Clay,5659,5075,253,130,1055,4351,956,3989
Martin,11857,10013,247,176,2707,8903,2244,7593
Cherokee,14152,12514,717,471,2915,10520,2314,9729
Orange,120378,106181,1513,923,26566,92299,25367,79891
Burke,44857,39307,829,471,11877,32151,10198,28638
Wayne,66659,58237,6758,5129,21115,38786,18320,34788
Surry,38531,34683,403,245,12164,25964,10901,23537
Avery,10183,8538,193,94,1659,8331,1430,7014
Pitt,104798,88607,2318,1426,32897,69583,29304,57877
Bertie,11037,9674,135,69,2145,8757,1844,7761
Hertford,12326,10893,97,41,3598,8631,3093,7759
Person,23769,21248,441,302,6270,17058,5257,15689
Caswell,11591,10379,235,129,1789,9567,1435,8815
