Second Doses Administered,First Doses Administered,Total Doses Administered,County
18363,24555,42918,Robeson
3273,4023,7296,Perquimans
33811,52393,86204,Johnston
22820,30532,53352,Randolph
1641,2282,3923,Hyde
2806,3715,6521,Alleghany
8353,12117,20470,Duplin
2150,3026,5176,Gates
12157,19367,31524,Haywood
10251,14752,25003,Stanly
51819,80269,132088,Missing
14527,20798,35325,Wilson
956,1215,2171,Tyrrell
19017,26796,45813,Wayne
5051,7095,12146,Montgomery
11252,15010,26262,Lenoir
6948,9573,16521,Scotland
36035,53807,89842,Alamance
2166,2800,4966,Camden
4113,5976,10089,Greene
20007,27186,47193,Rowan
4825,6274,11099,Northampton
12620,16133,28753,Wilkes
14955,20249,35204,Lincoln
15741,21917,37658,Caldwell
5040,6352,11392,Polk
15478,20415,35893,Surry
9281,13808,23089,Macon
2183,2875,5058,Clay
7215,10246,17461,Yadkin
20558,28198,48756,Onslow
9162,11911,21073,Richmond
57602,87191,144793,Buncombe
39877,55015,94892,Union
31511,46992,78503,Cabarrus
2387,3128,5515,Washington
18681,26062,44743,Harnett
18976,23714,42690,Burke
12466,17419,29885,Granville
37819,52124,89943,Gaston
8286,12784,21070,Edgecombe
12022,20854,32876,Watauga
5573,7955,13528,Hoke
4766,6429,11195,Bertie
7756,12041,19797,Person
12128,16209,28337,Beaufort
30659,42077,72736,Catawba
9623,13358,22981,Jackson
235253,383735,618988,Wake
19530,24548,44078,Cleveland
11277,16163,27440,Sampson
9758,13251,23009,Columbus
5013,6914,11927,Caswell
3996,5599,9595,Yancey
12934,17289,30223,Lee
4625,6485,11110,Hertford
17264,24853,42117,Rockingham
175916,283055,458971,Mecklenburg
17877,23270,41147,Carteret
2862,3472,6334,Swain
3922,6038,9960,Avery
9115,12383,21498,Vance
11879,15950,27829,Halifax
10957,15634,26591,Rutherford
18072,27485,45557,Nash
5782,8573,14355,Ashe
7290,10388,17678,Stokes
1818,2184,4002,Graham
11440,17048,28488,Pender
23464,30244,53708,Craven
120314,171122,291436,Guilford
4716,7817,12533,Madison
18097,25106,43203,Chatham
36627,53391,90018,Pitt
28314,34354,62668,Moore
75032,118657,193689,Forsyth
27858,40964,68822,Iredell
7548,11703,19251,Transylvania
5044,6762,11806,Martin
4432,6400,10832,Warren
2131,2742,4873,Jones
8704,12560,21264,Davie
46854,59097,105951,Cumberland
9164,13842,23006,McDowell
5517,7527,13044,Cherokee
3758,5067,8825,Chowan
43363,66170,109533,Orange
7478,10321,17799,Alexander
79891,119488,199379,Durham
23719,37191,60910,Henderson
9718,12193,21911,Pasquotank
3976,5031,9007,Pamlico
2512,4155,6667,Mitchell
5235,7595,12830,Currituck
40537,54990,95527,Brunswick
27895,38153,66048,Davidson
12206,17135,29341,Franklin
11594,17631,29225,Dare
6699,8569,15268,Bladen
53987,78672,132659,New Hanover
4352,6108,10460,Anson
