Second Doses Administered,First Doses Administered,Total Doses Administered,County
8231,13250,21481,Robeson
1345,2903,4248,Perquimans
12971,24197,37168,Johnston
7603,13025,20628,Randolph
696,1148,1844,Hyde
1329,2081,3410,Alleghany
2763,5325,8088,Duplin
1082,1996,3078,Gates
5985,9668,15653,Haywood
3890,7284,11174,Stanly
18575,35230,53805,Missing
5851,10161,16012,Wilson
292,635,927,Tyrrell
6064,11233,17297,Wayne
1618,3474,5092,Montgomery
4685,8126,12811,Lenoir
1886,5221,7107,Scotland
11889,22045,33934,Alamance
1008,1936,2944,Camden
1407,2750,4157,Greene
7794,14220,22014,Rowan
1308,3090,4398,Northampton
4458,8327,12785,Wilkes
6011,9360,15371,Lincoln
9126,11861,20987,Caldwell
1837,2746,4583,Polk
7007,11392,18399,Surry
2436,5598,8034,Macon
854,1296,2150,Clay
3328,4756,8084,Yadkin
8441,13972,22413,Onslow
3478,6739,10217,Richmond
19074,33172,52246,Buncombe
14216,23023,37239,Union
13269,20231,33500,Cabarrus
735,2025,2760,Washington
7992,13304,21296,Harnett
7866,12778,20644,Burke
5362,9251,14613,Granville
14685,24124,38809,Gaston
2458,5552,8010,Edgecombe
4714,8040,12754,Watauga
2318,4289,6607,Hoke
1816,4207,6023,Bertie
3402,5251,8653,Person
4024,9106,13130,Beaufort
14471,20345,34816,Catawba
2398,5019,7417,Jackson
78877,143604,222481,Wake
5852,11933,17785,Cleveland
5011,8189,13200,Sampson
3158,5952,9110,Columbus
1761,3405,5166,Caswell
1661,2494,4155,Yancey
4549,8466,13015,Lee
1603,3844,5447,Hertford
3934,10689,14623,Rockingham
57568,102637,160205,Mecklenburg
7015,9886,16901,Carteret
955,2085,3040,Swain
2209,2904,5113,Avery
4008,6385,10393,Vance
3062,7344,10406,Halifax
3931,7157,11088,Rutherford
5770,11762,17532,Nash
2029,3927,5956,Ashe
3125,5060,8185,Stokes
674,1423,2097,Graham
4306,7634,11940,Pender
8387,13508,21895,Craven
32270,60651,92921,Guilford
1917,3302,5219,Madison
9551,14660,24211,Chatham
19100,24908,44008,Pitt
11415,19541,30956,Moore
31239,48951,80190,Forsyth
12098,20750,32848,Iredell
2364,4720,7084,Transylvania
1776,3470,5246,Martin
908,3038,3946,Warren
729,1453,2182,Jones
5133,6775,11908,Davie
23255,34791,58046,Cumberland
3385,6919,10304,Mcdowell
2010,3564,5574,Cherokee
2059,3660,5719,Chowan
19138,27415,46553,Orange
3119,4640,7759,Alexander
33156,49207,82363,Durham
10130,15598,25728,Henderson
4750,8944,13694,Pasquotank
1316,2845,4161,Pamlico
1123,1618,2741,Mitchell
2349,4904,7253,Currituck
14310,26979,41289,Brunswick
11413,17353,28766,Davidson
4807,7652,12459,Franklin
6447,8311,14758,Dare
3145,5194,8339,Bladen
24723,36462,61185,New Hanover
1577,3401,4978,Anson
