Second Dose Administered,First Dose Administered,County
38680,44387,Rockingham
175486,212306,Cumberland
8749,10687,Greene
3877,4473,Gates
13813,15976,Bladen
98833,111887,Cabarrus
8109,9112,Northampton
71359,81480,""
23223,26488,Stanly
13,16,Hampton
90203,105788,Johnston
17644,20935,Richmond
572203,663617,Mecklenburg
23767,31476,Watauga
21279,24226,Vance
35840,41318,Burke
31702,35487,Surry
9360,10619,Caswell
15460,17944,Yadkin
23461,27592,Rutherford
51874,62548,Wayne
26402,31248,Pender
16234,20674,Macon
28642,32820,Lee
40141,46754,Cleveland
9374,10752,Anson
71814,81130,Catawba
44988,53932,Robeson
109644,123499,Union
4906,6247,Alleghany
49814,55495,Moore
31665,37377,Caldwell
86983,113716,Onslow
79453,90322,Iredell
7681,9335,Avery
19573,23258,Mcdowell
13890,18040,Transylvania
83526,94535,Alamance
6413,7847,Chowan
20356,24139,Columbus
2806,3186,Hyde
14535,16781,Scotland
11148,13038,Cherokee
17236,20664,Stokes
18668,21227,Person
670938,758325,Wake
121226,142445,New hanover
20795,24601,Duplin
22723,25823,Halifax
27278,32090,Wilkes
15004,18326,Hoke
9504,11505,Martin
19689,23139,Davie
76412,91824,Pitt
4839,5886,Washington
34202,40072,Wilson
275781,312054,Guilford
187074,214926,Durham
11241,14116,Ashe
35662,40834,Lincoln
8509,9386,Polk
13649,15566,Alexander
90542,106816,Gaston
9334,10960,Hertford
65947,77184,Davidson
44305,52978,Harnett
44797,52237,Nash
37211,41226,Chatham
8513,10083,Bertie
21060,24952,Beaufort
4406,5063,Clay
16602,20269,Pasquotank
31417,35393,Franklin
6303,7052,Pamlico
3316,3991,Graham
26074,32055,Sampson
73947,92846,Out o
1615,1920,Tyrrell
29159,34279,Haywood
5150,6139,Perquimans
19767,23726,Edgecombe
93288,106417,Orange
50013,58032,Craven
4338,5044,Camden
9552,11907,Madison
9721,11500,Currituck
5786,7080,Mitchell
18547,22794,Jackson
52526,60269,Randolph
53867,64252,Henderson
58722,58496,Missing
9421,10510,Warren
76658,87707,Brunswick
184850,224839,Forsyth
53162,60814,Rowan
10205,11636,Montgomery
4115,4656,Jones
140821,162789,Buncombe
34125,38859,Carteret
25039,29555,Lenoir
21584,26041,Dare
6563,7889,Swain
7688,8864,Yancey
32878,36745,Granville
