First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13592,11287,1019,636,Currituck,2209,10364,1821,8830
12219,10970,190,109,Anson,2964,9065,2595,8266
9413,7638,3955,2700,Swain,1312,4146,1114,3824
34415,29515,1471,974,Pender,10632,22312,9006,19535
7718,6392,117,75,Mitchell,1264,6337,931,5386
23224,19985,454,259,Richmond,5463,17307,4519,15207
37502,31673,1495,976,Haywood,8590,27417,7354,23343
119613,103281,1844,1075,Gaston,42253,75516,37705,64501
67278,59558,10080,8087,Craven,16338,40860,14060,37411
39624,35311,1285,722,Franklin,14211,24128,12699,21890
100462,89390,1984,1348,Iredell,41627,56851,37484,50558
19405,17090,175,122,Yadkin,5453,13777,4932,12036
27146,23428,638,425,Beaufort,5557,20951,4748,18255
63619,53453,7351,4935,Harnett,20528,35740,17640,30878
9347,8487,183,108,Polk,1849,7315,1679,6700
28067,23563,301,160,Dare,5946,21820,5381,18022
249632,208321,3916,2203,Forsyth,75355,170361,68980,137138
132469,110616,62074,50017,Onslow,30647,39748,26170,34429
5610,4908,543,335,Jones,1249,3818,1029,3544
57097,49786,925,639,Nash,19669,36503,17634,31513
25402,20555,4138,2838,Jackson,3730,17534,3200,14517
29493,25250,2174,1552,Duplin,8535,18784,7496,16202
6919,5417,55,26,Alleghany,1397,5467,1122,4269
251634,213161,41998,43345,Missing,94130,115506,88183,81633
126655,112656,3914,2298,Cabarrus,48052,74689,44236,66122
17472,15454,434,207,Alexander,2976,14062,2504,12743
6614,5305,1916,1257,Camden,877,3821,760,3288
25122,21690,561,351,Mcdowell,3380,21181,2713,18626
35246,29468,627,413,Sampson,8951,25668,7736,21319
32654,28506,439,293,Lenoir,10513,21702,9155,19058
29893,26224,714,452,Rutherford,5906,23273,5297,20475
12553,11129,266,183,Montgomery,3036,9251,2497,8449
22641,19378,327,198,Stokes,7793,14521,6879,12301
45467,39885,579,397,Wilson,13842,31046,11605,27883
25595,21927,449,325,Columbus,7230,17916,6167,15435
155462,133577,3170,1954,New hanover,51528,100764,46617,85006
44757,39713,398,244,Lincoln,17203,27156,14762,24707
25541,22021,473,301,Davie,7965,17103,7095,14625
9460,8440,173,94,Northampton,1526,7761,1294,7052
28724,25359,544,329,Halifax,5390,22790,4490,20540
60926,52697,1423,932,Robeson,15692,43811,13293,38472
26298,21139,6385,4326,Hoke,6883,13030,5696,11117
9619,8499,175,134,Yancey,1081,8363,893,7472
36249,31949,675,443,Lee,12025,23549,10714,20792
179665,154986,6693,4177,Buncombe,44834,128138,41659,109150
3421,3114,,,Hyde,177,3244,148,2966
26261,22275,826,487,Edgecombe,7314,18121,6188,15600
19609,15122,355,236,Transylvania,3412,15842,2926,11960
47119,41526,4775,2916,Chatham,13757,28587,12308,26302
238617,208613,7518,4974,Durham,59527,171572,55165,148474
2050,1785,,,Tyrrell,179,1871,141,1644
62430,55181,5040,3156,Moore,16916,40474,14908,37117
66320,58519,870,619,Randolph,22850,42600,20047,37853
66343,58541,3978,3089,Rowan,22244,40121,19591,35861
15593,12532,201,121,Ashe,3393,11999,2888,9523
71807,60011,1610,1028,Henderson,14841,55356,12682,46301
27661,24224,448,317,Vance,7653,19560,6588,17319
137847,123995,1286,703,Union,53528,83033,49631,73661
6429,5568,59,38,Washington,1819,4551,1572,3958
86857,75020,2018,1282,Davidson,26363,58476,23123,50615
39878,35628,5199,4544,Granville,10745,23934,9512,21572
33539,25914,210,91,Watauga,4753,28576,4058,21765
52129,46117,670,374,Cleveland,15619,35840,13469,32274
4902,4344,125,77,Gates,562,4215,479,3788
4278,3661,442,325,Graham,893,2943,729,2607
48144,42000,6925,4900,Carteret,13278,27941,11609,25491
104896,93862,1859,1187,Alamance,27848,75189,25071,67604
743719,649260,9139,5068,Mecklenburg,262103,472477,240260,403932
93639,82520,2825,1921,Brunswick,25282,65532,22577,58022
29386,26323,720,530,Stanly,7393,21273,6445,19348
6616,5647,20,12,Perquimans,1159,5437,951,4684
12771,10293,226,137,Madison,1378,11167,1239,8917
22905,19418,51,20,Pasquotank,5663,17191,4799,14599
34067,30038,330,207,Wilkes,10716,23021,9523,20308
