Second Doses Administered,First Doses Administered,Total Doses Administered,County
21777,26009,47786,Robeson
3540,4153,7693,Perquimans
42122,56350,98472,Johnston
27762,32362,60124,Randolph
1897,2381,4278,Hyde
3167,3798,6965,Alleghany
10287,12735,23022,Duplin
2586,3167,5753,Gates
15015,20659,35674,Haywood
12269,15693,27962,Stanly
63166,89271,152437,Missing
17674,21958,39632,Wilson
1090,1249,2339,Tyrrell
23476,28426,51902,Wayne
6145,7429,13574,Montgomery
13374,15761,29135,Lenoir
8727,10138,18865,Scotland
46596,56806,103402,Alamance
2348,2883,5231,Camden
5146,6256,11402,Greene
24537,29833,54370,Rowan
5657,6521,12178,Northampton
14593,16931,31524,Wilkes
17357,22409,39766,Lincoln
18935,22858,41793,Caldwell
5798,6551,12349,Polk
19069,20932,40001,Surry
11100,14257,25357,Macon
2550,2962,5512,Clay
9259,10681,19940,Yadkin
25974,29878,55852,Onslow
10688,12455,23143,Richmond
72285,93470,165755,Buncombe
47112,63424,110536,Union
38641,54641,93282,Cabarrus
2673,3214,5887,Washington
22386,27721,50107,Harnett
22149,25412,47561,Burke
15197,19088,34285,Granville
45015,56643,101658,Gaston
10252,13364,23616,Edgecombe
14258,21583,35841,Watauga
6635,8396,15031,Hoke
5532,6774,12306,Bertie
10241,12791,23032,Person
14018,16716,30734,Beaufort
37024,45305,82329,Catawba
11062,14087,25149,Jackson
310835,422783,733618,Wake
22637,26095,48732,Cleveland
13380,16958,30338,Sampson
11917,13891,25808,Columbus
5981,7289,13270,Caswell
4948,5832,10780,Yancey
15153,18116,33269,Lee
5490,6752,12242,Hertford
21650,26161,47811,Rockingham
224811,336065,560876,Mecklenburg
21567,24112,45679,Carteret
3205,3611,6816,Swain
4912,6293,11205,Avery
10971,13385,24356,Vance
14107,16616,30723,Halifax
13615,16298,29913,Rutherford
22051,28934,50985,Nash
6725,8863,15588,Ashe
8788,11127,19915,Stokes
1983,2235,4218,Graham
14475,17954,32429,Pender
27354,31111,58465,Craven
147339,181428,328767,Guilford
6160,8203,14363,Madison
21867,26428,48295,Chatham
44238,55318,99556,Pitt
31856,35922,67778,Moore
93824,125975,219799,Forsyth
36348,45745,82093,Iredell
8906,12152,21058,Transylvania
5803,7095,12898,Martin
5455,6820,12275,Warren
2488,2855,5343,Jones
10213,13309,23522,Davie
53017,61805,114822,Cumberland
11942,14611,26553,McDowell
6795,7843,14638,Cherokee
4061,5166,9227,Chowan
54221,69741,123962,Orange
9166,10757,19923,Alexander
98737,129260,227997,Durham
30113,39030,69143,Henderson
10313,12579,22892,Pasquotank
4628,5233,9861,Pamlico
3316,4367,7683,Mitchell
6053,7947,14000,Currituck
48027,56857,104884,Brunswick
33554,40877,74431,Davidson
14937,18590,33527,Franklin
14182,18267,32449,Dare
7783,8947,16730,Bladen
64947,82240,147187,New Hanover
5492,6694,12186,Anson
