Second Doses Administered,First Doses Administered,Total Doses Administered,County
14168,22309,36477,Robeson
2920,3896,6816,Perquimans
25835,43408,69243,Johnston
15771,27005,42776,Randolph
1215,1942,3157,Hyde
2194,3414,5608,Alleghany
6426,10797,17223,Duplin
1646,2883,4529,Gates
10182,16190,26372,Haywood
8180,12309,20489,Stanly
39596,65739,105335,Missing
10965,18478,29443,Wilson
648,1161,1809,Tyrrell
14568,24021,38589,Wayne
3980,6224,10204,Montgomery
8810,13643,22453,Lenoir
5228,8733,13961,Scotland
26276,45194,71470,Alamance
1395,2629,4024,Camden
2968,5382,8350,Greene
16074,22785,38859,Rowan
3369,5860,9229,Northampton
9807,14860,24667,Wilkes
11867,17212,29079,Lincoln
12956,19388,32344,Caldwell
3378,5691,9069,Polk
11544,18537,30081,Surry
7110,12462,19572,Macon
1632,2589,4221,Clay
5425,9321,14746,Yadkin
16245,24596,40841,Onslow
7481,10824,18305,Richmond
39534,72660,112194,Buncombe
30941,43973,74914,Union
24015,38166,62181,Cabarrus
1946,2926,4872,Washington
14267,22874,37141,Harnett
14860,21486,36346,Burke
9758,14951,24709,Granville
29147,43819,72966,Gaston
6273,11416,17689,Edgecombe
8829,17062,25891,Watauga
4521,7023,11544,Hoke
3708,6136,9844,Bertie
6009,10428,16437,Person
9540,15179,24719,Beaufort
24528,35588,60116,Catawba
6944,11499,18443,Jackson
165917,301690,467607,Wake
16376,22069,38445,Cleveland
8616,14394,23010,Sampson
6506,12152,18658,Columbus
3791,6031,9822,Caswell
2769,5135,7904,Yancey
9172,15201,24373,Lee
3218,6056,9274,Hertford
12255,21580,33835,Rockingham
126550,214483,341033,Mecklenburg
13232,21449,34681,Carteret
2330,3192,5522,Swain
3118,5326,8444,Avery
6830,11090,17920,Vance
7757,14641,22398,Halifax
7823,14058,21881,Rutherford
13035,24436,37471,Nash
4170,7640,11810,Ashe
5488,9124,14612,Stokes
1628,2053,3681,Graham
8452,14387,22839,Pender
17569,27634,45203,Craven
73206,147246,220452,Guilford
3705,6538,10243,Madison
14955,22441,37396,Chatham
29101,48366,77467,Pitt
21738,31419,53157,Moore
55632,99595,155227,Forsyth
24256,37026,61282,Iredell
5368,10356,15724,Transylvania
3567,6228,9795,Martin
3256,5450,8706,Warren
1571,2508,4079,Jones
7378,10963,18341,Davie
38409,52764,91173,Cumberland
7280,12043,19323,McDowell
4304,6735,11039,Cherokee
3021,4959,7980,Chowan
31964,53858,85822,Orange
5302,9318,14620,Alexander
58835,98363,157198,Durham
17724,31468,49192,Henderson
8387,11427,19814,Pasquotank
3088,4768,7856,Pamlico
1907,3706,5613,Mitchell
3901,6919,10820,Currituck
32085,48747,80832,Brunswick
20587,32526,53113,Davidson
9433,13926,23359,Franklin
8642,15098,23740,Dare
5332,7955,13287,Bladen
43160,65351,108511,New Hanover
3603,5527,9130,Anson
