Second Doses Administered,First Doses Administered,Total Doses Administered,County
7002,11744,18746,Robeson
1239,2882,4121,Perquimans
8700,20938,29638,Johnston
6056,11361,17417,Randolph
437,1075,1512,Hyde
797,2045,2842,Alleghany
1867,5141,7008,Duplin
1033,1977,3010,Gates
4775,8882,13657,Haywood
2584,6906,9490,Stanly
14245,31607,45852,Missing
4351,8987,13338,Wilson
228,606,834,Tyrrell
4950,10158,15108,Wayne
1206,3117,4323,Montgomery
3262,7477,10739,Lenoir
771,4553,5324,Scotland
9429,19056,28485,Alamance
906,1818,2724,Camden
749,2638,3387,Greene
6351,13291,19642,Rowan
936,2678,3614,Northampton
2793,7329,10122,Wilkes
4127,8304,12431,Lincoln
6849,10931,17780,Caldwell
1237,2541,3778,Polk
3977,9378,13355,Surry
1793,4220,6013,Macon
438,1215,1653,Clay
3115,4424,7539,Yadkin
6682,13091,19773,Onslow
2059,5991,8050,Richmond
14473,28298,42771,Buncombe
11328,19796,31124,Union
10816,18476,29292,Cabarrus
560,1856,2416,Washington
5621,11555,17176,Harnett
5737,11465,17202,Burke
4337,8072,12409,Granville
11707,20893,32600,Gaston
1549,5061,6610,Edgecombe
3751,6643,10394,Watauga
1703,3736,5439,Hoke
641,3855,4496,Bertie
2580,4892,7472,Person
2257,8111,10368,Beaufort
11207,18114,29321,Catawba
1499,4691,6190,Jackson
55629,122475,178104,Wake
3655,9943,13598,Cleveland
2881,7697,10578,Sampson
2151,5115,7266,Columbus
1412,2898,4310,Caswell
808,2396,3204,Yancey
3811,6845,10656,Lee
966,3389,4355,Hertford
2924,8710,11634,Rockingham
45399,91489,136888,Mecklenburg
4790,9575,14365,Carteret
450,1799,2249,Swain
1632,2869,4501,Avery
2467,5782,8249,Vance
2231,6295,8526,Halifax
2376,5908,8284,Rutherford
4235,10282,14517,Nash
1191,2927,4118,Ashe
1806,4775,6581,Stokes
470,1296,1766,Graham
2772,7029,9801,Pender
6924,12368,19292,Craven
27358,52024,79382,Guilford
1407,3247,4654,Madison
6631,13717,20348,Chatham
12677,23626,36303,Pitt
9177,16227,25404,Moore
24856,44412,69268,Forsyth
9487,18025,27512,Iredell
1427,3828,5255,Transylvania
876,3237,4113,Martin
580,2555,3135,Warren
679,1281,1960,Jones
3783,6403,10186,Davie
19541,30018,49559,Cumberland
1918,6362,8280,Mcdowell
1637,3187,4824,Cherokee
1524,3557,5081,Chowan
14575,25621,40196,Orange
2189,4343,6532,Alexander
24650,44158,68808,Durham
7983,14183,22166,Henderson
4460,8539,12999,Pasquotank
1036,2569,3605,Pamlico
652,1601,2253,Mitchell
1668,4845,6513,Currituck
9103,24187,33290,Brunswick
9657,15214,24871,Davidson
3627,7167,10794,Franklin
3202,7955,11157,Dare
2598,4458,7056,Bladen
19205,32763,51968,New Hanover
817,2819,3636,Anson
