County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13732,11385,1076,647,2241,10415,1846,8892
Anson,12466,11174,225,136,3083,9158,2697,8341
Swain,9633,7851,4122,2900,1334,4177,1139,3812
Pender,34971,29892,1520,980,10882,22569,9220,19692
Mitchell,7848,6506,124,75,1293,6431,956,5475
Richmond,23769,20456,525,319,5640,17604,4661,15476
Haywood,38038,32104,1598,1008,8705,27735,7477,23619
Gaston,121912,105388,2004,1189,43319,76589,38819,65380
Craven,68537,60522,10084,7938,16734,41719,14434,38150
Franklin,40615,36113,1436,816,14536,24643,12983,22314
Iredell,102282,90831,2145,1436,42719,57418,38501,50894
Yadkin,19734,17370,188,130,5614,13932,5095,12145
Beaufort,27608,23889,710,455,5748,21150,4922,18512
Harnett,64367,54274,7382,5027,21168,35817,18346,30901
Polk,9169,8275,209,120,1880,7080,1705,6450
Dare,28371,23820,378,164,6050,21943,5488,18168
Forsyth,256667,213507,4256,2410,77349,175062,70992,140105
Onslow,133366,110596,61161,48412,31571,40634,27110,35074
Jones,5757,5070,574,396,1286,3897,1060,3614
Nash,57947,50563,1004,669,20262,36681,18218,31676
Jackson,25731,20908,4267,3036,3830,17634,3301,14571
Duplin,29978,25773,2252,1616,8754,18972,7756,16401
Alleghany,6989,5488,68,26,1419,5502,1151,4311
Missing,288231,230007,39817,43506,95637,152777,89813,96688
Cabarrus,129925,115485,4233,2486,49314,76378,45450,67549
Camden,6813,5326,2051,1218,901,3861,778,3330
Alexander,17886,15874,493,260,3052,14341,2581,13033
Mcdowell,25498,22054,622,378,3473,21403,2794,18882
Sampson,36018,30240,673,460,9165,26180,7964,21816
Lenoir,33335,29127,488,308,10862,21985,9480,19339
Rutherford,30400,26685,753,468,6038,23609,5417,20800
Montgomery,12773,11293,295,198,3134,9344,2574,8521
Stokes,23013,19717,353,211,7942,14718,7017,12489
Columbus,25751,22118,472,348,7406,17873,6375,15395
Wilson,46490,40875,648,414,14334,31508,12114,28347
Lincoln,45379,40306,414,249,17574,27391,15156,24901
New hanover,157928,135577,3410,2106,52617,101901,47659,85812
Davie,25984,22470,522,326,8087,17375,7264,14880
Northampton,9366,8341,191,97,1560,7615,1332,6912
Halifax,28969,25620,582,371,5501,22886,4597,20652
Robeson,62299,54059,1554,1020,16241,44504,13856,39183
Hoke,26836,21708,6394,4379,7162,13280,5976,11353
Yancey,9731,8601,179,134,1108,8444,919,7548
Lee,37116,32726,721,466,12333,24062,11079,21181
Buncombe,183679,157168,7370,4323,45472,130837,42230,110615
Hyde,3496,3178,11,,179,3306,156,3022
Edgecombe,26967,22851,933,548,7600,18434,6455,15848
Transylvania,19861,15397,386,254,3491,15984,2985,12158
Chatham,47906,42081,5043,3103,14029,28834,12608,26370
Durham,246670,214291,8174,5371,61129,177367,56781,152139
Tyrrell,2079,1812,,,184,1895,143,1669
Moore,63387,56087,5054,3222,17256,41077,15259,37606
Randolph,67396,59564,949,650,23428,43019,20716,38198
Rowan,67391,59300,4290,3239,22899,40202,20296,35765
Ashe,16168,12876,230,136,3465,12473,2934,9806
Henderson,72945,61009,1754,1044,15092,56099,12910,47055
Vance,28420,24976,492,342,7833,20095,6783,17851
Union,139223,125213,1412,771,54942,82869,51037,73405
Washington,6559,5676,66,41,1854,4639,1602,4033
Davidson,88436,76358,2221,1363,26948,59267,23747,51248
Granville,40676,36263,5487,4743,10954,24235,9752,21768
Watauga,33549,25990,223,107,4818,28508,4142,21741
Cleveland,53006,46958,717,403,15984,36305,13838,32717
Graham,4298,3679,453,335,907,2938,744,2600
Gates,4987,4403,147,68,586,4254,495,3840
Carteret,48777,42529,7120,4959,13533,28124,11914,25656
Alamance,107165,95721,2075,1315,28659,76431,25882,68524
Mecklenburg,756744,660391,9903,5587,269069,477772,247429,407375
Brunswick,94823,83517,2999,2016,25801,66023,23091,58410
Stanly,30061,26989,772,571,7588,21701,6654,19764
Perquimans,6685,5704,20,12,1202,5463,984,4708
Madison,12892,10396,233,138,1402,11257,1257,9001
Pasquotank,23209,19801,52,21,5801,17356,4960,14820
Catawba,91371,82045,1189,579,33245,56937,29318,52148
Caldwell,41470,35725,342,187,11926,29202,9650,25888
Wilkes,34589,30455,391,239,10980,23218,9777,20439
Greene,15527,12783,3415,2489,3017,9095,2618,7676
Rockingham,49308,43976,623,381,15482,33203,13478,30117
Macon,22213,17762,533,326,3203,18477,2600,14836
Out o,122620,100351,,,800,121820,976,99375
Wake,865379,768124,12185,7724,285363,567831,265995,494405
Warren,11627,10517,165,122,2658,8804,2390,8005
Guilford,352608,314668,5646,3252,116968,229994,107310,204106
Bladen,24296,20095,6743,4599,4723,12830,3953,11543
Cumberland,234231,191874,90948,65700,61362,81921,53638,72536
Chowan,8817,7407,244,95,1828,6745,1675,5637
Pamlico,7436,6653,237,172,1319,5880,1038,5443
Scotland,18747,16298,296,193,5387,13064,4326,11779
Johnston,122806,106389,3733,2140,40456,78617,36223,68026
Clay,5654,5073,253,130,1051,4350,953,3990
Martin,11837,9995,245,174,2702,8890,2233,7588
Cherokee,14139,12495,714,471,2911,10514,2306,9718
Orange,119510,105293,1460,920,26503,91547,25266,79107
Burke,44789,39240,824,466,11854,32111,10172,28602
Surry,38371,34546,399,244,12143,25829,10877,23425
Wayne,66430,58043,6726,5111,21046,38658,18241,34691
Avery,10146,8505,191,93,1657,8298,1429,6983
Pitt,104238,88179,2309,1410,32762,69167,29179,57590
Bertie,11024,9664,133,68,2139,8752,1835,7761
Hertford,12299,10859,95,41,3585,8619,3078,7740
Person,23692,21190,441,301,6250,17001,5241,15648
Caswell,11577,10361,232,127,1786,9559,1434,8800
