Second Dose Administered,First Dose Administered,County
38440,44261,Rockingham
174271,210729,Cumberland
8697,10661,Greene
3847,4459,Gates
13731,15920,Bladen
98423,111716,Cabarrus
8071,9087,Northampton
70657,81059,""
23104,26402,Stanly
13,16,Hampton
89687,105502,Johnston
17549,20890,Richmond
570571,662385,Mecklenburg
23693,31448,Watauga
21187,24162,Vance
35634,41193,Burke
31481,35267,Surry
9319,10608,Caswell
15340,17889,Yadkin
23350,27521,Rutherford
51408,62164,Wayne
26251,31146,Pender
16199,20652,Macon
28525,32701,Lee
39927,46590,Cleveland
9337,10720,Anson
71453,80928,Catawba
44521,53716,Robeson
109297,123245,Union
4882,6243,Alleghany
49685,55390,Moore
31489,37273,Caldwell
85361,112634,Onslow
79055,90077,Iredell
7657,9284,Avery
19456,23191,Mcdowell
13865,18024,Transylvania
83188,94226,Alamance
6371,7827,Chowan
20228,24081,Columbus
2800,3185,Hyde
14444,16729,Scotland
11095,13023,Cherokee
17127,20607,Stokes
18543,21150,Person
669390,756988,Wake
120906,142266,New hanover
20682,24523,Duplin
22581,25753,Halifax
27006,31995,Wilkes
14897,18235,Hoke
9449,11470,Martin
19615,23070,Davie
76104,91582,Pitt
4816,5872,Washington
34084,39971,Wilson
274989,311436,Guilford
186649,214288,Durham
11170,14087,Ashe
35484,40698,Lincoln
8489,9355,Polk
13582,15534,Alexander
90118,106475,Gaston
9233,10898,Hertford
65523,76776,Davidson
43986,52770,Harnett
44588,52062,Nash
37192,41231,Chatham
8453,10049,Bertie
20970,24871,Beaufort
4383,5049,Clay
16437,20146,Pasquotank
31264,35318,Franklin
6276,7035,Pamlico
3297,3982,Graham
25884,31956,Sampson
73635,92320,Out o
1613,1918,Tyrrell
29106,34219,Haywood
5114,6086,Perquimans
19616,23554,Edgecombe
93161,106225,Orange
49657,57747,Craven
4306,5017,Camden
9542,11901,Madison
9678,11478,Currituck
5742,7069,Mitchell
18464,22733,Jackson
52177,60057,Randolph
53738,64142,Henderson
57392,56556,Missing
9376,10472,Warren
76418,87553,Brunswick
184246,224371,Forsyth
52978,60690,Rowan
10154,11585,Montgomery
4089,4641,Jones
140548,162520,Buncombe
33923,38721,Carteret
24879,29464,Lenoir
21526,25996,Dare
6523,7830,Swain
7661,8849,Yancey
32764,36662,Granville
