First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
12138,10864,188,109,Anson,2908,9042,2526,8229
13557,11206,1004,629,Currituck,2190,10363,1777,8800
9454,7651,3933,2667,Swain,1293,4228,1090,3894
34311,29350,1467,972,Pender,10522,22322,8850,19528
7656,6352,117,75,Mitchell,1218,6321,910,5367
23140,19824,453,259,Richmond,5410,17277,4410,15155
37404,31540,1491,974,Haywood,8535,27378,7292,23274
119267,102530,1836,1073,Gaston,41936,75495,37046,64411
67009,59192,10058,8074,Craven,16183,40768,13831,37287
39380,34969,1269,720,Franklin,14050,24061,12419,21830
99987,88575,1976,1346,Iredell,41195,56816,36749,50480
19328,16956,175,122,Yadkin,5401,13752,4823,12011
27038,23242,633,422,Beaufort,5487,20918,4627,18193
63375,52937,7298,4880,Harnett,20366,35711,17256,30801
9332,8459,183,108,Polk,1830,7319,1651,6700
27956,23430,297,160,Dare,5869,21790,5276,17994
248425,206379,3902,2197,Forsyth,74637,169886,67630,136552
131821,109764,61892,49889,Onslow,30277,39652,25581,34294
5579,4865,541,332,Jones,1229,3809,1004,3529
56895,49363,923,638,Nash,19530,36442,17308,31417
25303,20437,4121,2810,Jackson,3653,17529,3125,14502
29386,25071,2157,1541,Duplin,8461,18768,7362,16168
6884,5339,55,26,Alleghany,1387,5442,1104,4209
246394,208789,41935,43302,Missing,97988,106471,88838,76649
126346,111998,3895,2295,Cabarrus,47524,74927,43372,66331
17383,15302,431,207,Alexander,2914,14038,2406,12689
6576,5260,1909,1254,Camden,862,3805,737,3269
25081,21586,557,351,Mcdowell,3363,21161,2660,18575
35117,29234,620,413,Sampson,8857,25640,7561,21260
32537,28302,437,292,Lenoir,10442,21658,9026,18984
29782,26047,713,451,Rutherford,5824,23245,5168,20428
12500,11054,264,183,Montgomery,2994,9242,2440,8431
22567,19241,325,197,Stokes,7737,14505,6767,12277
25619,21822,449,324,Columbus,7188,17982,6032,15466
45242,39419,575,386,Wilson,13675,30992,11257,27776
154985,132761,3157,1949,New hanover,51152,100676,45929,84883
44607,39462,397,243,Lincoln,17079,27131,14537,24682
25437,21890,470,300,Davie,7897,17070,7008,14582
9456,8409,172,94,Northampton,1516,7768,1270,7045
28623,25170,543,329,Halifax,5314,22766,4386,20455
26068,20836,6337,4295,Hoke,6774,12957,5527,11014
60613,52194,1421,929,Robeson,15487,43705,12944,38321
9577,8442,175,133,Yancey,1051,8351,864,7445
36048,31689,674,443,Lee,11853,23521,10510,20736
179788,154656,6676,4171,Buncombe,44616,128496,41202,109283
3421,3106,,,Hyde,177,3244,148,2958
26177,22118,823,481,Edgecombe,7244,18110,6067,15570
19567,15055,354,236,Transylvania,3394,15819,2888,11931
47162,41451,4750,2904,Chatham,13798,28614,12229,26318
237737,207084,7485,4963,Durham,58940,171312,54092,148029
2046,1776,,,Tyrrell,177,1869,135,1641
62326,55002,5002,3140,Moore,16822,40502,14744,37118
65925,57908,867,618,Randolph,22564,42494,19528,37762
66140,58149,3964,3079,Rowan,22000,40176,19187,35883
15438,12418,198,121,Ashe,3346,11894,2872,9425
71552,59656,1608,1028,Henderson,14667,55277,12460,46168
27484,24019,445,317,Vance,7563,19476,6488,17214
137154,122866,1279,703,Union,52933,82942,48602,73561
6402,5543,56,38,Washington,1810,4536,1562,3943
86515,74449,2008,1279,Davidson,26146,58361,22707,50463
39661,35347,5115,4498,Granville,10676,23870,9347,21502
33466,25778,208,89,Watauga,4704,28554,3998,21691
51960,45866,667,373,Cleveland,15511,35782,13281,32212
4884,4311,119,77,Gates,557,4208,471,3763
4272,3653,439,324,Graham,890,2943,724,2605
47951,41730,6885,4872,Carteret,13150,27916,11407,25451
104337,92916,1850,1184,Alamance,27433,75054,24337,67395
740149,643573,9094,5052,Mecklenburg,259211,471844,235489,403032
93334,82054,2817,1918,Brunswick,25027,65490,22202,57934
29263,26125,718,530,Stanly,7318,21227,6310,19285
6594,5608,19,12,Perquimans,1150,5425,937,4659
12735,10239,225,137,Madison,1362,11148,1211,8891
22769,19148,49,17,Pasquotank,5576,17144,4650,14481
33965,29876,327,207,Wilkes,10614,23024,9379,20290
89385,79917,1075,522,Catawba,32180,56130,27893,51502
40676,34967,332,186,Caldwell,11488,28856,9196,25585
15152,12152,3359,2290,Greene,2895,8898,2450,7412
48417,42924,566,352,Rockingham,14872,32979,12694,29878
22036,17549,518,322,Macon,3104,18414,2505,14722
111614,91111,,,Out o,,111614,,91111
841139,748052,11203,7100,Wake,276287,553649,255102,485850
11390,10295,151,117,Warren,2574,8665,2287,7891
343249,304645,5025,2874,Guilford,111767,226457,100575,201196
23921,19609,6737,4531,Bladen,4582,12602,3756,11322
229604,186384,91418,66044,Cumberland,58252,79934,49774,70566
8634,7218,190,88,Chowan,1772,6672,1611,5519
7614,6846,205,164,Pamlico,1265,6144,989,5693
18294,15978,264,185,Scotland,5173,12857,4137,11656
119742,103096,3378,1974,Johnston,38778,77586,34001,67121
5552,4985,226,102,Clay,1024,4302,940,3943
11765,9854,218,134,Martin,2567,8980,2074,7646
13931,12314,684,458,Cherokee,2837,10410,2240,9616
115903,102440,1332,907,Orange,25450,89121,24101,77432
43770,38425,730,415,Burke,11427,31613,9678,28332
37888,34167,346,229,Surry,11902,25640,10508,23430
64644,56183,6501,4971,Wayne,20077,38066,17084,34128
9864,8238,165,77,Avery,1593,8106,1365,6796
101762,85259,2106,1265,Pitt,31519,68137,27440,56554
10916,9473,103,61,Bertie,2038,8775,1743,7669
12012,10524,81,36,Hertford,3402,8529,2895,7593
23199,20686,398,292,Person,6003,16798,4933,15461
11403,10161,200,95,Caswell,1733,9470,1364,8702
