County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12501,11213,228,146,3118,9155,2738,8329
Currituck,13767,11419,1090,665,2253,10424,1862,8892
Swain,9699,7900,4209,2990,1345,4145,1144,3766
Pender,35184,30106,1531,997,10945,22708,9281,19828
Mitchell,7881,6549,124,75,1302,6455,964,5510
Richmond,23989,20730,525,345,5691,17773,4711,15674
Haywood,38314,32345,1613,1021,8746,27955,7511,23813
Gaston,122229,105480,2007,1212,43583,76639,39047,65221
Craven,68919,61098,10013,8080,16852,42054,14551,38467
Franklin,41220,36638,1416,859,14657,25147,13088,22691
Iredell,102443,91009,2151,1482,43001,57291,38782,50745
Yadkin,19827,17463,193,132,5663,13971,5152,12179
Beaufort,27796,24059,715,464,5805,21276,4971,18624
Harnett,64744,54606,7439,5203,21372,35933,18531,30872
Polk,9091,8159,213,121,1881,6997,1705,6333
Dare,28457,23970,384,173,6075,21998,5519,18278
Forsyth,258601,215355,4235,2473,77972,176394,71559,141323
Onslow,133665,111936,60832,49163,31893,40940,27409,35364
Jones,5815,5116,583,406,1305,3927,1071,3639
Nash,58026,50636,1019,684,20453,36554,18379,31573
Jackson,25794,21002,4310,3104,3845,17639,3319,14579
Duplin,30155,25946,2248,1635,8820,19087,7810,16501
Alleghany,7015,5532,69,38,1423,5523,1154,4340
Missing,295518,238233,39846,43838,95802,159870,89966,104429
Cabarrus,129139,114546,4185,2585,49675,75279,45797,66164
Camden,6843,5374,2058,1248,913,3872,788,3338
Alexander,18158,16172,475,283,3066,14617,2591,13298
Mcdowell,25404,21967,625,383,3491,21288,2814,18770
Sampson,35868,30114,675,472,9218,25975,8002,21640
Lenoir,33593,29376,494,309,10990,22109,9593,19474
Rutherford,30433,26728,759,471,6068,23606,5445,20812
Montgomery,12784,11274,297,201,3140,9347,2582,8491
Stokes,23213,19930,357,213,7989,14867,7070,12647
Columbus,25879,22247,479,359,7466,17934,6431,15457
Wilson,46907,41252,654,418,14467,31786,12233,28601
New hanover,159019,136770,3388,2151,52948,102683,48007,86612
Lincoln,44812,39753,416,249,17681,26715,15287,24217
Davie,26144,22682,527,329,8141,17476,7318,15035
Northampton,9349,8310,194,98,1567,7588,1337,6875
Halifax,29052,25703,592,387,5538,22922,4629,20687
Hoke,27078,22074,6391,4516,7211,13476,6031,11527
Robeson,62633,54433,1543,1046,16400,44690,14011,39376
Yancey,9784,8649,180,134,1114,8490,924,7591
Lee,37836,33260,725,466,12448,24663,11182,21612
Buncombe,185490,158773,7329,4391,45592,132569,42371,112011
Hyde,3495,3180,12,,179,3304,155,3025
Edgecombe,26940,22843,929,571,7705,18306,6542,15730
Transylvania,19948,15542,393,258,3506,16049,2999,12285
Chatham,49454,43640,4966,3235,14126,30362,12676,27729
Durham,250390,217698,8118,5485,61617,180655,57328,154885
Tyrrell,2082,1821,,,183,1899,143,1678
Moore,64311,56890,5030,3311,17393,41888,15357,38222
Randolph,67823,59839,959,660,23607,43257,20870,38309
Rowan,67617,59317,4241,3290,23127,40249,20508,35519
Ashe,16475,13185,236,141,3476,12763,2940,10104
Henderson,73466,61494,1762,1055,15132,56572,12963,47476
Vance,28742,25198,497,345,7889,20356,6832,18021
Union,138734,124670,1431,787,55433,81870,51535,72348
Washington,6585,5707,67,42,1855,4663,1612,4053
Davidson,89313,77205,2237,1394,27139,59937,23953,51858
Granville,40983,36448,5595,4827,10997,24391,9807,21814
Watauga,33067,25793,223,116,4821,28023,4143,21534
Cleveland,52534,46543,727,407,16051,35756,13916,32220
Gates,5000,4424,149,70,590,4261,501,3853
Graham,4300,3676,457,339,909,2934,746,2591
Carteret,48967,42814,7116,5076,13595,28256,11959,25779
Alamance,108238,96634,2072,1355,28890,77276,26106,69173
Mecklenburg,752190,655773,9815,5765,271009,471366,249333,400675
Brunswick,95297,84037,3032,2023,25993,66272,23296,58718
Stanly,29760,26712,760,593,7668,21332,6720,19399
Perquimans,6731,5746,20,12,1209,5502,991,4743
Madison,12890,10408,247,138,1408,11235,1267,9003
Pasquotank,23277,19854,52,21,5844,17381,5000,14833
Catawba,91939,82514,1195,598,33450,57294,29520,52396
Caldwell,41708,35945,350,189,12028,29330,9734,26022
Wilkes,34861,30628,387,256,11092,23382,9847,20525
Greene,15608,12982,3403,2578,3034,9171,2642,7762
Rockingham,49483,44112,633,387,15626,33224,13613,30112
Macon,22280,17845,539,327,3220,18521,2616,14902
Out o,140576,115352,,,955,139621,1140,114212
Wake,873517,773904,12072,7902,287231,574214,267862,498140
Warren,11686,10547,167,122,2661,8858,2399,8026
Guilford,355026,316847,5576,3402,118028,231422,108413,205032
Bladen,24306,20352,6691,4786,4744,12871,3985,11581
Cumberland,234723,194798,89864,67261,61921,82938,54195,73342
Chowan,8858,7450,246,94,1847,6765,1689,5667
Pamlico,7393,6615,239,177,1330,5824,1051,5387
Scotland,18921,16463,304,197,5433,13184,4370,11896
Johnston,123981,107523,3719,2236,40791,79471,36609,68678
Clay,5666,5098,252,138,1053,4361,959,4001
Martin,11847,9992,247,178,2720,8880,2254,7560
Cherokee,14143,12520,719,472,2918,10506,2319,9729
Orange,121171,107124,1465,930,26695,93011,25482,80712
Burke,44804,39309,801,492,11896,32107,10222,28595
Surry,38672,34798,404,266,12194,26074,10926,23606
Wayne,66502,58531,6438,5252,21242,38822,18457,34822
Avery,10283,8641,193,95,1667,8423,1434,7112
Pitt,105158,89074,2289,1462,33060,69809,29486,58126
Bertie,11014,9657,135,70,2150,8729,1846,7741
Hertford,12356,10927,97,42,3604,8655,3101,7784
Person,23857,21329,441,302,6304,17112,5286,15741
Caswell,11632,10432,234,139,1791,9607,1441,8852
