Second Dose Administered,First Dose Administered,County
38629,44358,Rockingham
174757,210999,Cumberland
8715,10668,Greene
3853,4463,Gates
13768,15944,Bladen
98658,111820,Cabarrus
8097,9099,Northampton
71090,81292,""
23193,26454,Stanly
13,16,Hampton
90000,105670,Johnston
17597,20918,Richmond
571473,663047,Mecklenburg
23722,31458,Watauga
21248,24198,Vance
35825,41317,Burke
31592,35356,Surry
9330,10610,Caswell
15422,17929,Yadkin
23426,27572,Rutherford
51748,62375,Wayne
26353,31227,Pender
16223,20666,Macon
28618,32792,Lee
40057,46690,Cleveland
9346,10731,Anson
71687,81061,Catawba
44802,53847,Robeson
109479,123371,Union
4890,6245,Alleghany
49763,55442,Moore
31604,37352,Caldwell
85615,112794,Onslow
79313,90217,Iredell
7667,9291,Avery
19563,23231,Mcdowell
13884,18037,Transylvania
83434,94394,Alamance
6392,7839,Chowan
20297,24124,Columbus
2801,3185,Hyde
14501,16767,Scotland
11134,13034,Cherokee
17198,20635,Stokes
18641,21189,Person
670346,757698,Wake
121090,142357,New hanover
20736,24566,Duplin
22648,25788,Halifax
27185,32054,Wilkes
14976,18289,Hoke
9454,11488,Martin
19658,23113,Davie
76308,91741,Pitt
4823,5882,Washington
34135,40019,Wilson
275425,311791,Guilford
186897,214482,Durham
11219,14109,Ashe
35614,40794,Lincoln
8503,9374,Polk
13623,15558,Alexander
90383,106689,Gaston
9280,10934,Hertford
65800,76995,Davidson
44152,52894,Harnett
44727,52186,Nash
37240,41254,Chatham
8487,10066,Bertie
21029,24929,Beaufort
4396,5051,Clay
16576,20228,Pasquotank
31350,35361,Franklin
6297,7045,Pamlico
3300,3981,Graham
26034,32028,Sampson
73716,92460,Out o
1614,1919,Tyrrell
29141,34249,Haywood
5127,6122,Perquimans
19718,23674,Edgecombe
93225,106298,Orange
49808,57845,Craven
4326,5030,Camden
9557,11907,Madison
9714,11487,Currituck
5769,7077,Mitchell
18495,22740,Jackson
52449,60200,Randolph
53828,64186,Henderson
57457,56638,Missing
9392,10486,Warren
76601,87653,Brunswick
184576,224631,Forsyth
53100,60757,Rowan
10189,11627,Montgomery
4114,4653,Jones
140722,162704,Buncombe
34021,38816,Carteret
25009,29530,Lenoir
21560,26019,Dare
6529,7833,Swain
7675,8856,Yancey
32838,36705,Granville
