second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1650,10223,8545,2044,12190,10101,Currituck
99,129,2331,10254,7824,2726,11545,8690,Anson
2192,3434,1010,6961,3759,1222,8806,4150,Swain
354,518,8168,27487,18965,9887,32452,22047,Pender
75,114,856,6108,5177,1144,7376,6118,Mitchell
211,320,4014,18781,14556,4959,21951,16672,Richmond
850,1325,34131,97109,62128,39285,114263,73653,Gaston
914,1334,6977,30375,22484,8208,36228,26686,Haywood
7076,8160,12769,55276,35431,15055,62504,39289,Craven
396,524,11545,32918,20977,13165,36951,23262,Franklin
1173,1523,33666,83690,48851,38321,95369,55525,Iredell
119,168,4441,16248,11688,5007,18616,13441,Yadkin
298,399,4262,22322,17762,5104,25947,20444,Beaufort
923,1326,15538,47052,30591,18577,55492,35589,Harnett
108,145,1579,8426,6739,1771,9332,7416,Polk
17,23,4746,22402,17639,5444,26910,21443,Dare
1935,3132,62523,194037,129579,69755,237453,164566,Forsyth
47053,56738,22848,102060,32159,27507,122637,38392,Onslow
51,71,928,4377,3398,1146,4899,3682,Jones
563,773,15740,47254,30951,17847,54455,35835,Nash
2400,3658,2917,19422,14105,3445,24326,17223,Jackson
228,284,6758,22192,15206,7850,26026,17892,Duplin
26,34,1051,5109,4032,1305,6591,5252,Alleghany
34820,26880,80702,164032,48510,90977,187041,69184,Missing
1439,2093,39349,104041,63253,44193,118720,72434,Cabarrus
92,133,2235,14537,12210,2713,16316,13470,Alexander
950,877,667,4759,3142,798,5358,3683,Camden
348,506,2487,20747,17912,3169,24247,20572,Mcdowell
317,423,6958,27807,20532,8125,33282,24734,Sampson
285,420,8182,26758,18291,9609,30924,20895,Lenoir
426,645,4839,24985,19720,5489,28694,22560,Rutherford
144,184,2281,10721,8296,2809,12075,9082,Montgomery
162,249,6316,18397,11919,7332,21719,14138,Stokes
278,356,5414,21222,15530,6550,24934,18028,Columbus
354,500,10063,36944,26527,12443,42614,29671,Wilson
241,382,13423,37673,24009,16069,43041,26590,Lincoln
1255,1839,42423,125906,82228,48223,149062,99000,New hanover
251,348,6470,20783,14062,7395,24275,16532,Davie
83,123,1171,8264,7010,1392,9286,7771,Northampton
262,371,3979,23985,19744,4818,27122,21933,Halifax
664,896,11811,48878,36403,14191,56863,41776,Robeson
778,1121,4997,16130,10355,6155,19531,12255,Hoke
130,173,820,8063,7113,1005,9222,8044,Yancey
431,642,9579,30082,20072,10913,34458,22903,Lee
3814,5700,39084,146210,103312,43122,172396,123574,Buncombe
,,136,2897,2761,167,3297,3130,Hyde
295,403,5466,21161,15400,6550,24869,17916,Edgecombe
224,292,2740,14473,11509,3196,18871,15383,Transylvania
272,379,11456,37433,25705,13123,42027,28525,Chatham
4502,6045,50133,194023,139388,55527,227793,166221,Durham
,,129,1706,1577,167,1979,1812,Tyrrell
690,917,13466,51311,37155,15673,57553,40963,Moore
565,744,17949,55289,36775,20832,63040,41464,Randolph
2889,3472,17626,55891,35376,20385,63229,39372,Rowan
99,124,2759,11851,8993,3196,14811,11491,Ashe
979,1436,11745,56575,43851,14012,68581,53133,Henderson
302,403,6000,22510,16208,7027,25732,18302,Vance
574,915,43789,115646,71283,49148,131651,81588,Union
38,56,1473,5220,3709,1736,6111,4319,Washington
949,1268,20961,70209,48299,24369,81548,55911,Davidson
4313,4708,8714,33986,20959,10034,38075,23333,Granville
66,123,3883,24779,20830,4537,32784,28124,Watauga
316,519,12385,43448,30747,14640,49578,34419,Cleveland
299,378,692,3543,2552,862,4137,2897,Graham
,12,442,4089,3647,514,4617,4091,Gates
391,603,10579,35825,24855,12339,40569,27627,Carteret
1043,1415,22222,87828,64563,25370,99941,73156,Alamance
4619,7661,216388,602766,381759,243032,707057,456364,Mecklenburg
1505,1844,20720,79134,56909,23515,90152,64793,Brunswick
390,477,5856,24826,18580,6786,27819,20556,Stanly
11,15,874,5427,4542,1087,6399,5297,Perquimans
136,221,1152,9928,8640,1311,12400,10868,Madison
14,29,4290,18067,13763,5186,21699,16484,Pasquotank
195,259,8773,28855,19887,10013,33057,22785,Wilkes
184,324,8425,33502,24893,10582,39101,28195,Caldwell
401,732,25816,75956,49739,30017,85579,54830,Catawba
80,101,2234,9345,7031,2651,11216,8464,Greene
338,490,11586,41011,29087,13686,46262,32086,Rockingham
317,479,2375,17133,14441,2940,21456,18037,Macon
,,,82053,82053,,104819,104819,Out o
5865,8589,234699,696211,455647,260548,806848,537711,Wake
117,146,2107,9866,7642,2395,10934,8393,Warren
2239,3502,90186,287460,195035,102598,328043,221943,Guilford
166,216,3454,14550,10930,4213,16638,12209,Bladen
75051,92906,44667,187743,68025,52931,222841,77004,Cumberland
,,1492,6823,5331,1669,8155,6486,Chowan
78,93,918,6551,5555,1173,7302,6036,Pamlico
169,239,3788,15277,11320,4735,17384,12410,Scotland
933,1383,31076,95974,63965,35839,111948,74726,Johnston
56,93,915,4757,3786,1007,5276,4176,Clay
422,587,2132,11927,9373,2714,13485,10184,Cherokee
133,183,1880,9815,7802,2306,11647,9158,Martin
844,1175,22808,96687,73035,24309,114110,88626,Orange
339,498,9025,37357,27993,10692,42540,31350,Burke
227,301,9874,33523,23422,11265,37515,25949,Surry
7934,10582,15369,56241,32938,18281,65832,36969,Wayne
65,99,1304,8025,6656,1516,9584,7969,Avery
1016,1496,24616,80543,54911,28653,96666,66517,Pitt
28,42,1568,9095,7499,1844,10477,8591,Bertie
23,50,2629,10013,7361,3127,11481,8304,Hertford
292,386,4513,19728,14923,5502,22264,16376,Person
71,109,1262,9809,8476,1628,10969,9232,Caswell
