Second Dose Administered,First Dose Administered,County
39184,44672,Rockingham
176681,212977,Cumberland
8876,10758,Greene
3955,4507,Gates
13986,16022,Bladen
99828,112496,Cabarrus
8153,9148,Northampton
72979,82453,""
23553,26723,Stanly
91336,106472,Johnston
17891,21057,Richmond
576873,667402,Mecklenburg
23888,31520,Watauga
21499,24415,Vance
36203,41418,Burke
32264,36031,Surry
9465,10682,Caswell
15647,18037,Yadkin
23893,27829,Rutherford
52579,62856,Wayne
26714,31399,Pender
16429,20750,Macon
28932,33042,Lee
40794,47204,Cleveland
9540,10878,Anson
72729,81547,Catawba
45823,54353,Robeson
110769,124336,Union
4947,6272,Alleghany
50110,55812,Moore
32069,37578,Caldwell
87814,114279,Onslow
80307,90847,Iredell
7762,9381,Avery
19873,23410,Mcdowell
13965,18085,Transylvania
84374,95218,Alamance
6499,7898,Chowan
20674,24231,Columbus
2838,3190,Hyde
14708,16899,Scotland
11420,13113,Cherokee
17474,20790,Stokes
18844,21337,Person
674979,761866,Wake
122080,142961,New hanover
21168,24805,Duplin
22964,26008,Halifax
27869,32333,Wilkes
15210,18479,Hoke
9662,11566,Martin
19894,23280,Davie
77231,92338,Pitt
4919,5925,Washington
34701,40507,Wilson
277847,313720,Guilford
188143,216153,Durham
11384,14178,Ashe
36047,41070,Lincoln
8570,9410,Polk
13760,15597,Alexander
91687,107715,Gaston
9457,11057,Hertford
66880,77816,Davidson
44932,53340,Harnett
45413,52683,Nash
37195,41257,Chatham
8658,10166,Bertie
21262,25086,Beaufort
4521,5088,Clay
16816,20452,Pasquotank
31787,35571,Franklin
6340,7094,Pamlico
3400,4033,Graham
26563,32301,Sampson
75357,95163,Out o
1633,1929,Tyrrell
29372,34397,Haywood
5190,6173,Perquimans
20112,23980,Edgecombe
93694,107064,Orange
50528,58486,Craven
4371,5071,Camden
9640,11933,Madison
9791,11590,Currituck
5876,7114,Mitchell
18788,23013,Jackson
53292,60727,Randolph
54320,64509,Henderson
61187,61598,Missing
9517,10584,Warren
77165,88050,Brunswick
186443,226046,Forsyth
53834,61316,Rowan
10325,11696,Montgomery
4176,4685,Jones
141689,163386,Buncombe
34500,39146,Carteret
25380,29719,Lenoir
21718,26129,Dare
6714,8070,Swain
7760,8918,Yancey
33194,36984,Granville
