First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13595,11291,1020,636,Currituck,2209,10366,1823,8832
12219,10977,191,109,Anson,2965,9063,2599,8269
9413,7640,3955,2700,Swain,1313,4145,1117,3823
34429,29535,1476,984,Pender,10635,22318,9013,19538
7719,6392,117,75,Mitchell,1264,6338,930,5387
23233,19993,454,259,Richmond,5468,17311,4522,15212
37508,31678,1495,976,Haywood,8590,27423,7356,23346
119682,103424,1844,1075,Gaston,42259,75579,37739,64610
67296,59582,10080,8087,Craven,16345,40871,14065,37430
39636,35324,1285,722,Franklin,14213,24138,12704,21898
100502,89422,1985,1348,Iredell,41648,56869,37499,50575
19411,17097,175,122,Yadkin,5454,13782,4936,12039
27157,23455,638,425,Beaufort,5563,20956,4751,18279
63659,53496,7356,4936,Harnett,20545,35758,17651,30909
9343,8483,183,108,Polk,1850,7310,1680,6695
28069,23567,301,160,Dare,5947,21821,5382,18025
249682,208406,3916,2203,Forsyth,75374,170392,69015,137188
132513,110659,62081,50021,Onslow,30666,39766,26196,34442
5615,4912,543,335,Jones,1249,3823,1029,3548
57120,49824,925,639,Nash,19680,36515,17643,31542
25409,20563,4138,2838,Jackson,3732,17539,3202,14523
29499,25260,2175,1553,Duplin,8539,18785,7505,16202
6922,5425,55,26,Alleghany,1397,5470,1123,4276
252865,213790,42002,43341,Missing,94143,116720,88231,82218
126806,112893,3915,2298,Cabarrus,48081,74810,44258,66337
17480,15459,434,207,Alexander,2978,14068,2506,12746
6615,5305,1917,1257,Camden,877,3821,760,3288
25121,21700,561,351,Mcdowell,3379,21181,2713,18636
35260,29503,628,413,Sampson,8955,25677,7747,21343
32662,28525,439,293,Lenoir,10518,21705,9167,19065
29920,26250,714,452,Rutherford,5910,23296,5300,20498
12558,11135,266,183,Montgomery,3039,9253,2497,8455
22645,19383,327,198,Stokes,7793,14525,6881,12304
25598,21933,449,325,Columbus,7235,17914,6174,15434
45496,39916,579,397,Wilson,13853,31064,11615,27904
155494,133611,3174,1954,New hanover,51548,100772,46645,85012
44790,39747,398,244,Lincoln,17213,27179,14766,24737
25550,22040,473,301,Davie,7967,17110,7104,14635
9465,8439,173,94,Northampton,1528,7764,1294,7051
28724,25362,544,329,Halifax,5394,22786,4491,20542
60947,52745,1423,932,Robeson,15700,43824,13310,38503
26312,21166,6387,4326,Hoke,6891,13034,5706,11134
9621,8501,175,134,Yancey,1081,8365,894,7473
36255,31960,675,443,Lee,12026,23554,10717,20800
179698,155029,6695,4177,Buncombe,44850,128153,41674,109178
3420,3114,,,Hyde,176,3244,148,2966
26277,22300,826,487,Edgecombe,7325,18126,6193,15620
19612,15127,355,236,Transylvania,3414,15843,2928,11963
47134,41546,4776,2916,Chatham,13758,28600,12320,26310
238704,208731,7519,4974,Durham,59558,171627,55195,148562
2049,1785,,,Tyrrell,179,1870,141,1644
62417,55174,5041,3156,Moore,16920,40456,14919,37099
66344,58543,870,619,Randolph,22860,42614,20058,37866
66425,58612,3978,3089,Rowan,22254,40193,19606,35917
15593,12532,201,121,Ashe,3395,11997,2890,9521
71838,60029,1610,1028,Henderson,14842,55386,12685,46316
27685,24253,448,317,Vance,7656,19581,6595,17341
137910,124081,1286,703,Union,53541,83083,49656,73722
6431,5574,59,38,Washington,1820,4552,1573,3963
